concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
80517,73262007,Congenital anomaly of the urinary system,SNOMED,SM,FALSE
192958,9918001,Mobile kidney,SNOMED,SM,FALSE
193312,51794008,Congenital anomaly of ureter,SNOMED,SM,FALSE
194152,204938007,Renal agenesis and dysgenesis,SNOMED,SM,FALSE
195363,44513007,Congenital anomaly of the kidney,SNOMED,SM,FALSE
196528,416010008,Hypospadias,SNOMED,SM,FALSE
197667,61758007,Exstrophy of bladder sequence,SNOMED,SM,FALSE
199929,13806003,Congenital anomaly of urethra,SNOMED,SM,FALSE
201111,204949001,Renal dysplasia,SNOMED,SM,FALSE
201121,205016000,Malformation of urachus,SNOMED,SM,FALSE
201675,28770003,"Polycystic kidney disease, infantile type",SNOMED,SM,FALSE
433583,406476007,Epispadias,SNOMED,SM,FALSE
440516,373585009,Congenital obstruction of ureteral orifice,SNOMED,SM,FALSE
440828,204967008,Renal pelvis and ureter obstructive defects,SNOMED,SM,FALSE
441961,373584008,Congenital obstruction of ureteropelvic junction,SNOMED,SM,FALSE
443533,406477003,"Epispadias, male",SNOMED,SM,FALSE
443748,37939008,Congenital anomaly of the bladder,SNOMED,SM,FALSE
603049,1155732005,Cystic dysplasia of kidney,SNOMED,SM,FALSE
604648,1003443006,Congenital stenosis of male external urethral orifice,SNOMED,SM,FALSE
604708,1003547009,Agenesis of ureter,SNOMED,SM,FALSE
604713,1003552004,Agenesis of bladder,SNOMED,SM,FALSE
604881,1003842009,Renal tubular dysgenesis caused by drug,SNOMED,SM,FALSE
604890,1003861008,Renal tubular dysgenesis due to twin to twin transfusion,SNOMED,SM,FALSE
604907,1003879007,Penile megalourethra,SNOMED,SM,FALSE
605698,1137561000,Congenital megacalycosis,SNOMED,SM,FALSE
606983,1148933002,Congenital hydronephrosis due to ureteral orifice obstruction,SNOMED,SM,FALSE
606987,1148937001,Congenital hydronephrosis due to bladder obstruction,SNOMED,SM,FALSE
606988,1148939003,Congenital hydronephrosis due to ureteral obstruction,SNOMED,SM,FALSE
607156,1149232006,Infection of urachal sinus,SNOMED,SM,FALSE
607157,1149233001,Infection of urachal remnant,SNOMED,SM,FALSE
607921,1156217009,Congenital obstruction of ureter,SNOMED,SM,FALSE
619217,890370003,Congenital megacalycosis of bilateral kidneys,SNOMED,SM,FALSE
762581,429191000124106,Partial duplication of ureter,SNOMED,SM,FALSE
762616,429681000124103,Covered exstrophy of bladder,SNOMED,SM,FALSE
762649,430091000124101,Primary right vesicoureteral reflux,SNOMED,SM,FALSE
762650,430101000124107,Primary right vesicoureteral reflux grade 1,SNOMED,SM,FALSE
762651,430111000124105,Primary right vesicoureteral reflux grade 1 measured by radionuclide cystogram,SNOMED,SM,FALSE
762652,430121000124102,Primary right vesicoureteral reflux grade 2,SNOMED,SM,FALSE
762653,430131000124104,Primary right vesicoureteral reflux grade 3,SNOMED,SM,FALSE
762654,430141000124109,Primary right vesicoureteral reflux grade 4,SNOMED,SM,FALSE
762655,430151000124106,Primary right vesicoureteral reflux grade 5,SNOMED,SM,FALSE
762656,430161000124108,Primary right vesicoureteral reflux grade 2 measured by radionuclide cystogram,SNOMED,SM,FALSE
762657,430171000124101,Primary right vesicoureteral reflux grade 3 measured by radionuclide cystogram,SNOMED,SM,FALSE
762658,430191000124100,Primary right vesicoureteral reflux grade 2 measured by voiding cystourethrography,SNOMED,SM,FALSE
762659,430201000124102,Primary right vesicoureteral reflux grade 3 measured by voiding cystourethrography,SNOMED,SM,FALSE
762660,430221000124107,Primary right vesicoureteral reflux grade 5 measured by voiding cystourethrography,SNOMED,SM,FALSE
762661,430231000124105,Primary left vesicoureteral reflux,SNOMED,SM,FALSE
762662,430241000124100,Primary left vesicoureteral reflux grade 1,SNOMED,SM,FALSE
762663,430251000124103,Primary left vesicoureteral reflux grade 2,SNOMED,SM,FALSE
762664,430261000124101,Primary left vesicoureteral reflux grade 3,SNOMED,SM,FALSE
762665,430271000124108,Primary left vesicoureteral reflux grade 4,SNOMED,SM,FALSE
762666,430291000124109,Primary left vesicoureteral reflux grade 1 measured by radionuclide cystogram,SNOMED,SM,FALSE
762667,430301000124105,Primary left vesicoureteral reflux grade 2 measured by radionuclide cystogram,SNOMED,SM,FALSE
762668,430321000124100,Primary left vesicoureteral reflux grade 1 measured by voiding urethrocystography,SNOMED,SM,FALSE
762669,430331000124102,Primary left vesicoureteral reflux grade 2 measured by voiding urethrocystography,SNOMED,SM,FALSE
762670,430341000124107,Primary left vesicoureteral reflux grade 3 measured by voiding urethrocystography,SNOMED,SM,FALSE
762671,430351000124109,Primary left vesicoureteral reflux grade 4 measured by voiding urethrocystography,SNOMED,SM,FALSE
762672,430361000124106,Primary left vesicoureteral reflux grade 5 measured by voiding urethrocystography,SNOMED,SM,FALSE
762961,434271000124104,Congenital obstructive megaureter without reflux,SNOMED,SM,FALSE
765489,430311000124108,Primary left vesicoureteral reflux grade 3 measured by radionuclide cystogram,SNOMED,SM,FALSE
765754,430181000124103,Primary right vesicoureteral reflux grade 1 measured by voiding cystourethrography,SNOMED,SM,FALSE
765755,430211000124104,Primary right vesicoureteral reflux grade 4 measured by voiding cystourethrography,SNOMED,SM,FALSE
765756,430281000124106,Primary left vesicoureteral reflux grade 5,SNOMED,SM,FALSE
1572102,Q54,Hypospadias,ICD10CM,10,FALSE
1572107,Q60,Renal agenesis and other reduction defects of kidney,ICD10CM,10,FALSE
1572108,Q61,Cystic kidney disease,ICD10CM,10,FALSE
1572109,Q61.0,Congenital renal cyst,ICD10CM,10,FALSE
1572109,Q610,Congenital renal cyst,ICD10CM,10,TRUE
1572110,Q61.1,"Polycystic kidney, infantile type",ICD10CM,10,FALSE
1572110,Q611,"Polycystic kidney, infantile type",ICD10CM,10,TRUE
1572111,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,ICD10CM,10,FALSE
1572112,Q62.1,Congenital occlusion of ureter,ICD10CM,10,FALSE
1572112,Q621,Congenital occlusion of ureter,ICD10CM,10,TRUE
1572113,Q62.3,Other obstructive defects of renal pelvis and ureter,ICD10CM,10,FALSE
1572113,Q623,Other obstructive defects of renal pelvis and ureter,ICD10CM,10,TRUE
1572114,Q62.6,Malposition of ureter,ICD10CM,10,FALSE
1572114,Q626,Malposition of ureter,ICD10CM,10,TRUE
1572115,Q63,Other congenital malformations of kidney,ICD10CM,10,FALSE
1572116,Q64,Other congenital malformations of urinary system,ICD10CM,10,FALSE
1572117,Q64.1,Exstrophy of urinary bladder,ICD10CM,10,FALSE
1572117,Q641,Exstrophy of urinary bladder,ICD10CM,10,TRUE
1572118,Q64.3,Other atresia and stenosis of urethra and bladder neck,ICD10CM,10,FALSE
1572118,Q643,Other atresia and stenosis of urethra and bladder neck,ICD10CM,10,TRUE
1572119,Q64.7,Other and unspecified congenital malformations of bladder and urethra,ICD10CM,10,FALSE
1572119,Q647,Other and unspecified congenital malformations of bladder and urethra,ICD10CM,10,TRUE
3520090,592761000000103,"Congenital stricture of ureter, unspecified",SNOMED,SM,FALSE
3534726,593881000000107,Hypospadias or epispadias NOS,SNOMED,SM,FALSE
3536461,620711000000103,Congenital absence of kidney NOS,SNOMED,SM,FALSE
3536465,620771000000108,Other specified renal anomaly NOS,SNOMED,SM,FALSE
3537055,630001000000104,Fistula involving uterus with digestive or urinary tract NOS,SNOMED,SM,FALSE
3538947,657131000000107,Other specified urethra or bladder neck atresia or stenosis,SNOMED,SM,FALSE
3538950,657171000000109,Other specified bladder and urethral anomalies,SNOMED,SM,FALSE
3538951,657181000000106,Other bladder or urethral anomaly NOS,SNOMED,SM,FALSE
3539728,669421000000102,Other specified ureter anomaly NOS,SNOMED,SM,FALSE
3539729,669431000000100,Congenital obstruction of urethra NOS,SNOMED,SM,FALSE
3539731,669451000000107,Urethra or bladder neck atresia or stenosis NOS,SNOMED,SM,FALSE
3539732,669461000000105,Other specified anomalies of urachus,SNOMED,SM,FALSE
3539870,671371000000103,Renal duplication NEC,SNOMED,SM,FALSE
3540715,683051000000103,Urinary system anomalies NOS,SNOMED,SM,FALSE
3541648,696501000000100,"Renal agenesis, unspecified",SNOMED,SM,FALSE
3541649,696511000000103,"Renal agenesis, unspecified NOS",SNOMED,SM,FALSE
3543190,729901000000100,Renal coloboma syndrome,SNOMED,SM,FALSE
3544875,802721000000107,Epispadias,SNOMED,SM,FALSE
3545802,855541000000107,Inherited renal tubule insufficiency with cholestatic jaundice,SNOMED,SM,FALSE
3545867,856801000000101,Cake kidney,SNOMED,SM,FALSE
3545900,857211000000103,Unilateral small kidney with contralateral hypertrophy,SNOMED,SM,FALSE
3547133,938411000000105,Congenital abnormality of the kidney,SNOMED,SM,FALSE
3547134,938421000000104,Duplex kidney,SNOMED,SM,FALSE
3557984,661911000000102,Congenital nephrotic syndrome NOS,SNOMED,SM,FALSE
3559644,856911000000106,Drash syndrome,SNOMED,SM,FALSE
3569310,594761000000109,Unspecified anomaly of ureter,SNOMED,SM,FALSE
3573276,620761000000101,Other specified renal anomaly,SNOMED,SM,FALSE
3573452,657161000000102,Anomalies of urachus NOS,SNOMED,SM,FALSE
3573890,855431000000104,Thoracic kidney,SNOMED,SM,FALSE
3654942,840490005,Congenital refluxing megaureter,SNOMED,SM,FALSE
4000078,1922008,Congenital absence of urethra,SNOMED,SM,FALSE
4002490,204849002,Congenital uterovesical fistula,SNOMED,SM,FALSE
4002493,204886001,Hypospadias and epispadias,SNOMED,SM,FALSE
4002617,204891000,"Hypospadias, balanic",SNOMED,SM,FALSE
4003485,204939004,"Renal agenesis, unspecified",SNOMED,SM,FALSE
4003487,204942005,Renal agenesis,SNOMED,SM,FALSE
4003488,204948009,Unilateral renal hypoplasia,SNOMED,SM,FALSE
4003489,204950001,Bilateral renal dysplasia,SNOMED,SM,FALSE
4003490,204952009,Dysplasia of kidney NOS,SNOMED,SM,FALSE
4003491,204962002,Multicystic kidney,SNOMED,SM,FALSE
4003493,204973009,Simple ureterocele,SNOMED,SM,FALSE
