concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
600696,1156451005,Diffuse intrinsic pontine glioma,SNOMED,SM,FALSE
604244,1156297005,Transitional pineal tumor,SNOMED,SM,FALSE
607791,1155956002,Follicular lymphoma grade 3a,SNOMED,SM,FALSE
607792,1155957006,Follicular lymphoma grade 3b,SNOMED,SM,FALSE
607822,1156023007,Diffuse astrocytoma low grade,SNOMED,SM,FALSE
608013,1156631003,Dendritic cell sarcoma,SNOMED,SM,FALSE
608153,1156923005,Medulloblastoma,SNOMED,SM,FALSE
608188,1156974002,Oligodendroglioma,SNOMED,SM,FALSE
608223,1157041008,Astrocytoma low grade,SNOMED,SM,FALSE
608224,1157042001,Cystic astrocytoma,SNOMED,SM,FALSE
608225,1157043006,Astrocytoma,SNOMED,SM,FALSE
608278,1157158001,Acute myeloid leukemia with t(9;11)(p22;q23); MLLT3-MLL,SNOMED,SM,FALSE
608289,1157177004,Human papillomavirus-associated adenocarcinoma,SNOMED,SM,FALSE
608293,1157183001,Mesonephric-like adenocarcinoma,SNOMED,SM,FALSE
608302,1157190006,Human papillomavirus-independent adenocarcinoma,SNOMED,SM,FALSE
618879,878856000,Malignant lymphomatoid granulomatosis,SNOMED,SM,FALSE
762751,431371000124105,Multifocal osteosarcoma,SNOMED,SM,FALSE
763049,435471000124104,"Neuroendocrine carcinoma, metastatic",SNOMED,SM,FALSE
764449,455071000124108,Metastatic undifferentiated large cell carcinoma,SNOMED,SM,FALSE
765597,451501000124108,Undifferentiated large cell carcinoma,SNOMED,SM,FALSE
766339,C56.3,Malignant neoplasm of bilateral ovaries,ICD10CM,10,FALSE
766339,C563,Malignant neoplasm of bilateral ovaries,ICD10CM,10,TRUE
766340,C79.63,Secondary malignant neoplasm of bilateral ovaries,ICD10CM,10,FALSE
766340,C7963,Secondary malignant neoplasm of bilateral ovaries,ICD10CM,10,TRUE
766341,C84.7A,"Anaplastic large cell lymphoma, ALK-negative, breast",ICD10CM,10,FALSE
766341,C847A,"Anaplastic large cell lymphoma, ALK-negative, breast",ICD10CM,10,TRUE
920115,C79.9,Secondary malignant neoplasm of unspecified site,ICD10CM,10,FALSE
920115,C799,Secondary malignant neoplasm of unspecified site,ICD10CM,10,TRUE
920116,C86.0,"Extranodal NK/T-cell lymphoma, nasal type",ICD10CM,10,FALSE
920116,C860,"Extranodal NK/T-cell lymphoma, nasal type",ICD10CM,10,TRUE
920117,C86.1,Hepatosplenic T-cell lymphoma,ICD10CM,10,FALSE
920117,C861,Hepatosplenic T-cell lymphoma,ICD10CM,10,TRUE
920118,C86.2,Enteropathy-type (intestinal) T-cell lymphoma,ICD10CM,10,FALSE
920118,C862,Enteropathy-type (intestinal) T-cell lymphoma,ICD10CM,10,TRUE
920119,C86.3,Subcutaneous panniculitis-like T-cell lymphoma,ICD10CM,10,FALSE
920119,C863,Subcutaneous panniculitis-like T-cell lymphoma,ICD10CM,10,TRUE
920120,C86.4,Blastic NK-cell lymphoma,ICD10CM,10,FALSE
920120,C864,Blastic NK-cell lymphoma,ICD10CM,10,TRUE
920121,C86.5,Angioimmunoblastic T-cell lymphoma,ICD10CM,10,FALSE
920121,C865,Angioimmunoblastic T-cell lymphoma,ICD10CM,10,TRUE
920122,C86.6,Primary cutaneous CD30-positive T-cell proliferations,ICD10CM,10,FALSE
920122,C866,Primary cutaneous CD30-positive T-cell proliferations,ICD10CM,10,TRUE
