concept_id,concept_code,concept_name,codeset
4191650,373895009,Acute respiratory distress,ards
4195694,67782005,Acute respiratory distress syndrome,ards
3661406,6.75E+17,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2,ards
4060710,162892000,O/E - respiratory distress,ards
4158346,271825005,Respiratory distress,ards
4154698,371044001,Transient respiratory distress with sepsis,ards
4031959,238159008,Desaturation of blood,ards
4248811,408688009,Healthcare associated severe acute respiratory syndrome,ards
437390,389087006,Hypoxemia,ards
756044,4873911,Acute respiratory distress syndrome (ARDS) caused by severe acute respiratory syndrome coronavirus 2,ards
762148,2.93E+14,Acute deep vein thrombosis of bilateral iliac veins,c19notresp
35616028,2.93E+14,Acute deep vein thrombosis of left iliac vein,c19notresp
43531681,6.51E+11,Acute deep vein thrombosis of lower limb,c19notresp
35616027,2.93E+14,Acute deep vein thrombosis of right iliac vein,c19notresp
44782746,1.32E+14,Acute deep venous thrombosis,c19notresp
44782751,1.35E+14,Acute deep venous thrombosis of axillary vein,c19notresp
762008,2.85E+14,Acute deep venous thrombosis of bilateral axillary veins,c19notresp
762417,3.50E+14,Acute deep venous thrombosis of bilateral legs,c19notresp
762004,2.85E+14,Acute deep venous thrombosis of both upper extremities,c19notresp
44782742,1.32E+14,Acute deep venous thrombosis of calf,c19notresp
44782747,1.32E+14,Acute deep venous thrombosis of femoral vein,c19notresp
44782752,1.35E+14,Acute deep venous thrombosis of internal jugular vein,c19notresp
762009,2.85E+14,Acute deep venous thrombosis of left axillary vein,c19notresp
760876,1.22E+16,Acute deep venous thrombosis of left calf,c19notresp
765540,2.85E+14,Acute deep venous thrombosis of left femoral vein,c19notresp
765922,2.86E+14,Acute deep venous thrombosis of left internal jugular vein,c19notresp
762418,3.50E+14,Acute deep venous thrombosis of left lower extremity,c19notresp
765537,2.85E+14,Acute deep venous thrombosis of left upper extremity,c19notresp
44782761,1.33E+14,Acute deep venous thrombosis of pelvic vein,c19notresp
762022,2.86E+14,Acute deep venous thrombosis of politeal vein of right leg,c19notresp
44782743,1.32E+14,Acute deep venous thrombosis of popliteal vein,c19notresp
762021,2.86E+14,Acute deep venous thrombosis of popliteal vein of left leg,c19notresp
762010,2.85E+14,Acute deep venous thrombosis of right axillary vein,c19notresp
760877,1.22E+16,Acute deep venous thrombosis of right calf,c19notresp
762013,2.85E+14,Acute deep venous thrombosis of right femoral vein,c19notresp
762018,2.86E+14,Acute deep venous thrombosis of right internal jugular vein,c19notresp
762419,3.50E+14,Acute deep venous thrombosis of right lower extremity,c19notresp
762005,2.85E+14,Acute deep venous thrombosis of right upper extremity,c19notresp
44782745,1.32E+14,Acute deep venous thrombosis of thigh,c19notresp
44782744,1.32E+14,Acute deep venous thrombosis of tibial vein,c19notresp
762026,2.86E+14,Acute deep venous thrombosis of tibial vein of left leg,c19notresp
765156,2.86E+14,Acute deep venous thrombosis of tibial vein of right leg,c19notresp
44782421,1.32E+14,Acute deep venous thrombosis of upper extremity,c19notresp
314381,75053002,Acute febrile mucocutaneous lymph node syndrome,c19notresp
315293,266235007,Acute idiopathic pericarditis,c19notresp
4121476,233881003,Acute infective pericarditis,c19notresp
3661748,870589006,Acute kidney injury due to disease caused by Severe acute respiratory syndrome coronavirus 2,c19notresp
312653,46701001,Acute myocarditis,c19notresp
320745,194942007,Acute myocarditis associated with another disorder,c19notresp
4006483,11176009,Acute myopericarditis,c19notresp
320116,15555002,Acute pericarditis,c19notresp
3661406,6.75E+17,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2,c19notresp
46273494,1.57E+16,Acute thrombosis of inferior vena cava,c19notresp
762049,2.86E+14,Acute thrombosis of right subclavian vein,c19notresp
44782762,1.33E+14,Acute thrombosis of subclavian vein,c19notresp
761453,1.57E+16,Acute thrombosis of superficial vein of left lower extremity,c19notresp
36712810,1.22E+16,Acute thrombosis of superficial vein of left upper limb,c19notresp
46271471,709597002,Acute thrombosis of superficial vein of lower limb,c19notresp
761452,1.57E+16,Acute thrombosis of superficial vein of right lower extremity,c19notresp
36712811,1.22E+16,Acute thrombosis of superficial vein of right upper limb,c19notresp
44782760,1.33E+14,Acute thrombosis of superficial vein of upper extremity,c19notresp
761454,1.57E+16,Acute thrombosis of superficial veins of both lower extremities,c19notresp
44782757,1.35E+14,Acute thrombosis of superior vena cava,c19notresp
4165259,40959008,Acute viral pericarditis,c19notresp
312928,37715009,Adhesive pericarditis,c19notresp
35615119,1.60E+16,Aneurysm of coronary artery due to and following acute febrile mucocutaneous lymph node syndrome,c19notresp
316427,50570003,Aneurysm of coronary vessels,c19notresp
312337,266262004,Arterial embolus and thrombosis,c19notresp
4278217,65198009,Arterial thrombosis,c19notresp
4125011,234205007,Arteriovenous fistula thrombosis,c19notresp
4108352,195147006,Atrial thrombosis,c19notresp
4179911,297156001,Axillary vein thrombosis,c19notresp
4338227,88174006,Basilar artery thrombosis,c19notresp
37109253,2.85E+14,Bilateral acute deep vein thrombosis of femoral veins,c19notresp
35611569,1.22E+16,Bilateral acute thrombosis of superficial vein of upper limbs,c19notresp
762420,3.50E+14,Bilateral chronic deep venous thrombosis of lower extremities,c19notresp
40478951,444325005,Bilateral deep vein thrombosis of lower extremities,c19notresp
4179907,297146000,Brachial artery thrombosis,c19notresp
4084942,281597009,Brachiocephalic vein thrombosis,c19notresp
4074987,17810004,Capillary thrombosis,c19notresp
4311124,86003009,Carotid artery thrombosis,c19notresp
4317292,95459002,Cerebellar artery thrombosis,c19notresp
4110189,195185009,Cerebral infarct due to thrombosis of precerebral arteries,c19notresp
762937,4.34E+14,Cerebral infarction due to cerebral venous thrombosis,c19notresp
4111714,195230003,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",c19notresp
4110192,195189003,Cerebral infarction due to thrombosis of cerebral arteries,c19notresp
45767658,705130002,Cerebral infarction due to thrombosis of middle cerebral artery,c19notresp
441874,71444005,Cerebral thrombosis,c19notresp
4102202,192759008,Cerebral venous sinus thrombosis,c19notresp
4046443,230722002,Cerebral venous thrombosis of cortical vein,c19notresp
762938,4.34E+14,Cerebral venous thrombosis of cortical vein with infarction,c19notresp
762811,4.32E+14,Cerebral venous thrombosis of cortical vein without infarction,c19notresp
4048787,230723007,Cerebral venous thrombosis of great cerebral vein,c19notresp
4048786,230721009,Cerebral venous thrombosis of sigmoid sinus,c19notresp
4175569,297149007,Common femoral artery thrombosis,c19notresp
4178399,297150007,Common iliac artery thrombosis,c19notresp
312334,85598007,Constrictive pericarditis,c19notresp
4134723,398274000,Coronary artery thrombosis,c19notresp
4108215,194821006,Coronary thrombosis not resulting in myocardial infarction,c19notresp
46271778,710027002,Cytokine release syndrome,c19notresp
4133004,128053003,Deep venous thrombosis,c19notresp
763942,4.49E+14,Deep venous thrombosis of left lower extremity,c19notresp
761980,2.58E+16,Deep venous thrombosis of left upper extremity,c19notresp
443537,404223003,Deep venous thrombosis of lower extremity,c19notresp
4133975,128055005,Deep venous thrombosis of pelvic vein,c19notresp
40480555,443210003,Deep venous thrombosis of peroneal vein,c19notresp
4322565,427775006,Deep venous thrombosis of profunda femoris vein,c19notresp
763941,4.49E+14,Deep venous thrombosis of right lower extremity,c19notresp
761928,2.09E+16,Deep venous thrombosis of right upper extremity,c19notresp
4207899,438785004,Deep venous thrombosis of tibial vein,c19notresp
4028057,128054009,Deep venous thrombosis of upper extremity,c19notresp
4147982,30496006,Dilated cardiomyopathy secondary to viral myocarditis,c19notresp
4111850,195335005,Embolism and/or thrombosis of the common iliac artery,c19notresp
314965,195318006,Embolism and thrombosis of an arm or leg artery,c19notresp
198446,266263009,Embolism and thrombosis of the abdominal aorta,c19notresp
4112162,195325004,Embolism and thrombosis of the anterior tibial artery,c19notresp
4108376,195323006,Embolism and thrombosis of the femoral artery,c19notresp
4110333,195324000,Embolism and thrombosis of the popliteal artery,c19notresp
193512,195438008,Embolism and thrombosis of the renal vein,c19notresp
432656,195317001,Embolism and thrombosis of the thoracic aorta,c19notresp
435565,195437003,Embolism and thrombosis of the vena cava,c19notresp
4258295,439162001,Embolism from thrombosis of vein of distal lower extremity,c19notresp
40481089,444816006,Embolism from thrombosis of vein of lower extremity,c19notresp
40479840,444549009,Embolism from thrombosis of vein of thigh,c19notresp
37310284,1.24E+15,Encephalopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2,c19notresp
4178400,297151006,External iliac artery thrombosis,c19notresp
4178609,52156004,Femoral artery thrombosis,c19notresp
4194719,312594005,Head and neck arterial thrombosis,c19notresp
4223098,83940008,Hepatic artery thrombosis,c19notresp
4301208,38739001,Hepatic vein thrombosis,c19notresp
317307,91025000,Idiopathic myocarditis,c19notresp
4119760,234044007,Iliofemoral deep vein thrombosis,c19notresp
4217075,41739008,Infectious pericarditis,c19notresp
4179908,297152004,Internal iliac artery thrombosis,c19notresp
4179912,297157005,Intracranial venous thrombosis,c19notresp
4209308,56276002,Left main coronary artery thrombosis,c19notresp
762345,3.30E+14,Left vertebral artery thrombosis with stroke,c19notresp
3661631,866151004,Lymphocytopenia due to Severe acute respiratory syndrome coronavirus 2,c19notresp
703578,5042964,Multisystem inflammatory syndrome (MIS),c19notresp
314383,50920009,Myocarditis,c19notresp
37310287,1.24E+15,Myocarditis due to disease caused by Severe acute respiratory syndrome coronavirus 2,c19notresp
4331309,22653005,Myocarditis due to infectious agent,c19notresp
37109914,723863003,Myopericarditis,c19notresp
36717594,722930000,Neonatal thrombosis of cerebral venous sinus,c19notresp
761790,1.60E+16,Nonpyogenic cerebral venous thrombosis with stroke,c19notresp
314667,42970005,Nonpyogenic thrombosis of intracranial venous sinus,c19notresp
4138837,3238004,Pericarditis,c19notresp
4337367,87239004,Popliteal artery thrombosis,c19notresp
199837,17920008,Portal vein thrombosis,c19notresp
4240612,57834008,Pulmonary artery thrombosis,c19notresp
4239826,69357003,Pulmonary thrombosis,c19notresp
46271900,710167004,Recurrent deep vein thrombosis,c19notresp
42536629,735566005,Rupture of coronary artery co-occurrent and due to aneurysm of coronary artery,c19notresp
4033521,14534009,Splenic vein thrombosis,c19notresp
4077218,275517008,Superficial vein thrombosis,c19notresp
761039,1.37E+16,Superficial venous thrombosis of upper extremity,c19notresp
4025854,197000003,Superior mesenteric artery thrombosis,c19notresp
4055089,197001004,Superior mesenteric vein thrombosis,c19notresp
4334183,432805000,Suspected deep vein thrombosis,c19notresp
3661632,866152006,Thrombocytopenia due to Severe acute respiratory syndrome coronavirus 2,c19notresp
4231363,439127006,Thrombosis,c19notresp
4223670,84272007,Thrombosis of abdominal aorta,c19notresp
35615124,1.60E+16,Thrombosis of aorta,c19notresp
4236905,90958004,Thrombosis of arteries of lower extremity,c19notresp
4141106,33591000,Thrombosis of arteries of the extremities,c19notresp
4136335,31529002,Thrombosis of arteries of upper extremity,c19notresp
35615094,1.60E+16,Thrombosis of artery of left lower extremity,c19notresp
35615093,1.60E+16,Thrombosis of artery of right lower extremity,c19notresp
35615080,1.60E+16,Thrombosis of artery of right upper extremity,c19notresp
4208466,439129009,Thrombosis of blood vessel,c19notresp
4234264,89980009,Thrombosis of cavernous venous sinus,c19notresp
763795,4.46E+14,Thrombosis of cephalic vein,c19notresp
762828,4.32E+14,Thrombosis of cerebral medullary veins,c19notresp
4319329,95455008,Thrombosis of cerebral veins,c19notresp
444264,82453008,Thrombosis of iliac artery,c19notresp
