concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
4288478,68603007,Abnormal arterial pulse pressure,SNOMED,SM,FALSE
4305577,38936003,Abnormal blood pressure,SNOMED,SM,FALSE
4177952,49844009,Abnormal diastolic arterial pressure,SNOMED,SM,FALSE
4084684,18352002,Abnormal systolic arterial pressure,SNOMED,SM,FALSE
4088880,185716009,Attends hypertension monitoring,SNOMED,SM,FALSE
312648,1201005,Benign essential hypertension,SNOMED,SM,FALSE
4034031,23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy,SNOMED,SM,FALSE
4028741,10725009,Benign hypertension,SNOMED,SM,FALSE
439698,194767001,Benign hypertensive heart disease with congestive cardiac failure,SNOMED,SM,FALSE
312338,77737007,Benign hypertensive heart disease with congestive heart failure,SNOMED,SM,FALSE
193493,193003,Benign hypertensive renal disease,SNOMED,SM,FALSE
44784439,698591006,Benign hypertensive renal disease with renal failure,SNOMED,SM,FALSE
314958,194785008,Benign secondary hypertension,SNOMED,SM,FALSE
4249016,73410007,Benign secondary renovascular hypertension,SNOMED,SM,FALSE
4201478,314956000,Borderline blood pressure,SNOMED,SM,FALSE
36715087,720568003,Brachydactyly and arterial hypertension syndrome,SNOMED,SM,FALSE
4173820,275516004,Cardiomegaly - hypertensive,SNOMED,SM,FALSE
36712757,109000000000000,Cardiomyopathy due to hypertension,SNOMED,SM,FALSE
44782692,129000000000000,Chronic kidney disease stage 2 due to hypertension,SNOMED,SM,FALSE
4167358,48146000,Diastolic hypertension,SNOMED,SM,FALSE
42538697,762463000,Diastolic hypertension and systolic hypertension,SNOMED,SM,FALSE
4086587,24184005,Elevated blood pressure,SNOMED,SM,FALSE
141693,371622005,Elevated blood-pressure reading without diagnosis of hypertension,SNOMED,SM,FALSE
4243055,59997006,Endocrine hypertension,SNOMED,SM,FALSE
320128,59621000,Essential hypertension,SNOMED,SM,FALSE
4179379,429198000,Exertional hypertension,SNOMED,SM,FALSE
4017170,170577003,Good hypertension control,SNOMED,SM,FALSE
4058286,161501007,H/O: hypertension,SNOMED,SM,FALSE
4058987,19769006,High-renin essential hypertension,SNOMED,SM,FALSE
36687219,16500000000000000,History of hypertensive retinopathy,SNOMED,SM,FALSE
44783225,699282002,Hypertension diet assessment,SNOMED,SM,FALSE
3656115,871642009,Hypertension due to aortic arch obstruction,SNOMED,SM,FALSE
35624277,766937004,Hypertension due to gain-of-function mutation in mineralocorticoid receptor,SNOMED,SM,FALSE
45771067,71700000000000,Hypertension in chronic kidney disease due to type 1 diabetes mellitus,SNOMED,SM,FALSE
4061667,169465000,Hypertension induced by oral contraceptive pill,SNOMED,SM,FALSE
4152829,270440008,Hypertension monitoring check done,SNOMED,SM,FALSE
44809548,846000000000000,Hypertension resistant to drug therapy,SNOMED,SM,FALSE
4204650,308429009,Hypertension screening status,SNOMED,SM,FALSE
4108213,194791005,Hypertension secondary to drug,SNOMED,SM,FALSE
4110948,194788005,Hypertension secondary to endocrine disorder,SNOMED,SM,FALSE
4178312,428575007,Hypertension secondary to kidney transplant,SNOMED,SM,FALSE
4094374,26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth,SNOMED,SM,FALSE
37311147,827069000,Hypertension stage 1,SNOMED,SM,FALSE
37311148,827068008,Hypertension stage 2,SNOMED,SM,FALSE
4262182,397748008,Hypertension with albuminuria,SNOMED,SM,FALSE
42709887,449759005,Hypertensive complication,SNOMED,SM,FALSE
45768449,706882009,Hypertensive crisis,SNOMED,SM,FALSE
316866,38341003,Hypertensive disorder,SNOMED,SM,FALSE
43020424,133000000000000,Hypertensive emergency,SNOMED,SM,FALSE
312938,50490005,Hypertensive encephalopathy,SNOMED,SM,FALSE
44784621,8500000000000,Hypertensive heart and chronic kidney disease,SNOMED,SM,FALSE
43021835,96700000000000,Hypertensive heart AND chronic kidney disease stage 3,SNOMED,SM,FALSE
44782728,15800000000000,Hypertensive heart AND chronic kidney disease with congestive heart failure,SNOMED,SM,FALSE
195556,86234004,Hypertensive heart AND renal disease,SNOMED,SM,FALSE
439696,194779001,Hypertensive heart and renal disease with (congestive) heart failure,SNOMED,SM,FALSE
