"concept_id","concept_code","concept_name","vocabulary_id"
45537929,"D69.3","Idiopathic thrombocytopenic purpura","ICD10"
35206770,"D69.3","Immune thrombocytopenic purpura","ICD10CM"
45557091,"D69.41","Evans syndrome","ICD10CM"
45537936,"D75.82","Heparin induced thrombocytopenia (HIT)","ICD10CM"
4009307,"111588002","Heparin-induced thrombocytopenia with thrombosis","SNOMED"
4028065,"128091003","Autoimmune thrombocytopenia","SNOMED"
4133983,"128092005","Secondary autoimmune thrombocytopenia","SNOMED"
318397,"13172003","Chronic idiopathic thrombocytopenic purpura","SNOMED"
40321715,"154825008","Thrombocytopenic purpura: [primary] or [idiopathic]","SNOMED"
40390495,"191316002","Idiopathic purpura (& thrombocytopenic)","SNOMED"
4000065,"19307009","Drug-induced immune thrombocytopenia","SNOMED"
4120621,"234490009","Immune thrombocytopenic purpura","SNOMED"
40351354,"267567001","Thrombocytopenic purpura: [primary] or [idiopathic]","SNOMED"
4102469,"28505005","Acute idiopathic thrombocytopenic purpura","SNOMED"
4137430,"32273002","Idiopathic thrombocytopenic purpura","SNOMED"
4230266,"438476003","Autoimmune thrombotic thrombocytopenic purpura","SNOMED"
433749,"73397007","Heparin-induced thrombocytopenia","SNOMED"
436956,"75331009","Evans syndrome","SNOMED"
4195579,"7933002","Neonatal thrombocytopenia associated with maternal idiopathic thrombocytopenic purpura","SNOMED"
