concept_id,concept_name,concept_code,vocabulary_id
376112,Polyneuropathy due to diabetes mellitus,49455004,SNOMED
375260,Polyneuropathy in collagen vascular disease,193177003,SNOMED
374925,Acute infective polyneuritis,129131007,SNOMED
373470,Toxic polyneuropathy,45600000,SNOMED
46274079,Polyneuropathy due to infectious mononucleosis,1.09023E+15,SNOMED
46270482,Polyneuropathy due to systemic sclerosis,3.22461E+14,SNOMED
46269858,Polyneuropathy due to cytomegaloviral mononucleosis,1.08537E+15,SNOMED
42598759,acute canine polyradiculoneuropathy,3.38661E+14,SNOMED Veterinary
42539208,Radiation polyneuropathy,1.6054E+16,SNOMED
42538791,Chronic painful polyneuropathy following chemotherapy,762595001,SNOMED
37399460,CANOMAD syndrome,715624006,SNOMED
37396786,Acute inflammatory demyelinating polyradiculoneuropathy,716723000,SNOMED
37396785,Acute motor sensory axonal neuropathy,716722005,SNOMED
37396086,Acute motor axonal neuropathy,715770009,SNOMED
37312198,Sensory polyneuropathy due to diabetes mellitus,789585000,SNOMED
37204541,Acute pure sensory neuropathy,783244002,SNOMED
37204432,"46,XY gonadal dysgenesis, motor and sensory neuropathy syndrome",783091003,SNOMED
37204369,Pharyngeal-cervical-brachial variant of Guillain-Barré syndrome,783010003,SNOMED
37110682,Polyneuropathy co-occurrent and due to systemic connective tissue disorder,724998006,SNOMED
37109673,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, cataract syndrome",723452007,SNOMED
37018721,Polyneuropathy co-occurrent with human immunodeficiency virus infection,713489006,SNOMED
37017432,Polyneuropathy due to type 2 diabetes mellitus,713706002,SNOMED
37017431,Polyneuropathy due to type 1 diabetes mellitus,713705003,SNOMED
36715501,Polyneuropathy due to classical cystic fibrosis,721197001,SNOMED
36675041,Progressive polyneuropathy with bilateral striatal necrosis,771305006,SNOMED
36675024,Digital extensor muscle aplasia with polyneuropathy,771261002,SNOMED
36674826,"Polyneuropathy, intellectual disability, acromicria, premature menopause syndrome",770679002,SNOMED
35624152,Neurolymphomatosis,766752000,SNOMED
35624130,Paraparetic variant of Guillain-Barré syndrome,766722008,SNOMED
35623634,Acute sensory ataxic neuropathy,766049000,SNOMED
4327957,Polyradiculopathy,75572007,SNOMED
4311539,Motor polyneuropathy,85423005,SNOMED
4296728,Polyneuritis,76886005,SNOMED
4292375,Familial amyloid polyneuropathy with cutaneous amyloidosis,402460000,SNOMED
4283669,Acrodynia due to mercury,66695004,SNOMED
4260823,"Familial amyloid polyneuropathy, type II",4463009,SNOMED
4239243,"Familial amyloid polyneuropathy, Iowa type",9133005,SNOMED
4226662,Polyneuropathy associated with AIDS,421597001,SNOMED
4215344,"Familial amyloid polyneuropathy, Jewish type",41590007,SNOMED
4209749,Polyneuritis cranialis,56795008,SNOMED
4201143,"Familial amyloid polyneuropathy, type VI",5134006,SNOMED
4190712,Mixed sensory-motor polyneuropathy,3900008,SNOMED
4187806,Tropical ataxic neuropathy,46138007,SNOMED
4174262,Polyneuropathy,42345000,SNOMED
4173311,Familial amyloid polyneuropathy,42295001,SNOMED
4164770,Guillain-Barré syndrome,40956001,SNOMED
4161823,Amyloid polyneuropathy type I,398229007,SNOMED
4134432,Polyradiculoneuropathy,128078004,SNOMED
4129225,Motor polyneuropathy due to diabetes mellitus,126535008,SNOMED
4119333,Polyneuropathy and mononeuropathy,302225005,SNOMED
4105637,Polyneuropathy in disseminated lupus erythematosus,193178008,SNOMED
4105014,Post-infectious polyneuritis,193174005,SNOMED
4102494,Polyneuropathy due to amyloidosis,193187004,SNOMED
4102493,Polyneuropathy in rheumatoid arthritis,193180002,SNOMED
4101894,Polyneuropathy in herpes zoster,193190005,SNOMED
4101893,Polyneuropathy due to vitamin B deficiency,193188009,SNOMED
4101891,Polyneuropathy in polyarteritis nodosa,193179000,SNOMED
4082017,Subacute inflammatory demyelinating polyradiculoneuropathy,277189006,SNOMED
4080337,Syphilitic polyneuropathy,240569007,SNOMED
4070552,Fisher's syndrome,1767005,SNOMED
4054812,Mixed sensorimotor polyneuropathy due to diabetes mellitus,126534007,SNOMED
4048037,Local toxic nerve damage,230612003,SNOMED
4048036,Neuropathy caused by organic substance,230608009,SNOMED
4048024,Chronic inflammatory demyelinating polyradiculoneuropathy with central nervous system demyelination,230564004,SNOMED
4048022,Congenital polyneuropathy,230560008,SNOMED
4046342,Neuropathy caused by chemical substance,230607004,SNOMED
4046332,Diabetic acute painful polyneuropathy,230574001,SNOMED
4046242,Late congenital syphilitic polyneuropathy,230563005,SNOMED
4044401,Neuropathy due to bacterial toxin,230611005,SNOMED
4044393,Asymmetric polyneuropathy due to diabetes mellitus,230576004,SNOMED
4044392,Chronic painful polyneuropathy due to diabetes mellitus,230575000,SNOMED
4031720,Porphyric polyneuropathy,129616004,SNOMED
4029646,Sensory polyneuropathy,13694005,SNOMED
4024519,Uremic neuropathy,11659006,SNOMED
761859,Polyneuropathy caused by Borrelia species,1.60772E+16,SNOMED
760979,Polyneuropathy due to secondary diabetes mellitus,1.26571E+14,SNOMED
443450,Polyneuropathy in collagen malignant disease,408671002,SNOMED
381551,Polyneuropathy due to drug,7339009,SNOMED
381009,Chronic inflammatory demyelinating polyradiculoneuropathy,128209004,SNOMED
380394,Idiopathic progressive polyneuropathy,33209009,SNOMED
378421,Alcoholic polyneuropathy,7916009,SNOMED
376686,Polyneuropathy associated with another disorder,193186008,SNOMED
4104844,Cervical sympathetic paralysis,192915005,SNOMED
194913,Idiopathic peripheral autonomic neuropathy,86489003,SNOMED
4029594,Reduced anion gap,237855003,SNOMED
4029593,Increased anion gap,237854004,SNOMED
4029592,Drug-induced hyperkalemia,237849008,SNOMED
4029591,Hyperkalemic alkalosis,237846001,SNOMED
4029590,Hyponatremia with decreased serum osmolality,237842004,SNOMED
4029582,Hyperandrogenization syndrome,237793004,SNOMED
4029488,Hepatic encephalopathy,13920009,SNOMED
4029440,Familial central diabetes insipidus,237696003,SNOMED
4029428,Alimentary hyperinsulinemia,237647008,SNOMED
4029427,Drug-induced hyperinsulinemia,237646004,SNOMED
4029426,Ectopic IGF-2 hypoglycemia,237644001,SNOMED
4029425,Alimentary hypoglycemia,237639008,SNOMED
4029424,Non-diabetic hypoglycemia,237637005,SNOMED
4029423,Hypoglycemia due to diabetes mellitus,237633009,SNOMED
4029422,Hypoglycemic event due to diabetes,237632004,SNOMED
4029421,Metabolic stress hyperglycemia,237624007,SNOMED
4029420,Severe hyperglycemia due to diabetes mellitus,237621004,SNOMED
4029371,Medium-chain acyl-coenzyme A dehydrogenase deficiency,128596003,SNOMED
4029305,Hypercholesterolemia,13644009,SNOMED
4029285,Increased oxygen demand,238163001,SNOMED
4029284,Impaired oxygen extraction,238162006,SNOMED
4029283,Impaired oxygen delivery,238161004,SNOMED
4029270,Carnitine nutritional deficiency,238112001,SNOMED
4029267,Apo A-I Milano variant,238097005,SNOMED
4029266,Fish-eye disease,238092004,SNOMED
4029265,Lecithin cholesterol acyltransferase deficiency,238091006,SNOMED
4029263,Primary combined hyperlipidemia,238088006,SNOMED
4029261,Fredrickson type IV hyperlipoproteinemia,238085009,SNOMED
4029260,Primary hypertriglyceridemia,238083002,SNOMED
4029259,Familial hypercholesterolemia - heterozygous,238079002,SNOMED
4029258,Polygenic hypercholesterolemia,238077000,SNOMED
4029257,"Xanthomatosis, familial",238074007,SNOMED
4029256,Isolated alkyldihydroxyacetone phosphate synthase deficiency,238073001,SNOMED
4029255,Glutaryl-CoA oxidase deficiency,238070003,SNOMED
4029126,Bifunctional peroxisomal enzyme deficiency,238068007,SNOMED
4029125,Loss of multiple peroxisomal functions,238063003,SNOMED
4029123,Homozygous hereditary coproporphyria,238056003,SNOMED
4029122,Alpha-N-acetylgalactosaminidase deficiency,238048001,SNOMED
4029119,Familial hyperlipoproteinemia,238038003,SNOMED
4029118,Disorder of cholesterol synthesis,238036004,SNOMED
4029117,Galactocerebroside beta-galactosidase deficiency - early onset,238030005,SNOMED
4029116,Adult GM1 gangliosidosis,238027003,SNOMED
4029115,B1 variant hexosaminidase A deficiency,238024005,SNOMED
4029114,Total hexosaminidase deficiency - adult,238020001,SNOMED
4029113,Total hexosaminidase deficiency - infantile,238018004,SNOMED
4029111,"Hypokalemia, inadequate intake",23800005,SNOMED
4029108,Very long chain acyl-CoA dehydrogenase deficiency,237997005,SNOMED
4029107,Depletion of mitochondrial DNA,237995002,SNOMED
4029106,Deletion and duplication of mitochondrial DNA,237994003,SNOMED
4029104,Deficiency in enzyme complexes of mitochondrial respiratory chain,237987001,SNOMED
4029103,D-Glyceric aciduria,237980004,SNOMED
4029101,Valinosis,237944004,SNOMED
4029100,Gamma-aminobutyric acid transaminase deficiency,237941007,SNOMED
4029098,Disorder of tetrahydrobiopterin metabolism,237913008,SNOMED
4029096,Osmotic disturbance,237910006,SNOMED
4029095,Iatrogenic hyperphosphatemia,237905007,SNOMED
4029094,Renal failure-associated hyperphosphatemia,237904006,SNOMED
4029093,Acquired hypophosphatemia,237902005,SNOMED
4028959,Hypophosphatemic rickets with nephrotic-glycosuric dwarfism,237888005,SNOMED
4028958,Drug-induced hypocalcemia,237884007,SNOMED
4028956,Secondary hypercalcemia,237880003,SNOMED
4028950,Mixed acid-base balance disorders - not compensated primary disorder,237858001,SNOMED
4028949,Hypokalemia with normal acid-base balance,237852000,SNOMED
4028948,Hyperkalemia with normal acid-base balance,237848000,SNOMED
4028947,Drug-induced hyponatremia,237844003,SNOMED
4028946,Pseudohyponatremia,237843009,SNOMED
4028931,Corticosteroid 11-reductase deficiency,237771009,SNOMED
4028930,Disorder of cortisol-cortisone shuttle,237769009,SNOMED
4028928,CAH - desmolase deficiency,237755009,SNOMED
4028926,Virilization-adrenogenital syndrome,237749004,SNOMED
4028803,Absent osmoregulation,237728000,SNOMED
4028802,Osmoregulation defect - excess thirst,237727005,SNOMED
4028040,Pipecolic acidemia,13306007,SNOMED
4027848,Secondary diabetes insipidus,13196008,SNOMED
4027782,Lipid storage disease,10741005,SNOMED
4027557,Chronic metabolic disorder,128289001,SNOMED
4027550,Impaired glucose tolerance with hyperinsulism,128264007,SNOMED
4027395,Inherited metabolic disorder of nervous system,128190004,SNOMED
4027350,Juvenile nephropathic cystinosis,22830006,SNOMED
4026031,"Cutis laxa, acquired type",19726003,SNOMED
4025818,Tryptophanuria with dwarfism,12045002,SNOMED
4025133,"Citrullinemia, late-onset type",12066005,SNOMED
4024659,Gestational diabetes mellitus,11687002,SNOMED
4024556,Metabolic renal disease,106000008,SNOMED
4024103,Triglyceride storage disease with ichthyosis,19604005,SNOMED
4022093,Electrolyte imbalance,105593004,SNOMED
4021042,Disorder of organic acid metabolism,116021002,SNOMED
4020857,North American Indian intrahepatic cholestasis,10518000,SNOMED
4020311,Deprivation of water,212971003,SNOMED
4017079,Chronic hypokalemia,10469003,SNOMED
4016501,Disacchariduria,1038000,SNOMED
4016108,Lesch-Nyhan syndrome,10406007,SNOMED
4016089,Hypochloremia,10399008,SNOMED
4016047,Loss of hypoglycemic warning due to diabetes mellitus,170766006,SNOMED
4016046,Chronic hyperglycemia,170765005,SNOMED
4015092,Lipoidosis,11455007,SNOMED
4012934,Homocystinuria,11282001,SNOMED
4009783,Hyperthermia-hyperphagia-hypothyroidism syndrome,111569009,SNOMED
4009637,Saccharopinuria,111397004,SNOMED
4009322,"Glycogen storage disease, type IV",11179002,SNOMED
4009303,Diabetic ketoacidosis without coma,111556005,SNOMED
4009174,Pseudohyperparathyroidism,111408001,SNOMED
4009171,"Cutis laxa, autosomal dominant",111388003,SNOMED
4009170,Tay-Sachs disease,111385000,SNOMED
4008702,Brown oculocutaneous albinism,11160000,SNOMED
4008578,Spontaneous hypoglycemia,111559003,SNOMED
4008576,Diabetes mellitus without complication,111552007,SNOMED
4008557,"Dysmorphic sialidosis, juvenile form",111383007,SNOMED
4008391,Transient hyperammonemia in infancy,11225002,SNOMED
4007235,"Black locks, oculocutaneous albinism, AND deafness of the sensorineural type",10170007,SNOMED
4006979,Leprechaunism syndrome,111307005,SNOMED
4006466,Refetoff syndrome,111567006,SNOMED
4006317,Chédiak-Higashi syndrome,111396008,SNOMED
4006316,Metabolic disorder of transport,111394006,SNOMED
4006313,Porphyria due to toxic effect of substance,111387008,SNOMED
4006312,Homozygous porphyria cutanea tarda,111386004,SNOMED
4006310,Chemically-induced lipidosis,111382002,SNOMED
4006309,Respiratory alkalosis,111378004,SNOMED
4006308,"Metabolic acidosis, normal anion gap (NAG)",111377009,SNOMED
4006297,Sjögren-Larsson syndrome,111303009,SNOMED
4006252,Focal hemosiderosis,10180006,SNOMED
4003230,Functional hyperinsulinism,12002009,SNOMED
4002589,"Ehlers-Danlos syndrome, non hydroxylysine deficient ocular type",10033001,SNOMED
4001047,Hypoalbuminemia,119247004,SNOMED
3663236,Perinatal lethal Gaucher disease,870313002,SNOMED
3655976,Acute hypoxemic respiratory failure due to disease caused by Severe acute respiratory syndrome coronavirus 2,870590002,SNOMED
3655893,Deficiency of 24-hydroxylase,870383008,SNOMED
3655320,Glycogen storage disease type IXB,860860004,SNOMED
3655319,Erythropoietic protoporphyria due to ferrochelatase deficiency,860859009,SNOMED
3655318,Glycogen storage disease due to muscle pyruvate kinase deficiency,860858001,SNOMED
3654504,Hereditary xanthinuria type 1,836343001,SNOMED
3654296,Polycystic ovary syndrome of bilateral ovaries,830054005,SNOMED
3654295,Polycystic ovary syndrome of left ovary,830053004,SNOMED
3654294,Polycystic ovary syndrome of right ovary,830052009,SNOMED
3198118,Poorly controlled diabetes mellitus,2.977E+16,Nebraska Lexicon
3195445,Homozygous C6777T methylenetetrahydrofolate reductase deficiency,1.568E+16,Nebraska Lexicon
3194332,Poorly controlled type II diabetes with renal complications,1.016E+16,Nebraska Lexicon
3194119,Poorly controlled type 1 diabetes,2.968E+16,Nebraska Lexicon
3194082,Poorly controlled type II diabetes with complications,1.015E+16,Nebraska Lexicon
3193274,Poorly controlled type 2 diabetes,2.969E+16,Nebraska Lexicon
3192767,Poorly controlled type II diabetes with circulatory disease,1.014E+16,Nebraska Lexicon
3191208,Poorly controlled type II diabetes with neuropathy,1.017E+16,Nebraska Lexicon
3189523,Mitochondrial ataxia syndrome,3.08E+16,Nebraska Lexicon
3189326,Heterozygote for methylmalonic acidemia,6E+15,Nebraska Lexicon
3185010,Hypoglycemia secondary to sulfonylurea,2.437E+16,Nebraska Lexicon
3184471,Hepatopulmonary shunting,5.13E+15,Nebraska Lexicon
3183244,Gestational diabetes during pregnancy,5.62E+15,Nebraska Lexicon
3181307,Iatrogenic diabetes insipidus,1.72E+15,Nebraska Lexicon
3178281,Diabetes mellitus complicating Cystic fibrosis,2.35E+15,Nebraska Lexicon
3176072,Acute hepatic encephalopathy,2.866E+16,Nebraska Lexicon
3169474,Diabetic hypoglycemia w anger outbursts,1.658E+16,Nebraska Lexicon
3169253,Hypertension with apparent mineralocorticoid excess,6.4E+15,Nebraska Lexicon
765478,Diabetes mellitus caused by drug without complication,3.67391E+14,SNOMED
764906,Ethylmalonic encephalopathy protein 1 deficiency (disorder),8.21E+11,SNOMED
764892,2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency,8.01E+11,SNOMED
764790,Multiple carboxylase deficiency,6.2151E+13,SNOMED
763021,Chronic viral hepatitis C with hepatic coma,4.35101E+14,SNOMED
763020,Hepatitis with hepatic coma,4.35091E+14,SNOMED
762219,Chronic tophaceous gout of right wrist due to renal impairment,3.04261E+14,SNOMED
761955,Iatrogenic hypocalcemia,2.349E+16,SNOMED
761050,Ketoacidosis due to secondary diabetes mellitus,1.38621E+14,SNOMED
444377,Inborn error of metabolism,86095007,SNOMED
444369,Hyperosmolality,20313009,SNOMED
443895,Retinal dystrophy in systemic lipidosis,15059000,SNOMED
443734,Ketoacidosis due to type 2 diabetes mellitus,421750000,SNOMED
443727,Diabetic ketoacidosis,420422005,SNOMED
443705,Illegal termination of pregnancy complicated by metabolic disorder,18684002,SNOMED
443618,Neonatal hypoxemia,431335002,SNOMED
443592,Hyperosmolality due to uncontrolled type 1 diabetes mellitus,428896009,SNOMED
443412,Type 1 diabetes mellitus without complication,313435000,SNOMED
443208,Hungry bone syndrome,237883001,SNOMED
443012,Diabetes mellitus during pregnancy - baby delivered,199225007,SNOMED
442636,Incomplete testicular feminization syndrome,67528009,SNOMED
442575,Enzymopathy,78548001,SNOMED
442295,Disorder of carbohydrate transport,54905006,SNOMED
441830,Disorder of fluid AND/OR electrolyte,76314005,SNOMED
441829,Hyperosmolality and or hypernatremia,267446004,SNOMED
441827,Disorder of amino acid and organic acid metabolism,237911005,SNOMED
441536,Mixed acid-base balance disorder,76220009,SNOMED
441268,Disorder of peroxisomal function,238059005,SNOMED
440674,Gout,90560007,SNOMED
440360,Pure hyperglyceridemia,267433009,SNOMED
440359,Androgen resistance syndrome,12313004,SNOMED
440066,Disorder of purine and pyrimidine metabolism,238006008,SNOMED
439788,Galactosemia,190745006,SNOMED
439770,Ketoacidosis due to type 1 diabetes mellitus,420270002,SNOMED
439689,Retinal dystrophy in cerebroretinal lipidosis,192788009,SNOMED
439675,Hepatic coma due to acute hepatitis B with delta agent,186624004,SNOMED
439672,Hepatic coma due to viral hepatitis C,186628001,SNOMED
439003,Disorder of branched-chain amino acid metabolism,116020001,SNOMED
438782,Idiopathic pulmonary hemosiderosis,40527005,SNOMED
438730,Alkalosis,21420006,SNOMED
438725,Disorder of magnesium metabolism,60853003,SNOMED
438721,Disorder of mineral metabolism,45744005,SNOMED
