"concept_id","concept_code","concept_name","vocabulary_id"
45577035,"L40","Psoriasis","ICD10"
45543370,"L40.0","Psoriasis vulgaris","ICD10"
45552978,"L40.1","Generalized pustular psoriasis","ICD10"
45552979,"L40.2","Acrodermatitis continua","ICD10"
45591634,"L40.3","Pustulosis palmaris et plantaris","ICD10"
45577036,"L40.4","Guttate psoriasis","ICD10"
45557703,"L40.5","Arthropathic psoriasis","ICD10"
45567355,"L40.8","Other psoriasis","ICD10"
45533641,"L40.9","Psoriasis, unspecified","ICD10"
45586769,"L41","Parapsoriasis","ICD10"
45605984,"L41.3","Small plaque parapsoriasis","ICD10"
45581943,"L41.4","Large plaque parapsoriasis","ICD10"
45567356,"L41.5","Retiform parapsoriasis","ICD10"
45605985,"L41.8","Other parapsoriasis","ICD10"
45562536,"L41.9","Parapsoriasis, unspecified","ICD10"
45755462,"M07","Psoriatic and enteropathic arthropathies","ICD10"
45577120,"M07.0","Distal interphalangeal psoriatic arthropathy","ICD10"
42616653,"M07.00","Distal interphalangeal psoriatic arthropathy, multiple sites","ICD10"
42616654,"M07.01","Distal interphalangeal psoriatic arthropathy, shoulder region","ICD10"
42616655,"M07.02","Distal interphalangeal psoriatic arthropathy, upper arm","ICD10"
42616656,"M07.03","Distal interphalangeal psoriatic arthropathy, forearm","ICD10"
42616657,"M07.04","Distal interphalangeal psoriatic arthropathy, hand","ICD10"
42616658,"M07.05","Distal interphalangeal psoriatic arthropathy, pelvic region and thigh","ICD10"
42616659,"M07.06","Distal interphalangeal psoriatic arthropathy, lower leg","ICD10"
42616660,"M07.07","Distal interphalangeal psoriatic arthropathy, ankle and foot","ICD10"
42616661,"M07.08","Distal interphalangeal psoriatic arthropathy, other","ICD10"
42616662,"M07.09","Distal interphalangeal psoriatic arthropathy, site unspecified","ICD10"
45601290,"M07.1","Arthritis mutilans","ICD10"
42616663,"M07.10","Arthritis mutilans, multiple sites","ICD10"
42616664,"M07.11","Arthritis mutilans, shoulder region","ICD10"
42616665,"M07.12","Arthritis mutilans, upper arm","ICD10"
42616666,"M07.13","Arthritis mutilans, forearm","ICD10"
42616667,"M07.14","Arthritis mutilans, hand","ICD10"
42616668,"M07.15","Arthritis mutilans, pelvic region and thigh","ICD10"
