concept_id,concept_name,concept_code,vocabulary_id
312940,Acute-on-chronic respiratory failure,67905004,SNOMED
314971,Chronic respiratory failure,39871006,SNOMED
765888,Acute-on-chronic respiratory failure following trauma,10762071000119100,SNOMED
4063381,Chronic disease of respiratory system,17097001,SNOMED
4105765,Hypercapnia,29596007,SNOMED
4140438,Chronic hypercapnic respiratory failure,426896000,SNOMED
4177862,Chronic hypoxemic respiratory failure,428173007,SNOMED
4179670,Chronic respiratory insufficiency,427896006,SNOMED
4201387,Tracheostomy present,302108003,SNOMED
4256228,Respiratory failure,409622000,SNOMED
4306572,Hypoxia,389086002,SNOMED
4325865,Chronic hypercapnia,429428003,SNOMED
4327886,Dependence on biphasic positive airway pressure ventilation,429091008,SNOMED
35615340,Acute on chronic hypoxemic and hypercapnic respiratory failure,20091000175107,SNOMED
36716978,Acute on chronic hypercapnic respiratory failure,7361000175106,SNOMED
37016114,Acute on chronic hypoxemic respiratory failure,10672271000119100,SNOMED
40481547,Dependence on ventilator,444932008,SNOMED
42873170,Dependence on supplemental oxygen,931000119107,SNOMED
46271074,Hypercapnic respiratory failure,709109004,SNOMED
318459,Respiratory insufficiency,409623005,SNOMED
320136,Disorder of respiratory system,50043002,SNOMED
437390,Hypoxemia,389087006,SNOMED
4006969,Acute respiratory disease,111273006,SNOMED
37395564,Hypoxemic respiratory failure,10676831000119100,SNOMED
46270151,Dependence on respiratory device,152921000119101,SNOMED
