concept_id,concept_code,concept_name,codeset
36716312,722278006,Acute kidney injury due to sepsis,sepsis
40487101,447931005,Clinical sepsis,sepsis
40484176,443980004,Neutropenic sepsis,sepsis
132797,91302008,Sepsis,sepsis
4046106,230361008,Sepsis-associated encephalopathy,sepsis
4078317,276229008,Sepsis-associated gastrointestinal hemorrhage,sepsis
4079695,277638005,Sepsis-associated left ventricular failure,sepsis
4080898,276741000,Sepsis-associated myocardial dysfunction,sepsis
4031168,238151006,Sepsis-associated organ dysfunction,sepsis
4079296,277639002,Sepsis-associated right ventricular failure,sepsis
36674642,770349000,Sepsis caused by virus,sepsis
3655975,870588003,Sepsis due to disease caused by Severe acute respiratory syndrome coronavirus 2,sepsis
4071063,206376005,Sepsis of the newborn,sepsis
4340675,235657005,Sepsis-related gastritis,sepsis
4262317,397843005,Sepsis-related gastrointestinal lesions,sepsis
4031169,238152004,Sepsis-related gastrointestinal ulceration,sepsis
4029281,238150007,Sepsis syndrome,sepsis
44782631,700055009,Sepsis with cutaneous manifestations,sepsis
36717263,1092461000119100,Sepsis without acute organ dysfunction,sepsis
760981,126811000119102,Sepsis without acute organ dysfunction caused by Serratia species,sepsis
760984,127121000119101,Sepsis without acute organ dysfunction caused by Streptococcus pneumoniae,sepsis
37312594,789043007,Sepsis without septic shock,sepsis
37394658,1036671000000100,Severe sepsis,sepsis
36674642,770349000,Sepsis caused by virus,sepsis
4071063,206376005,Sepsis of the newborn,sepsis
46284901,957000000000000,Uncomplicated sepsis,sepsis
