"concept_id","concept_code","concept_name","vocabulary_id"
45557105,"E06.3","Autoimmune thyroiditis","ICD10"
35206868,"E06.3","Autoimmune thyroiditis","ICD10CM"
40320743,"154667002","Chronic thyroiditis (& [Hashimoto's disease])","SNOMED"
40384451,"18018005","Self-limiting autoimmune thyroiditis with transient hyperthyroidism and/or hypothyroidism","SNOMED"
40386324,"190297000","Thyroiditis: [chronic lymphocytic] or [autoimmune] or [Hashimoto's]","SNOMED"
135215,"21983002","Hashimoto thyroiditis","SNOMED"
4130012,"237500008","Hashitoxicosis - transient","SNOMED"
4130018,"237520009","Hypothyroidism due to Hashimoto's thyroiditis","SNOMED"
40437585,"237534009","Hashimoto's thyroiditis","SNOMED"
40350830,"267466008","Chronic thyroiditis (& [Hashimoto's disease])","SNOMED"
4100629,"27538003","Hyperthyroidism with Hashimoto disease","SNOMED"
4262556,"361124009","Self-limiting autoimmune thyroiditis with transient hyperthyroidism and/or hypothyroidism","SNOMED"
4262557,"361125005","Subacute autoimmune thyroiditis","SNOMED"
4281109,"66944004","Autoimmune thyroiditis","SNOMED"
36674282,"771271000","Steroid-responsive encephalopathy associated with autoimmune thyroiditis","SNOMED"
138711,"84362007","Fibrous autoimmune thyroiditis","SNOMED"
