"concept_id","concept_code","concept_name","vocabulary_id"
45586745,"K90.0","Coeliac disease","ICD10"
35208401,"K90.0","Celiac disease","ICD10CM"
40394273,"197477005","(Celiac: [disease] or [rickets]) or (Gee-Herter disease)","SNOMED"
4027109,"197478000","Congenital celiac disease","SNOMED"
4056336,"197479008","Acquired celiac disease","SNOMED"
4059313,"197481005","Celiac disease NOS","SNOMED"
40440962,"23829007","Celiac disease","SNOMED"
4170117,"275404008","Celiac rickets","SNOMED"
40521005,"316698002","[V]Investigation for celiac disease","SNOMED"
4218370,"396330006","Celiac crisis","SNOMED"
194992,"396331005","Celiac disease","SNOMED"
4166056,"45259000","Celiac infantilism","SNOMED"
4267871,"61715008","Celiac disease with diffuse intestinal ulceration","SNOMED"
36716394,"722386009","Celiac disease with epilepsy and cerebral calcification syndrome","SNOMED"
36674761,"770593004","Refractory celiac disease","SNOMED"
4241413,"91867008","Adult form of celiac disease","SNOMED"
