concept_id,concept_name,vocabulary_id,concept_code
19251,Anaphylactic reaction due to unspecified food,ICD10CM,T78.00
19252,Anaphylactic reaction due to peanuts,ICD10CM,T78.01
19259,Anaphylactic reaction due to eggs,ICD10CM,T78.08
19260,Anaphylactic reaction due to other food products,ICD10CM,T78.09
44821406,Anaphylactic reaction due to fish,ICD9CM,995.65
44821407,Anaphylactic reaction due to milk products,ICD9CM,995.67
44823658,"Anaphylactic reaction due to serum, not elsewhere classified",ICD9CM,999.4
44824839,Anaphylactic reaction due to peanuts,ICD9CM,995.61
44826025,Anaphylactic reaction due to eggs,ICD9CM,995.68
44827179,Anaphylactic reaction due to food additives,ICD9CM,995.66
44828343,Anaphylactic reaction due to other specified food,ICD9CM,995.69
44829475,Anaphylactic reaction due to food,ICD9CM,995.6
44829488,Anaphylactic reaction due to vaccination,ICD9CM,999.42
44831787,Anaphylactic reaction due to fruits and vegetables,ICD9CM,995.63
44832926,Anaphylactic reaction due to tree nuts and seeds,ICD9CM,995.64
44834121,Other anaphylactic reaction,ICD9CM,995
44834126,Anaphylactic reaction due to administration of blood and blood products,ICD9CM,999.41
44834227,Personal history of anaphylaxis,ICD9CM,V13.81
44835303,Anaphylactic reaction due to other serum,ICD9CM,999.49
44836484,Anaphylactic reaction due to crustaceans,ICD9CM,995.62
44837633,Anaphylactic reaction due to unspecified food,ICD9CM,995.6
45541800,"Anaphylactic reaction due to vaccination, initial encounter",ICD10CM,T80.52XA
45541893,"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, initial encounter",ICD10CM,T88.6XXA
45546669,"Anaphylactic reaction due to peanuts, subsequent encounter",ICD10CM,T78.01XD
45546670,"Anaphylactic reaction due to fruits and vegetables, sequela",ICD10CM,T78.04XS
45546671,"Anaphylactic reaction due to tree nuts and seeds, initial encounter",ICD10CM,T78.05XA
45546672,"Anaphylactic reaction due to eggs, initial encounter",ICD10CM,T78.08XA
45551445,"Anaphylactic reaction due to tree nuts and seeds, subsequent encounter",ICD10CM,T78.05XD
45551446,"Anaphylactic shock, unspecified, initial encounter",ICD10CM,T78.2XXA
45551464,"Anaphylactic reaction due to administration of blood and blood products, subsequent encounter",ICD10CM,T80.51XD
