"","dx","dx_type","dx_name"
"1","712823008","SM","Acute depression"
"2","83458005","SM","Agitated depression"
"3","790961000000101","SM","Antenatal depression"
"4","191659001","SM","Atypical depressive disorder"
"5","192080009","SM","Chronic depression"
"6","442057004","SM","Chronic depressive personality disorder"
"7","14183003","SM","Chronic major depressive disorder, single episode"
"8","2618002","SM","Chronic recurrent major depressive disorder"
"9","94631000119100","SM","Depressive disorder in mother complicating pregnancy"
"10","698957003","SM","Depressive disorder in remission"
"11","78667006","SM","Dysthymia"
"12","2506003","SM","Early onset dysthymia"
"13","300706003","SM","Endogenous depression"
"14","231499006","SM","Endogenous depression first episode"
"15","274948002","SM","Endogenous depression - recurrent"
"16","19694002","SM","Late onset dysthymia"
"17","63412003","SM","Major depression in complete remission"
"18","30605009","SM","Major depression in partial remission"
"19","42810003","SM","Major depression in remission"
"20","320751009","SM","Major depression, melancholic type"
"21","36923009","SM","Major depression, single episode"
"22","19527009","SM","Major depression, single episode, in complete remission"
"23","70747007","SM","Major depression single episode, in partial remission"
"24","370143000","SM","Major depressive disorder"
"25","10811121000119102","SM","Major depressive disorder in mother complicating childbirth"
"26","10811161000119107","SM","Major depressive disorder in mother complicating pregnancy"
"27","42925002","SM","Major depressive disorder, single episode with atypical features"
"28","69392006","SM","Major depressive disorder, single episode with catatonic features"
"29","63778009","SM","Major depressive disorder, single episode with melancholic features"
"30","25922000","SM","Major depressive disorder, single episode with postpartum onset"
"31","231500002","SM","Masked depression"
"32","279225001","SM","Maternity blues"
"33","310495003","SM","Mild depression"
"34","87512008","SM","Mild major depression"
"35","79298009","SM","Mild major depression, single episode"
"36","237349002","SM","Mild postnatal depression"
"37","40379007","SM","Mild recurrent major depression"
"38","48589009","SM","Minor depressive disorder"
"39","310496002","SM","Moderate depression"
"40","832007","SM","Moderate major depression"
"41","15639000","SM","Moderate major depression, single episode"
"42","18818009","SM","Moderate recurrent major depression"
"43","58703003","SM","Postpartum depression"
"44","596004","SM","Premenstrual dysphoric disorder"
"45","426578000","SM","Premenstrual dysphoric disorder in remission"
"46","83176005","SM","Primary dysthymia"
"47","38451003","SM","Primary dysthymia early onset"
"48","67711008","SM","Primary dysthymia late onset"
"49","87414006","SM","Reactive depression"
"50","40568001","SM","Recurrent brief depressive disorder"
"51","191616006","SM","Recurrent depression"
"52","66344007","SM","Recurrent major depression"
"53","46244001","SM","Recurrent major depression in complete remission"
"54","33135002","SM","Recurrent major depression in partial remission"
"55","68019004","SM","Recurrent major depression in remission"
"56","38694004","SM","Recurrent major depressive disorder with atypical features"
"57","39809009","SM","Recurrent major depressive disorder with catatonic features"
"58","319768000","SM","Recurrent major depressive disorder with melancholic features"
"59","71336009","SM","Recurrent major depressive disorder with postpartum onset"
"60","268621008","SM","Recurrent major depressive episodes"
"61","191615005","SM","Recurrent major depressive episodes, in full remission"
"62","764691000000109","SM","Recurrent major depressive episodes, in partial remission"
"63","764701000000109","SM","Recurrent major depressive episodes, in remission"
"64","191610000","SM","Recurrent major depressive episodes, mild"
"65","191611001","SM","Recurrent major depressive episodes, moderate"
"66","764611000000100","SM","Recurrent major depressive episodes, severe"
"67","191613003","SM","Recurrent major depressive episodes, severe, with psychosis"
"68","247803002","SM","Seasonal affective disorder"
"69","85080004","SM","Secondary dysthymia"
"70","3109008","SM","Secondary dysthymia early onset"
"71","36170009","SM","Secondary dysthymia late onset"
"72","310497006","SM","Severe depression"
"73","450714000","SM","Severe major depression"
"74","251000119105","SM","Severe major depression, single episode"
"75","76441001","SM","Severe major depression, single episode, without psychotic features"
"76","430852001","SM","Severe major depression, single episode, with psychotic features"
"77","77911002","SM","Severe major depression, single episode, with psychotic features, mood-congruent"
"78","20250007","SM","Severe major depression, single episode, with psychotic features, mood-incongruent"
"79","75084000","SM","Severe major depression without psychotic features"
"80","73867007","SM","Severe major depression with psychotic features"
"81","33736005","SM","Severe major depression with psychotic features, mood-congruent"
"82","60099002","SM","Severe major depression with psychotic features, mood-incongruent"
"83","237350002","SM","Severe postnatal depression"
"84","281000119103","SM","Severe recurrent major depression"
"85","36474008","SM","Severe recurrent major depression without psychotic features"
"86","28475009","SM","Severe recurrent major depression with psychotic features"
"87","33078009","SM","Severe recurrent major depression with psychotic features, mood-congruent"
"88","15193003","SM","Severe recurrent major depression with psychotic features, mood-incongruent"
"89","133121000119109","SM","Severe seasonal affective disorder"
"90","268620009","SM","Single major depressive episode"
"91","191606003","SM","Single major depressive episode, in full remission"
"92","764721000000100","SM","Single major depressive episode, in partial remission"
"93","764711000000106","SM","Single major depressive episode, in remission"
"94","191601008","SM","Single major depressive episode, mild"
"95","191602001","SM","Single major depressive episode, moderate"
"96","764631000000108","SM","Single major depressive episode, severe"
"97","191604000","SM","Single major depressive episode, severe, with psychosis"
"98","79842004","SM","Stuporous depression"
"99","430421000000104","SM","[X]Mild depressive episode"
"100","465441000000108","SM","[X]Moderate depressive episode"
"101","755331000000108","SM","[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission"
"102","397701000000102","SM","[X]Severe depressive episode without psychotic symptoms"
"103","397711000000100","SM","[X]Severe depressive episode with psychotic symptoms"
"104","455731000000100","SM","[X] Single episode agitated depression without psychotic symptoms"
"105","401211000000106","SM","[X] Single episode major depression without psychotic symptoms"
"106","755321000000106","SM","[X]Single major depressive episode, severe, with psychosis, psychosis in remission"
"107","296.2","09","Major depressive disorder, single episode"
"108","296.20","09","Major depressive affective disorder, single episode, unspecified"
"109","296.21","09","Major depressive affective disorder, single episode, mild"
"110","296.22","09","Major depressive affective disorder, single episode, moderate"
"111","296.23","09","Major depressive affective disorder, single episode, severe, without mention of psychotic behavior"
"112","296.24","09","Major depressive affective disorder, single episode, severe, specified as with psychotic behavior"
"113","296.25","09","Major depressive affective disorder, single episode, in partial or unspecified remission"
"114","296.26","09","Major depressive affective disorder, single episode, in full remission"
"115","296.3","09","Major depressive disorder, recurrent episode"
