concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
254761,49727002,Cough,SNOMED,SM,FALSE
766424,R05.1,Acute cough,ICD10CM,10,FALSE
766424,R051,Acute cough,ICD10CM,10,TRUE
766425,R05.2,Subacute cough,ICD10CM,10,FALSE
766425,R052,Subacute cough,ICD10CM,10,TRUE
766426,R05.3,Chronic cough,ICD10CM,10,FALSE
766426,R053,Chronic cough,ICD10CM,10,TRUE
766427,R05.4,Cough syncope,ICD10CM,10,FALSE
766427,R054,Cough syncope,ICD10CM,10,TRUE
766428,R05.8,Other specified cough,ICD10CM,10,FALSE
766428,R058,Other specified cough,ICD10CM,10,TRUE
766429,R05.9,"Cough, unspecified",ICD10CM,10,FALSE
766429,R059,"Cough, unspecified",ICD10CM,10,TRUE
3522256,39171000000108,Bovine cough,SNOMED,SM,FALSE
3522359,41431000000100,Bovine cough,SNOMED,SM,FALSE
3522609,46651000000103,Bovine cough,SNOMED,SM,FALSE
3522638,47591000000108,Bovine cough,SNOMED,SM,FALSE
3524403,216701000000107,Reflux cough,SNOMED,SM,FALSE
3524404,216711000000109,Reflux cough,SNOMED,SM,FALSE
3526348,287131000000101,Barking cough,SNOMED,SM,FALSE
3531156,536861000000102,Cough symptom NOS,SNOMED,SM,FALSE
3540281,677011000000103,Productive cough NOS,SNOMED,SM,FALSE
3542650,709481000000105,Cough on exercise,SNOMED,SM,FALSE
3545326,831721000000106,Episodic dry cough,SNOMED,SM,FALSE
3572518,287121000000103,Barking cough,SNOMED,SM,FALSE
4000163,19282004,Cough on exercise,SNOMED,SM,FALSE
4009942,111962006,Postural cough,SNOMED,SM,FALSE
4023177,225576006,Able to cough up sputum,SNOMED,SM,FALSE
4038519,11833005,Dry cough,SNOMED,SM,FALSE
4048098,135883003,Cough with fever,SNOMED,SM,FALSE
4048759,20670007,Brassy cough,SNOMED,SM,FALSE
4058584,161933007,Evening cough,SNOMED,SM,FALSE
4059017,161925006,Productive cough-yellow sputum,SNOMED,SM,FALSE
4059018,161927003,Night cough present,SNOMED,SM,FALSE
4059020,161932002,Morning cough,SNOMED,SM,FALSE
4060051,161924005,Productive cough -green sputum,SNOMED,SM,FALSE
4060224,161923004,Productive cough -clear sputum,SNOMED,SM,FALSE
4060225,161929000,Chesty cough,SNOMED,SM,FALSE
4060226,161935000,Cough symptom NOS,SNOMED,SM,FALSE
4060313,161947006,Nocturnal cough / wheeze,SNOMED,SM,FALSE
4077128,17986004,Barking cough,SNOMED,SM,FALSE
4090569,247410004,Painful cough,SNOMED,SM,FALSE
4094147,248593001,Cough when swallowing,SNOMED,SM,FALSE
4099940,191954008,Psychogenic cough,SNOMED,SM,FALSE
4102774,28743005,Productive cough,SNOMED,SM,FALSE
4109381,284523002,Persistent cough,SNOMED,SM,FALSE
4116989,300959008,Allergic cough,SNOMED,SM,FALSE
4118760,207066005,[D]Cough,SNOMED,SM,FALSE
4118761,207067001,[D]Cough syncope,SNOMED,SM,FALSE
4118929,207069003,[D]Cough with hemorrhage,SNOMED,SM,FALSE
