concept_id,concept_name,concept_code
4263770,Secondary dysthymia late onset,36170009
4150047,Secondary dysthymia early onset,3109008
4243308,Primary dysthymia early onset,38451003
4057218,Late onset dysthymia,19694002
4096229,Early onset dysthymia,2506003
4242095,Anxiety disorder of adolescence,37868008
4099956,Acute panic state due to acute stress reaction,192037000
381537,Organic anxiety disorder,17496003
4136518,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",31781004
432600,Stress reaction causing mixed disturbance of emotion and conduct,192044009
4147466,Panic disorder with agoraphobia,35607004
4338031,Mixed anxiety and depressive disorder,231504006
436074,Panic disorder,371631005
4137120,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",32388005
4199892,Anxiety disorder due to a general medical condition,52910006
4175779,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",49564006
4135202,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",3158007
4242704,Avoidant disorder of childhood OR adolescence,37872007
4008568,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",111491004
4028677,Overanxious disorder of childhood,13438001
4143602,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",34116005
433178,Anxiety disorder of childhood OR adolescence,109006
4146608,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",30059008
4182119,Panic disorder without agoraphobia with severe panic attacks,43150009
4177015,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",50983008
434628,Separation anxiety,126943008
4002897,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",11941006
4203449,Anxiety disorder of childhood,53467004
434613,Generalized anxiety disorder,21897009
440374,Obsessive-compulsive disorder,191736004
4171336,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",4932002
4006459,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",111490003
4243153,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",38328002
440690,Social phobia,25501002
4100100,Childhood phobic anxiety disorder,192611004
4054913,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",19766004
4329036,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",22230001
442077,Anxiety disorder,197480006
4039212,Separation anxiety disorder of childhood,11806006
439786,Agoraphobia with panic attacks,191722009
4085666,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",24781009
4109930,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",1816003
4182119,Panic disorder without agoraphobia with severe panic attacks,43150009
4171336,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",4932002
4002897,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",11941006
4006459,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",111490003
4135202,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",3158007
4054913,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",19766004
4243153,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",38328002
4008568,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",111491004
4175779,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",49564006
4143602,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",34116005
4136518,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",31781004
4146608,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",30059008
4329036,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",22230001
4177015,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",50983008
4137120,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",32388005
4147466,Panic disorder with agoraphobia,35607004
4085666,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",24781009
