concept_id,concept_code,concept_name,codeset
260139,10509002,Acute bronchitis,bronchitis
3661405,1.3838941100011901E+17,Acute bronchitis caused by SARS-CoV-2,bronchitis
37017852,714203003,Acute bronchitis co-occurrent with bronchiectasis,bronchitis
37206139,785745000,Acute bronchitis co-occurrent with wheeze,bronchitis
4197404,80257001,Acute bronchitis with bronchospasm,bronchitis
4243199,5875001,Acute bronchitis with obstruction,bronchitis
4208807,312371005,Acute infective bronchitis,bronchitis
4208810,312400008,Acute infective tracheobronchitis,bronchitis
4112357,195717003,Acute purulent bronchitis,bronchitis
4148204,35301006,Acute tracheobronchitis,bronchitis
4052543,233601004,Acute viral bronchitis,bronchitis
256451,32398004,Bronchitis,bronchitis
756031,4873909,Bronchitis caused by COVID-19,bronchitis
46269726,1.06257510001191E+16,Bronchopneumonia due to virus,bronchitis
4232302,89549007,Catarrhal bronchitis,bronchitis
260134,71186008,Croup,bronchitis
4028970,13617004,Tracheobronchitis,bronchitis
4058712,16146001,Viral bronchitis,bronchitis
756023,873906,Acute bronchitis caused by severe acute respiratory syndrome coronavirus 2,bronchitis
