concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
193782,46177005,End-stage renal disease,SNOMED,SM,FALSE
196991,236425005,Chronic renal impairment,SNOMED,SM,FALSE
198185,90688005,Chronic renal failure,SNOMED,SM,FALSE
443597,433144002,Chronic kidney disease stage 3,SNOMED,SM,FALSE
443601,431856006,Chronic kidney disease stage 2,SNOMED,SM,FALSE
443611,433146000,Chronic kidney disease stage 5,SNOMED,SM,FALSE
443612,431857002,Chronic kidney disease stage 4,SNOMED,SM,FALSE
443614,431855005,Chronic kidney disease stage 1,SNOMED,SM,FALSE
443961,49708008,Anemia of chronic renal failure,SNOMED,SM,FALSE
725440,N18.30,"Chronic kidney disease, stage 3 unspecified",ICD10CM,10,FALSE
725440,N1830,"Chronic kidney disease, stage 3 unspecified",ICD10CM,10,TRUE
725441,N18.31,"Chronic kidney disease, stage 3a",ICD10CM,10,FALSE
725441,N1831,"Chronic kidney disease, stage 3a",ICD10CM,10,TRUE
725442,N18.32,"Chronic kidney disease, stage 3b",ICD10CM,10,FALSE
725442,N1832,"Chronic kidney disease, stage 3b",ICD10CM,10,TRUE
760850,120261000119101,Benign hypertensive heart disease and chronic renal disease stage 5,SNOMED,SM,FALSE
762000,285061000119106,Benign hypertensive heart disease and chronic renal disease stage 2,SNOMED,SM,FALSE
762001,285081000119102,Benign hypertensive heart disease and chronic renal disease stage 3,SNOMED,SM,FALSE
762033,285911000119109,Malignant hypertensive heart disease and chronic renal disease stage 3,SNOMED,SM,FALSE
762034,285921000119102,Malignant hypertensive heart disease and chronic renal disease stage 4,SNOMED,SM,FALSE
762973,434431000124103,Hypertensive end stage renal disease,SNOMED,SM,FALSE
764011,449631000124102,Benign hypertensive heart disease and chronic renal disease,SNOMED,SM,FALSE
765535,285041000119107,Benign hypertensive heart disease and chronic renal disease stage 1,SNOMED,SM,FALSE
765536,285101000119109,Benign hypertensive heart disease and chronic renal disease stage 4,SNOMED,SM,FALSE
1569121,I12,Hypertensive chronic kidney disease,ICD10CM,10,FALSE
1569122,I13,Hypertensive heart and chronic kidney disease,ICD10CM,10,FALSE
1569123,I13.1,Hypertensive heart and chronic kidney disease without heart failure,ICD10CM,10,FALSE
1569123,I131,Hypertensive heart and chronic kidney disease without heart failure,ICD10CM,10,TRUE
1571486,N18,Chronic kidney disease (CKD),ICD10CM,10,FALSE
1571639,O10.2,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571639,O102,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,TRUE
1571640,O10.21,Pre-existing hypertensive chronic kidney disease complicating pregnancy,ICD10CM,10,FALSE
1571640,O1021,Pre-existing hypertensive chronic kidney disease complicating pregnancy,ICD10CM,10,TRUE
1571641,O10.3,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,FALSE
1571641,O103,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM,10,TRUE
1571642,O10.31,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,ICD10CM,10,FALSE
1571642,O1031,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,ICD10CM,10,TRUE
3543812,768681000000100,H/O: chronic kidney disease,SNOMED,SM,FALSE
3547154,939221000000105,Chronic kidney disease resolved,SNOMED,SM,FALSE
3553407,200431000000108,Chronic kidney disease stage 1,SNOMED,SM,FALSE
3553408,200461000000103,Chronic kidney disease stage 4,SNOMED,SM,FALSE
3553409,200471000000105,Chronic kidney disease stage 5,SNOMED,SM,FALSE
3553775,211901000000101,Chronic renal impairment,SNOMED,SM,FALSE
3553776,211921000000105,Chronic kidney disease stage 1,SNOMED,SM,FALSE
3553777,211931000000107,Chronic kidney disease stage 1,SNOMED,SM,FALSE
3553778,211951000000100,Chronic kidney disease stage 2,SNOMED,SM,FALSE
3553779,211971000000109,Chronic kidney disease stage 3,SNOMED,SM,FALSE
3553780,211991000000108,Chronic kidney disease stage 4,SNOMED,SM,FALSE
3554166,219601000000106,End stage renal disease,SNOMED,SM,FALSE
3555421,324131000000106,Chronic kidney disease stage 1 with proteinuria,SNOMED,SM,FALSE
3555422,324141000000102,Chronic kidney disease stage 1 with proteinuria,SNOMED,SM,FALSE
3555423,324161000000101,Chronic kidney disease stage 1 without proteinuria,SNOMED,SM,FALSE
3555424,324171000000108,Chronic kidney disease stage 1 without proteinuria,SNOMED,SM,FALSE
3555425,324191000000107,Chronic kidney disease stage 1 with proteinuria,SNOMED,SM,FALSE
3555426,324201000000109,Chronic kidney disease stage 1 with proteinuria,SNOMED,SM,FALSE
3555427,324221000000100,Chronic kidney disease stage 2 without proteinuria,SNOMED,SM,FALSE
3555428,324231000000103,Chronic kidney disease stage 2 without proteinuria,SNOMED,SM,FALSE
3555429,324261000000108,Chronic kidney disease stage 3 with proteinuria,SNOMED,SM,FALSE
3555430,324271000000101,Chronic kidney disease stage 3 with proteinuria,SNOMED,SM,FALSE
3555431,324291000000102,Chronic kidney disease stage 3 without proteinuria,SNOMED,SM,FALSE
3555432,324301000000103,Chronic kidney disease stage 3 without proteinuria,SNOMED,SM,FALSE
3555433,324321000000107,Chronic kidney disease stage 3A with proteinuria,SNOMED,SM,FALSE
3555434,324331000000109,Chronic kidney disease stage 3A with proteinuria,SNOMED,SM,FALSE
3555435,324351000000102,Chronic kidney disease stage 3A without proteinuria,SNOMED,SM,FALSE
3555436,324361000000104,Chronic kidney disease stage 3A without proteinuria,SNOMED,SM,FALSE
3555437,324381000000108,Chronic kidney disease stage 3B with proteinuria,SNOMED,SM,FALSE
3555438,324391000000105,Chronic kidney disease stage 3B with proteinuria,SNOMED,SM,FALSE
3555439,324421000000104,Chronic kidney disease stage 3B without proteinuria,SNOMED,SM,FALSE
3555440,324431000000102,Chronic kidney disease stage 3B without proteinuria,SNOMED,SM,FALSE
3555441,324451000000109,Chronic kidney disease stage 4 with proteinuria,SNOMED,SM,FALSE
3555442,324461000000107,Chronic kidney disease stage 4 with proteinuria,SNOMED,SM,FALSE
3555443,324481000000103,Chronic kidney disease stage 4 without proteinuria,SNOMED,SM,FALSE
3555444,324491000000101,Chronic kidney disease stage 4 without proteinuria,SNOMED,SM,FALSE
3555445,324511000000109,Chronic kidney disease stage 5 with proteinuria,SNOMED,SM,FALSE
3555446,324521000000103,Chronic kidney disease stage 5 with proteinuria,SNOMED,SM,FALSE
3555447,324551000000108,Chronic kidney disease stage 5 without proteinuria,SNOMED,SM,FALSE
3555448,324561000000106,Chronic kidney disease stage 5 without proteinuria,SNOMED,SM,FALSE
