concept_id,concept_name,concept_code
437827,Pure hypercholesterolemia,267432004
4029258,Polygenic hypercholesterolemia,238077000
432867,Hyperlipidemia,55822004
438720,Mixed hyperlipidemia,267434003
4104485,Familial multiple lipoprotein-type hyperlipidemia,299465007
45770880,Hyperlipidemia due to type 2 diabetes mellitus,1.38E+14
4292672,Secondary hyperlipidemia,402727002
440360,Pure hyperglyceridemia,267433009
4029892,Secondary hypertriglyceridemia,238087001
4029305,Hypercholesterolemia,13644009
4030586,Exogenous hyperlipidemia,129590000
4079876,Familial combined hyperlipidemia,238040008
40491984,High density lipoprotein deficiency,448834003
4029263,Primary combined hyperlipidemia,238088006
43531651,Mixed hyperlipidemia due to type 2 diabetes mellitus,7.01E+11
4298723,Hyperlipidemia with lipid deposition in skin,402725005
4079887,Secondary combined hyperlipidemia,238089003
4029891,Secondary hypercholesterolemia,238082007
4120314,Hypertriglyceridemia,302870006
4030619,Mixed hypercholesterolemia and hypertriglyceridemia,129591001
4031945,Primary hypercholesterolemia,238076009
