concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
19150,T67.7,Heat edema,ICD10CM,10,FALSE
19150,T677,Heat edema,ICD10CM,10,TRUE
19263,T78.3,Angioneurotic edema,ICD10CM,10,FALSE
19263,T783,Angioneurotic edema,ICD10CM,10,TRUE
22350,51599000,Edema of larynx,SNOMED,SM,FALSE
23799,195834004,Pharynx or nasopharynx edema,SNOMED,SM,FALSE
76227,102574007,Edema of leg,SNOMED,SM,FALSE
201346,198035003,Edema of penis,SNOMED,SM,FALSE
201907,198068005,Edema of male genital organs,SNOMED,SM,FALSE
252947,10519008,Acute pulmonary edema due to fumes AND/OR vapors,SNOMED,SM,FALSE
261600,40541001,Acute pulmonary edema,SNOMED,SM,FALSE
374950,89091004,Edema of eyelid,SNOMED,SM,FALSE
376690,2032001,Cerebral edema,SNOMED,SM,FALSE
380117,84178004,Conjunctival edema,SNOMED,SM,FALSE
432791,41291007,Angioedema,SNOMED,SM,FALSE
433595,267038008,Edema,SNOMED,SM,FALSE
435839,234097001,Lymphedema,SNOMED,SM,FALSE
436010,55017000,Heat edema,SNOMED,SM,FALSE
600644,1145131000,Exophthalmos due to orbital edema,SNOMED,SM,FALSE
603216,11995791000119103,Edema of amputation stump of right lower limb,SNOMED,SM,FALSE
604827,1003756003,Hevea brasiliensis latex protein-induced angioedema-urticaria,SNOMED,SM,FALSE
605070,1010337002,Edema blister,SNOMED,SM,FALSE
606005,1141974008,No peripheral edema present,SNOMED,SM,FALSE
608432,11995691000119109,Edema of amputation stump of left lower limb,SNOMED,SM,FALSE
619121,890183008,Lymphedema due to podoconiosis,SNOMED,SM,FALSE
761109,151000161105,Edema of periwound skin,SNOMED,SM,FALSE
762385,342481000119101,Edema of right eyelid,SNOMED,SM,FALSE
762386,342511000119108,Edema of left eyelid,SNOMED,SM,FALSE
762400,348101000119102,Periorbital edema of right eye,SNOMED,SM,FALSE
765062,15638121000119104,Lymphedema of bilateral upper limbs,SNOMED,SM,FALSE
765506,348551000119107,Periorbital edema of left eye,SNOMED,SM,FALSE
765559,6311000124108,History of angioedema,SNOMED,SM,FALSE
1568512,H05.22,Edema of orbit,ICD10CM,10,FALSE
1568512,H0522,Edema of orbit,ICD10CM,10,TRUE
1569500,J81,Pulmonary edema,ICD10CM,10,FALSE
1572261,R60,"Edema, not elsewhere classified",ICD10CM,10,FALSE
3519468,538761000000105,O/E - oedema NOS,SNOMED,SM,FALSE
3529627,491261000000105,"PEHO (progressive encephalopathy with oedema, hypsarrhythmia and optic atrophy) syndrome",SNOMED,SM,FALSE
3529750,494971000000109,Oedema of finger,SNOMED,SM,FALSE
3529751,495001000000101,Oedema of wrist,SNOMED,SM,FALSE
3529754,495071000000109,Oedema of forearm,SNOMED,SM,FALSE
3529756,495091000000108,Oedema of elbow,SNOMED,SM,FALSE
3529757,495101000000100,Oedema of hand,SNOMED,SM,FALSE
3529759,495111000000103,Oedema of palm of hand,SNOMED,SM,FALSE
3529760,495121000000109,Oedema of dorsum of hand,SNOMED,SM,FALSE
3529761,495161000000101,Oedema of shoulder,SNOMED,SM,FALSE
3529796,503891000000106,Non-pitting oedema,SNOMED,SM,FALSE
3529834,505241000000103,Oedema of chest wall,SNOMED,SM,FALSE
3530046,511001000000109,Lymphoedema due to infection,SNOMED,SM,FALSE
3530222,517811000000107,Firm pitting oedema,SNOMED,SM,FALSE
3530223,517831000000104,Soft pitting oedema,SNOMED,SM,FALSE
3530224,517841000000108,Soft non-pitting oedema,SNOMED,SM,FALSE
3530225,517851000000106,Limb oedema extending to limb root,SNOMED,SM,FALSE
3530226,517861000000109,Limb oedema affecting adjacent trunk,SNOMED,SM,FALSE
3530233,517971000000105,Oedema of sole of foot,SNOMED,SM,FALSE
3530236,518001000000100,Oedema of dorsum of foot,SNOMED,SM,FALSE
3530240,518031000000106,Oedema of buttock,SNOMED,SM,FALSE
3530241,518061000000101,Oedema of suprapubic region,SNOMED,SM,FALSE
3530243,518081000000105,Oedema of sacral region,SNOMED,SM,FALSE
3530244,518091000000107,Oedema of genital region,SNOMED,SM,FALSE
3530245,518101000000104,Oedema of abdomen,SNOMED,SM,FALSE
3530247,518111000000102,Oedema of back,SNOMED,SM,FALSE
3530258,518521000000102,Bilateral lymphoedema of legs,SNOMED,SM,FALSE
3530259,518531000000100,Lymphoedema of leg,SNOMED,SM,FALSE
3530275,519351000000107,Lymphoedema due to venous disease,SNOMED,SM,FALSE
3530276,519361000000105,Lymphoedema due to inflammatory disease,SNOMED,SM,FALSE
3530277,519391000000104,Lymphoedema due to endocrine disease,SNOMED,SM,FALSE
3530278,519401000000101,Factitious lymphoedema,SNOMED,SM,FALSE
3530290,519801000000104,At risk of lymphoedema,SNOMED,SM,FALSE
3530480,525881000000104,Lymphovenous oedema,SNOMED,SM,FALSE
3530481,525911000000104,Skin folds of oedematous limb,SNOMED,SM,FALSE
3530494,526251000000103,Fluctuating oedema level,SNOMED,SM,FALSE
3534687,593211000000101,Oedema of larynx NOS,SNOMED,SM,FALSE
3535192,601601000000109,Acute pulmonary oedema unspecified,SNOMED,SM,FALSE
3535193,601621000000100,Acute pulmonary oedema NOS,SNOMED,SM,FALSE
