concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
19149,T67.6,"Heat fatigue, transient",ICD10CM,10,FALSE
19149,T676,"Heat fatigue, transient",ICD10CM,10,TRUE
432738,52702003,Chronic fatigue syndrome,SNOMED,SM,FALSE
437113,13791008,Asthenia,SNOMED,SM,FALSE
439926,271795006,Malaise and fatigue,SNOMED,SM,FALSE
442024,12979003,Transient heat fatigue,SNOMED,SM,FALSE
607123,1149160000,Reduced level of fatigue,SNOMED,SM,FALSE
765190,1131000175106,Asthenia due to disease,SNOMED,SM,FALSE
1571711,O26.81,Pregnancy related exhaustion and fatigue,ICD10CM,10,FALSE
1571711,O2681,Pregnancy related exhaustion and fatigue,ICD10CM,10,TRUE
1572255,R53,Malaise and fatigue,ICD10CM,10,FALSE
1572256,R53.8,Other malaise and fatigue,ICD10CM,10,FALSE
1572256,R538,Other malaise and fatigue,ICD10CM,10,TRUE
3528938,414631000000100,[D]Malaise and fatigue NOS,SNOMED,SM,FALSE
3529326,480621000000108,Severe chronic fatigue syndrome,SNOMED,SM,FALSE
3529629,491281000000101,Mild chronic fatigue syndrome,SNOMED,SM,FALSE
3529630,491291000000104,Moderate chronic fatigue syndrome,SNOMED,SM,FALSE
3529967,508581000000104,Post-exertional fatigue,SNOMED,SM,FALSE
3533847,580521000000101,Tiredness symptom NOS,SNOMED,SM,FALSE
3541847,698941000000107,Fatigue during pregnancy unspecified,SNOMED,SM,FALSE
3541848,698951000000105,Fatigue during pregnancy NOS,SNOMED,SM,FALSE
4007894,207529006,[D]Senile asthenia,SNOMED,SM,FALSE
4007895,207530001,[D]Senile debility,SNOMED,SM,FALSE
4048772,206765009,[D]Malaise and fatigue,SNOMED,SM,FALSE
4048774,206767001,[D]Fatigue,SNOMED,SM,FALSE
4048775,206771003,[D]Tiredness,SNOMED,SM,FALSE
4059010,161873000,Heavy legs,SNOMED,SM,FALSE
4060217,161874006,Heavy feeling,SNOMED,SM,FALSE
4060299,199123005,Fatigue during pregnancy - not delivered,SNOMED,SM,FALSE
4060300,199125003,Fatigue during pregnancy NOS,SNOMED,SM,FALSE
4062571,199121007,Fatigue during pregnancy - delivered,SNOMED,SM,FALSE
4062924,199120008,Fatigue during pregnancy unspecified,SNOMED,SM,FALSE
4062925,199124004,Fatigue during pregnancy with postnatal complication,SNOMED,SM,FALSE
4063119,17099003,Peripheral muscle fatigue,SNOMED,SM,FALSE
4074624,224960004,Tired,SNOMED,SM,FALSE
4086973,248269005,Tired on least exertion,SNOMED,SM,FALSE
4090207,18726006,Senile asthenia,SNOMED,SM,FALSE
4092860,250002000,Rapid fatigue of gait,SNOMED,SM,FALSE
4093848,248278004,Attacks of weakness,SNOMED,SM,FALSE
