concept_id,concept_code,concept_name,codeset
4289001,69776003,Acute gastroenteritis,gastroenteritis
4230249,359613008,Acute infectious nonbacterial gastroenteritis,gastroenteritis
4276105,36789003,Acute infective gastroenteritis,gastroenteritis
4001167,109814008,Acute ulcerative gastroenteritis complicating pneumonia,gastroenteritis
35623412,765756007,Benign infantile seizure with mild gastroenteritis syndrome,gastroenteritis
195453,266081001,"Colitis, enteritis and gastroenteritis presumed infectious",gastroenteritis
45768728,707222009,Epidemic gastroenteritis,gastroenteritis
195306,196731005,Gastroduodenitis,gastroenteritis
4101468,25374005,Gastroenteritis,gastroenteritis
37310283,1.24E+15,Gastroenteritis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2),gastroenteritis
4211852,57419008,Gastroenteritis presumed infectious,gastroenteritis
4260059,409506009,Hemorrhagic gastroenteritis,gastroenteritis
4347422,240332005,Infantile gastroenteritis,gastroenteritis
4146457,308119005,Infantile viral gastroenteritis,gastroenteritis
4049881,12463005,Infectious gastroenteritis,gastroenteritis
4234751,359651008,Nonbacterial gastroenteritis of infant,gastroenteritis
197596,71583005,Toxic gastroenteritis,gastroenteritis
4008724,111843007,Viral gastroenteritis,gastroenteritis
435796,34095006,Dehydration,gastroenteritis
4170869,49513005,Dehydration fever in newborn,gastroenteritis
42536885,735909008,Dehydration following exertion,gastroenteritis
4322552,427784006,Hypernatremic dehydration,gastroenteritis
4098610,190894003,Isonatremic dehydration,gastroenteritis
42872401,1.611E+12,Mild dehydration,gastroenteritis
42872404,1.601E+12,Moderate dehydration,gastroenteritis
4302027,78812008,Neonatal dehydration,gastroenteritis
4037854,162685008,O/E - dehydrated,gastroenteritis
42873066,450316000,Severe dehydration,gastroenteritis
