concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
133280,56317004,Alopecia,SNOMED,SM,FALSE
133959,59307008,Syphilitic alopecia,SNOMED,SM,FALSE
141933,68225006,Alopecia areata,SNOMED,SM,FALSE
604714,1003553009,Agenesis of cilia of eyelid,SNOMED,SM,FALSE
1569792,L63,Alopecia areata,ICD10CM,10,FALSE
1569793,L64,Androgenic alopecia,ICD10CM,10,FALSE
1569794,L65,Other nonscarring hair loss,ICD10CM,10,FALSE
1569795,L66,Cicatricial alopecia [scarring hair loss],ICD10CM,10,FALSE
3522968,85661000000104,C/O: hair loss,SNOMED,SM,FALSE
3540496,680001000000107,Alopecia NOS,SNOMED,SM,FALSE
3540856,685031000000109,Alopecia unspecified,SNOMED,SM,FALSE
3571343,100071000000104,C/O: hair loss,SNOMED,SM,FALSE
3581258,471991000000102,"[X]Cicatricial alopecia, unspecified",SNOMED,SM,FALSE
3655631,866100005,Ischemic alopecia due to birth injury,SNOMED,SM,FALSE
4004847,1108009,Female pattern alopecia,SNOMED,SM,FALSE
4007459,111024006,Alopecia liminaris frontalis,SNOMED,SM,FALSE
4027693,13220002,Color mutant alopecia,SNOMED,SM,FALSE
4029604,237894002,Vitamin D-dependent rickets type II with alopecia,SNOMED,SM,FALSE
4031164,238725004,Non-scarring alopecia,SNOMED,SM,FALSE
4032771,238729005,Alopecia parvimaculata,SNOMED,SM,FALSE
4033338,238732008,Tufted folliculitis,SNOMED,SM,FALSE
4033634,239019002,Odonto-onychial dysplasia with alopecia,SNOMED,SM,FALSE
4033926,238923001,Lipedematous alopecia,SNOMED,SM,FALSE
4033951,239025003,"Dwarfism, alopecia, pseudoanodontia, cutis laxa",SNOMED,SM,FALSE
4035150,237895001,Vitamin D-dependent rickets type II without alopecia,SNOMED,SM,FALSE
4046566,22934003,Radiation alopecia,SNOMED,SM,FALSE
4056343,19754005,Alopecia totalis,SNOMED,SM,FALSE
4060343,162803001,O/E - loss of body hair,SNOMED,SM,FALSE
4060605,162797000,O/E - loss of hair,SNOMED,SM,FALSE
4063457,201132008,Frontal alopecia of women,SNOMED,SM,FALSE
4063458,201134009,Alopecia of pregnancy,SNOMED,SM,FALSE
4063459,201135005,Alopecia senilis,SNOMED,SM,FALSE
4063460,201141003,Alopecia neurotica,SNOMED,SM,FALSE
4065242,201137002,Alopecia localis,SNOMED,SM,FALSE
4065243,201138007,Diffuse alopecia,SNOMED,SM,FALSE
