concept_id,concept_name,concept_code,vocabulary_id
132617,Diplegic cerebral palsy,58193001,SNOMED
134031,Hemiplegic cerebral palsy,43486001,SNOMED
4173811,Congenital quadriplegia,275468009,SNOMED
4045842,Monoplegic cerebral palsy affecting upper limb,230777006,SNOMED
4043884,Monoplegic cerebral palsy affecting lower limb,230778001,SNOMED
442543,Monoplegic cerebral palsy,56409008,SNOMED
374336,Infantile hemiplegia,1593000,SNOMED
45773357,Dystonic cerebral palsy,702315006,SNOMED
45771250,Triplegic cerebral palsy,702320006,SNOMED
45771249,Choreic cerebral palsy,702316007,SNOMED
45765394,Pentaplegic cerebral palsy,702321005,SNOMED
45765393,Bilateral cerebral palsy,702319000,SNOMED
45765392,Mixed cerebral palsy,702318008,SNOMED
45765391,Chorea-athetoid cerebral palsy,702317003,SNOMED
45765390,Non-spastic cerebral palsy,702314005,SNOMED
44811521,Bilateral spastic cerebral palsy,9.04531E+14,SNOMED
44809963,Choreoathetoid cerebral palsy,8.85831E+14,SNOMED
44806793,Spastic hemiplegic cerebral palsy,8.13921E+14,SNOMED
37396501,Worster Drought syndrome,716335003,SNOMED
37204364,"Severe microbrachycephaly, intellectual disability, athetoid cerebral palsy syndrome",783005002,SNOMED
4195154,Spastic tetraplegia with rigidity syndrome,44395000,SNOMED
4159737,Paraplegic cerebral palsy,371079004,SNOMED
4150300,Ataxic cerebral palsy,278512001,SNOMED
4141403,"Cerebral palsy, not congenital or infantile, acute",307756005,SNOMED
4134120,Cerebral palsy,128188000,SNOMED
4101736,Hypotonic cerebral palsy,192958009,SNOMED
4058438,Double athetosis,16171003,SNOMED
4048800,Dystonic/rigid cerebral palsy,230781006,SNOMED
4045844,Dyskinetic cerebral palsy,230780007,SNOMED
4043747,Spastic cerebral palsy,230773005,SNOMED
762354,Neuromuscular scoliosis of thoracolumbar spine co-occurrent and due to cerebral palsy,3.30521E+14,SNOMED
762348,Neuromuscular scoliosis of lumbar spine co-occurrent and due to cerebral palsy,3.29741E+14,SNOMED
444022,Tetraplegic cerebral palsy,48721008,SNOMED
375525,Athetoid cerebral palsy,75019001,SNOMED
4002811,Muscle abscess of hand,203025009,SNOMED
4002810,Muscle abscess of forearm,203024008,SNOMED
4002809,Infective myositis of forearm,203013006,SNOMED
4002808,Infective myositis of shoulder,203011008,SNOMED
4002807,Infective myositis of back,203010009,SNOMED
4001804,Muscular rheumatism,203102006,SNOMED
4001801,Contracture of intrinsic muscle of foot,203081003,SNOMED
4001799,Contracture of rectus femoris,203071002,SNOMED
4001797,Contracture of adductor pollicis,203068005,SNOMED
4001796,Contracture of flexor pollicis longus,203064007,SNOMED
4001795,Contracture of wrist flexor muscle,203062006,SNOMED
4001794,Contracture of biceps,203061004,SNOMED
4001793,Contracture of triceps,203060003,SNOMED
4001792,Contracture of pectoralis major,203059008,SNOMED
4001653,Muscle abscess of foot,203029003,SNOMED
4001652,Muscle abscess of thigh,203027001,SNOMED
4001651,Muscle abscess of neck,203020004,SNOMED
4001628,Infective myositis of foot,203018002,SNOMED
4001627,Infective myositis of lower leg,203017007,SNOMED
4001626,Infective myositis of hand,203014000,SNOMED
4001481,Flexor pollicis longus tendon rupture,202971005,SNOMED
4001135,Contracture of hamstring(s),203074005,SNOMED
4001134,Contracture of adductor muscle(s) of hip,203072009,SNOMED
4001133,Contracture of flexor digitorum superficialis,203066009,SNOMED
4001129,Muscle abscess of upper arm,203023002,SNOMED
4001128,Muscle abscess of shoulder,203022007,SNOMED
4001127,Muscle abscess of back,203021000,SNOMED
4001126,Infective myositis of thigh,203016003,SNOMED
4001125,Infective myositis of pelvis,203015004,SNOMED
4001124,Infective myositis of upper arm,203012001,SNOMED
4001110,Long head of biceps rupture,202967007,SNOMED
4000979,Tibialis anterior tenosynovitis,202918005,SNOMED
3663194,Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis,829973009,SNOMED
3657427,Levator ani syndrome,1.18794E+15,SNOMED
3657050,Bilateral orbital myositis of eyes,3.44781E+14,SNOMED
3657027,Bilateral total ophthalmoplegia,3.43251E+14,SNOMED
3656970,Orbital myositis of left eye,3.39031E+14,SNOMED
3656943,Total ophthalmoplegia of left eye,3.37461E+14,SNOMED
3656886,Orbital myositis of right eye,3.33421E+14,SNOMED
3656859,Total ophthalmoplegia of right eye,3.31841E+14,SNOMED
3656146,Strain of rectus abdominus muscle,871692005,SNOMED
3655977,Rhabdomyolysis due to disease caused by Severe acute respiratory syndrome coronavirus 2,870591003,SNOMED
3655836,Myopathy due to calcium deficiency,870299000,SNOMED
3654690,Acute alcoholic myopathy,838386008,SNOMED
3654681,Chronic myopathy caused by alcohol,838376007,SNOMED
765370,Strain of left quadriceps muscle,1.18283E+16,SNOMED
765369,Strain of flexor muscle of right hip,1.18265E+16,SNOMED
765366,Strain of left pectoral muscle,1.17946E+16,SNOMED
765215,Myositis of left foot,1.56771E+16,SNOMED
765110,Diaphragmatic hernia with gastroesophageal reflux disease,1.59265E+16,SNOMED
765066,Congenital contracture of left gastrocnemius muscle,1.56703E+16,SNOMED
765048,Paresis as late effect of poliomyelitis,1.38371E+14,SNOMED
763884,Strain of muscle of upper arm,4.48161E+14,SNOMED
763883,Strain of shoulder muscle,4.48151E+14,SNOMED
763882,Strain of pectoral muscle,4.48141E+14,SNOMED
762725,"Ophthalmoplegic migraine, refractory",4.31061E+14,SNOMED
762188,Repetitive strain injury of right thigh,3.01301E+14,SNOMED
762187,Repetitive strain injury of right foot,3.01251E+14,SNOMED
762186,Repetitive strain injury of right ankle,3.01241E+14,SNOMED
762185,Repetitive strain injury of left thigh,3.01221E+14,SNOMED
762184,Repetitive strain injury of left foot,3.01171E+14,SNOMED
762183,Repetitive strain injury of left ankle,3.01161E+14,SNOMED
761828,Atherosclerosis of bypass graft of bilateral lower limbs with intermittent claudication,1.60141E+16,SNOMED
761827,Atherosclerosis of bypass graft of left lower limb with intermittent claudication,1.6014E+16,SNOMED
761826,Atherosclerosis of bypass graft of right lower limb with intermittent claudication,1.60137E+16,SNOMED
761764,Weakness of left facial muscle due to and following non-traumatic intracerebral hemorrhage,1.59824E+16,SNOMED
761763,Weakness of right facial muscle due to and following spontaneous intracerebral hemorrhage,1.59822E+16,SNOMED
761511,External ophthalmoplegia of bilateral eyes,1.573E+16,SNOMED
761510,External ophthalmoplegia of right eye,1.573E+16,SNOMED
761509,External ophthalmoplegia of left eye,1.573E+16,SNOMED
761406,Repetitive strain injury of bilateral forearms,1.57048E+16,SNOMED
761405,Repetitive strain injury of bilateral hands,1.57047E+16,SNOMED
761404,Atrophy of muscle of bilateral hands,1.57042E+16,SNOMED
761310,Myositis of right thigh,1.56775E+16,SNOMED
761309,Myositis of left lower leg,1.5677E+16,SNOMED
761308,Myositis of left thigh,1.56769E+16,SNOMED
761307,Myositis of right foot,1.56768E+16,SNOMED
761306,Myositis of right lower leg,1.56767E+16,SNOMED
761269,Congenital contracture of right gastrocnemius muscle,1.56703E+16,SNOMED
761214,Congenital anomaly of right sternocleidomastoid muscle,1.5665E+16,SNOMED
760814,Strain of muscle of right wrist,1.18394E+16,SNOMED
760808,Strain of muscle of left thigh,1.18303E+16,SNOMED
760807,Strain of muscle of right thigh,1.18302E+16,SNOMED
