concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
19334,T81.502,Unspecified complication of foreign body accidentally left in body following kidney dialysis,ICD10CM,10,FALSE
19334,T81502,Unspecified complication of foreign body accidentally left in body following kidney dialysis,ICD10CM,10,TRUE
19344,T81.512,Adhesions due to foreign body accidentally left in body following kidney dialysis,ICD10CM,10,FALSE
19344,T81512,Adhesions due to foreign body accidentally left in body following kidney dialysis,ICD10CM,10,TRUE
19354,T81.522,Obstruction due to foreign body accidentally left in body following kidney dialysis,ICD10CM,10,FALSE
19354,T81522,Obstruction due to foreign body accidentally left in body following kidney dialysis,ICD10CM,10,TRUE
19364,T81.532,Perforation due to foreign body accidentally left in body following kidney dialysis,ICD10CM,10,FALSE
19364,T81532,Perforation due to foreign body accidentally left in body following kidney dialysis,ICD10CM,10,TRUE
19374,T81.592,Other complications of foreign body accidentally left in body following kidney dialysis,ICD10CM,10,FALSE
19374,T81592,Other complications of foreign body accidentally left in body following kidney dialysis,ICD10CM,10,TRUE
19438,T82.41,Breakdown (mechanical) of vascular dialysis catheter,ICD10CM,10,FALSE
19438,T8241,Breakdown (mechanical) of vascular dialysis catheter,ICD10CM,10,TRUE
19439,T82.42,Displacement of vascular dialysis catheter,ICD10CM,10,FALSE
19439,T8242,Displacement of vascular dialysis catheter,ICD10CM,10,TRUE
19440,T82.43,Leakage of vascular dialysis catheter,ICD10CM,10,FALSE
19440,T8243,Leakage of vascular dialysis catheter,ICD10CM,10,TRUE
19441,T82.49,Other complication of vascular dialysis catheter,ICD10CM,10,FALSE
19441,T8249,Other complication of vascular dialysis catheter,ICD10CM,10,TRUE
19706,T85.611,Breakdown (mechanical) of intraperitoneal dialysis catheter,ICD10CM,10,FALSE
19706,T85611,Breakdown (mechanical) of intraperitoneal dialysis catheter,ICD10CM,10,TRUE
19712,T85.621,Displacement of intraperitoneal dialysis catheter,ICD10CM,10,FALSE
19712,T85621,Displacement of intraperitoneal dialysis catheter,ICD10CM,10,TRUE
19718,T85.631,Leakage of intraperitoneal dialysis catheter,ICD10CM,10,FALSE
19718,T85631,Leakage of intraperitoneal dialysis catheter,ICD10CM,10,TRUE
19722,T85.691,Other mechanical complication of intraperitoneal dialysis catheter,ICD10CM,10,FALSE
19722,T85691,Other mechanical complication of intraperitoneal dialysis catheter,ICD10CM,10,TRUE
19727,T85.71,Infection and inflammatory reaction due to peritoneal dialysis catheter,ICD10CM,10,FALSE
19727,T8571,Infection and inflammatory reaction due to peritoneal dialysis catheter,ICD10CM,10,TRUE
313232,408667000,Hemodialysis-associated hypotension,SNOMED,SM,FALSE
435649,85223007,Complication of hemodialysis,SNOMED,SM,FALSE
438624,33603003,Complication of renal dialysis,SNOMED,SM,FALSE
439631,216933008,Failure of sterile precautions during kidney dialysis,SNOMED,SM,FALSE
439634,216904007,Foreign object left in body during kidney dialysis,SNOMED,SM,FALSE
440302,431028002,Mechanical complication of peritoneal dialysis catheter,SNOMED,SM,FALSE
442028,216878005,"Accidental cut, puncture, perforation or hemorrhage during kidney dialysis",SNOMED,SM,FALSE
443212,236561002,Disorder of peritoneal dialysis catheter,SNOMED,SM,FALSE
443273,269698004,Mechanical failure of instrument or apparatus during kidney dialysis,SNOMED,SM,FALSE
444024,33461007,Complication of peritoneal dialysis,SNOMED,SM,FALSE
761971,251000124108,Dialysis care plan,SNOMED,SM,FALSE
762179,301000124101,Hemodialysis care plan,SNOMED,SM,FALSE
762479,418011000124103,Continuous ambulatory peritoneal dialysis education,SNOMED,SM,FALSE
762481,419011000124105,Continuous cycling peritoneal dialysis education,SNOMED,SM,FALSE
762485,421000124100,Hemodialysis session time,SNOMED,SM,FALSE
762572,429091000124105,Palliative dialysis,SNOMED,SM,FALSE
762711,430901000124109,Acute dialysis program,SNOMED,SM,FALSE
762712,430911000124107,Navy dialysis program,SNOMED,SM,FALSE
762713,430921000124104,Army dialysis program,SNOMED,SM,FALSE
762714,430941000124106,Prison dialysis program,SNOMED,SM,FALSE
762715,430951000124108,Veteran's administration dialysis program,SNOMED,SM,FALSE
762723,431041000124104,Satellite dialysis facility,SNOMED,SM,FALSE
762724,431051000124102,Dialysis service,SNOMED,SM,FALSE
762836,432601000124100,Durable medical equipment supplier dialysis program,SNOMED,SM,FALSE
762837,432611000124102,Centers for Medicare and Medicaid Services approved special purpose dialysis program,SNOMED,SM,FALSE
762930,433861000124108,Peritoneal dialysis catheter tunnel,SNOMED,SM,FALSE
762939,433991000124108,Peritoneal dialysis access failure,SNOMED,SM,FALSE
762945,434061000124103,Hemodialysis access failure,SNOMED,SM,FALSE
763089,435961000124101,Peritoneal dialysis catheter insertion site,SNOMED,SM,FALSE
763090,435971000124108,Body fluid specimen from peritoneal dialysis insertion site,SNOMED,SM,FALSE
763146,436551000124103,Dialysis program certification pending,SNOMED,SM,FALSE
763147,436561000124101,Hospital-based dialysis facility,SNOMED,SM,FALSE
763528,442181000124100,Fungal infection associated with peritoneal dialysis catheter,SNOMED,SM,FALSE
764914,831000124100,Infection of hemodialysis tunneled catheter,SNOMED,SM,FALSE
764921,841000124105,Infection of hemodialysis catheter,SNOMED,SM,FALSE
764924,851000124107,Infection of hemodialysis temporary catheter,SNOMED,SM,FALSE
765566,311000124103,Peritoneal dialysis care plan,SNOMED,SM,FALSE
765776,430891000124105,Dialysis regime,SNOMED,SM,FALSE
765777,430931000124101,Air force dialysis program,SNOMED,SM,FALSE
765865,442171000124103,Bacterial infection associated with peritoneal dialysis catheter,SNOMED,SM,FALSE
1575218,T82.4,Mechanical complication of vascular dialysis catheter,ICD10CM,10,FALSE
1575218,T824,Mechanical complication of vascular dialysis catheter,ICD10CM,10,TRUE
1576113,Z49,Encounter for care involving renal dialysis,ICD10CM,10,FALSE
1576114,Z49.0,Preparatory care for renal dialysis,ICD10CM,10,FALSE
1576114,Z490,Preparatory care for renal dialysis,ICD10CM,10,TRUE
1576115,Z49.3,Encounter for adequacy testing for dialysis,ICD10CM,10,FALSE
1576115,Z493,Encounter for adequacy testing for dialysis,ICD10CM,10,TRUE
3519900,577721000000104,"Accidental cut, puncture, perforation or haemorrhage during kidney dialysis or other perfusion",SNOMED,SM,FALSE
3521835,261000124105,Adjustment of prescription for hemodialysis,SNOMED,SM,FALSE
3521837,391000124108,Increase session time for hemodialysis,SNOMED,SM,FALSE
3521840,531000124103,Increase exchange volume of peritoneal dialysis,SNOMED,SM,FALSE
3524310,214171000000109,Stenosis of arteriovenous dialysis fistula,SNOMED,SM,FALSE
3525358,261001000000101,Creation of graft fistula for dialysis,SNOMED,SM,FALSE
3525711,266911000000107,Automated peritoneal dialysis,SNOMED,SM,FALSE
3525712,266921000000101,Continuous ambulatory peritoneal dialysis,SNOMED,SM,FALSE
3526283,284451000000108,Extracorporeal albumin haemodialysis,SNOMED,SM,FALSE
3527238,320751000000109,Active cooling of patient using peritoneal dialysis fluid,SNOMED,SM,FALSE
3527240,320801000000102,Ultrasound doppler scan for insertion of dialysis catheter,SNOMED,SM,FALSE
3527336,325411000000106,Active warming of patient using peritoneal dialysis fluid,SNOMED,SM,FALSE
3527770,339651000000109,Haemodialysis training,SNOMED,SM,FALSE
3528223,351271000000103,Warming patient by dialysis therapy,SNOMED,SM,FALSE
3528396,363931000000104,Replacement of peritoneal dialysis catheter,SNOMED,SM,FALSE
3528574,371191000000106,Ligation of arteriovenous dialysis graft,SNOMED,SM,FALSE
3530452,523491000000101,Inadequate dialysis blood flow,SNOMED,SM,FALSE
3530453,523501000000107,Misplacement of haemodialysis catheter,SNOMED,SM,FALSE
3537777,640081000000105,Haemodialysis NEC,SNOMED,SM,FALSE
3542438,706901000000104,Continuous ambulatory peritoneal dialysis associated peritonitis,SNOMED,SM,FALSE
3544300,780091000000107,Flushing of chronic ambulatory peritoneal dialysis catheter,SNOMED,SM,FALSE
3545741,853641000000107,Stenosis of dialysis vascular access,SNOMED,SM,FALSE
3545742,853661000000108,Thrombosis of dialysis vascular access,SNOMED,SM,FALSE
3545817,855861000000106,First use syndrome of dialysis,SNOMED,SM,FALSE
3545820,855901000000104,Thrombus in peritoneal dialysis catheter,SNOMED,SM,FALSE
3545834,856191000000104,Ruptured aneurysm of dialysis vascular access,SNOMED,SM,FALSE
3545835,856201000000102,Aneurysm of superficialised artery of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3545836,856211000000100,Aneurysm of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3545837,856221000000106,Aneurysm of needle site of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3545838,856231000000108,Aneurysm of anastomotic site of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3545917,857571000000105,Disorders associated with peritoneal dialysis,SNOMED,SM,FALSE
3545995,863341000000109,Aneurysm of dialysis vascular access,SNOMED,SM,FALSE
3546041,865771000000103,Occlusion of dialysis vascular access,SNOMED,SM,FALSE
3546042,865791000000104,Infection of dialysis vascular access,SNOMED,SM,FALSE
3546043,865811000000103,Haemorrhage of dialysis vascular access,SNOMED,SM,FALSE
3546044,865831000000106,Rupture of dialysis vascular access,SNOMED,SM,FALSE
3546045,865851000000104,Stenosis of dialysis arteriovenous graft,SNOMED,SM,FALSE
3546046,865871000000108,Stenosis of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546047,865991000000101,Thrombosis of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546048,866011000000100,Thrombosis of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546049,866031000000108,Thrombosis of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3546050,866051000000101,Occlusion of dialysis arteriovenous graft,SNOMED,SM,FALSE
3546051,866071000000105,Occlusion of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546052,866091000000109,Occlusion of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3546064,866741000000102,Infection of dialysis arteriovenous graft,SNOMED,SM,FALSE
3546065,866751000000104,Infection of dialysis arteriovenous graft,SNOMED,SM,FALSE
3546066,866761000000101,Infection of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546067,866771000000108,Infection of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546071,866961000000104,Infection of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3546072,867001000000104,Haemorrhage of dialysis arteriovenous graft,SNOMED,SM,FALSE
3546073,867021000000108,Haemorrhage of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546074,867041000000101,Haemorrhage of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3546075,867061000000100,Rupture of dialysis arteriovenous graft,SNOMED,SM,FALSE
3546076,867081000000109,Rupture of dialysis arteriovenous fistula,SNOMED,SM,FALSE
3546077,867101000000103,Rupture of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3546135,872471000000109,Stenosis of arterial side of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3546136,872491000000108,Stenosis of venous side of dialysis arteriovenous shunt,SNOMED,SM,FALSE
3547136,938451000000109,Disorder associated with dialysis,SNOMED,SM,FALSE
3547137,938461000000107,Dialysis disequilibrium,SNOMED,SM,FALSE
3556124,366091000000107,Peritoneal dialysis catheter in situ,SNOMED,SM,FALSE
3557225,523461000000107,Patient choice of dialysis access,SNOMED,SM,FALSE
3557226,523471000000100,Dialysis catheter in situ usable,SNOMED,SM,FALSE
3557227,523481000000103,Dialysis catheter in situ unusable,SNOMED,SM,FALSE
3559627,856161000000105,Anaphylactoid reaction due to haemodialysis,SNOMED,SM,FALSE
3559658,857581000000107,Bloodstained peritoneal dialysis effluent,SNOMED,SM,FALSE
3561478,1035481000000103,Renal dialysis therapy started,SNOMED,SM,FALSE
3561479,1035501000000107,Renal dialysis therapy stopped,SNOMED,SM,FALSE
3561568,1050711000000105,Dependence on renal dialysis,SNOMED,SM,FALSE
3564238,233181000000101,Peritoneal dialysis NEC,SNOMED,SM,FALSE
3564428,364571000000105,Peritoneal dialysis subcutaneous leakage,SNOMED,SM,FALSE
3564588,371000124107,Increase blood flow for hemodialysis,SNOMED,SM,FALSE
3565529,363581000000105,Shaving of peritoneal dialysis catheter cuff,SNOMED,SM,FALSE
3566528,525981000000106,Continuous ambulatory peritoneal dialysis associated peritonitis,SNOMED,SM,FALSE
3566733,198761000000107,Stenosis of arteriovenous dialysis fistula,SNOMED,SM,FALSE
3567070,342071000000104,Ligation of arteriovenous dialysis fistula,SNOMED,SM,FALSE
3567217,364701000000105,Malposition of peritoneal dialysis catheter,SNOMED,SM,FALSE
3567357,699851000000107,Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion,SNOMED,SM,FALSE
3567425,366101000000104,Temporary peritoneal dialysis catheter in situ,SNOMED,SM,FALSE
3567944,225371000000104,Creation of graft fistula for dialysis,SNOMED,SM,FALSE
3568361,342221000000108,Ligation of arteriovenous dialysis graft,SNOMED,SM,FALSE
3569044,366981000000106,Peritoneal dialysis catheter fell out,SNOMED,SM,FALSE
3569155,531351000000101,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of procedure",SNOMED,SM,FALSE
3569163,365591000000108,Laparoscopic insertion of peritoneal dialysis catheter,SNOMED,SM,FALSE
3570355,325391000000106,Active warming of patient using haemodialysis circuit,SNOMED,SM,FALSE
3570529,231631000000105,Automated peritoneal dialysis,SNOMED,SM,FALSE
3571918,116391000000104,Dialysis fluid examination,SNOMED,SM,FALSE
3572152,120971000000107,Dialysis fluid examination,SNOMED,SM,FALSE
3572583,339641000000106,Dialysis training,SNOMED,SM,FALSE
3572704,351341000000102,Peritoneal dialysis training,SNOMED,SM,FALSE
3578645,266931000000104,Peritoneal dialysis NEC,SNOMED,SM,FALSE
3579207,291421000000102,Extracorporeal albumin haemodialysis,SNOMED,SM,FALSE
3580222,371181000000109,Ligation of arteriovenous dialysis fistula,SNOMED,SM,FALSE
4000624,119360007,Dialysis fluid specimen,SNOMED,SM,FALSE
4002872,11932001,Stabilizing hemodialysis,SNOMED,SM,FALSE
4019622,115499008,Pre-dialysis,SNOMED,SM,FALSE
4019623,115500004,Post-dialysis,SNOMED,SM,FALSE
4019967,105502003,Dependence on renal dialysis,SNOMED,SM,FALSE
4020891,225229003,Peritoneal dialysis bag procedure,SNOMED,SM,FALSE
4020892,225231007,Stab peritoneal dialysis,SNOMED,SM,FALSE
4021014,225281003,Reversing hemodialysis lines,SNOMED,SM,FALSE
4021025,225228006,Putting additive into peritoneal dialysis bag,SNOMED,SM,FALSE
4021037,225282005,Washing back through hemodialysis lines,SNOMED,SM,FALSE
4021976,225230008,Chronic peritoneal dialysis,SNOMED,SM,FALSE
4022107,225283000,Priming hemodialysis lines,SNOMED,SM,FALSE
4026915,225892009,Revision of arteriovenous shunt for renal dialysis,SNOMED,SM,FALSE
4027133,19765000,Complication of dialysis,SNOMED,SM,FALSE
4030520,236435004,End stage renal failure on dialysis,SNOMED,SM,FALSE
4030678,236540009,Anaphylactoid reaction to dialysis,SNOMED,SM,FALSE
4030831,238314006,Renewal of chronic ambulatory peritoneal dialysis catheter,SNOMED,SM,FALSE
4030832,238317004,Flushing of chronic ambulatory peritoneal dialysis catheter,SNOMED,SM,FALSE
4030834,238323009,Night-time intermittent peritoneal dialysis,SNOMED,SM,FALSE
4031314,238315007,Adjustment of chronic ambulatory peritoneal dialysis catheter,SNOMED,SM,FALSE
4031315,238319001,Continuous cycling peritoneal dialysis,SNOMED,SM,FALSE
4031777,10848006,Removal of peritoneal dialysis catheter,SNOMED,SM,FALSE
4032128,238316008,Aspiration of chronic ambulatory peritoneal dialysis catheter,SNOMED,SM,FALSE
4032243,108241001,Dialysis procedure,SNOMED,SM,FALSE
4032288,236551009,Underdialysis,SNOMED,SM,FALSE
4032292,236562009,Obstruction of peritoneal dialysis catheter,SNOMED,SM,FALSE
4032293,236565006,Poor drainage of peritoneal dialysis catheter,SNOMED,SM,FALSE
4032775,14684005,Peritoneal dialysis excluding cannulation,SNOMED,SM,FALSE
4045262,12963004,Dialysis-associated ascites,SNOMED,SM,FALSE
4045763,122586001,Peritoneal dialysis fluid specimen,SNOMED,SM,FALSE
4049322,15859004,Chronic hemodialysis diet,SNOMED,SM,FALSE
4049838,233547003,Cannulation of arteriovenous dialysis fistula,SNOMED,SM,FALSE
4050862,233577009,Intermittent hemodialysis with continuous ultrafiltration,SNOMED,SM,FALSE
4050863,233578004,Continuous hemodialysis,SNOMED,SM,FALSE
4051326,233575001,Intermittent hemodialysis,SNOMED,SM,FALSE
4051327,233576000,Intermittent hemodialysis with sequential ultrafiltration,SNOMED,SM,FALSE
4051328,233579007,Continuous arteriovenous hemodialysis,SNOMED,SM,FALSE
4051329,233580005,Continuous venovenous hemodialysis,SNOMED,SM,FALSE
4051442,20947001,Dialysis secretion of vitreous humor,SNOMED,SM,FALSE
4070976,17778006,Mechanical complication of dialysis catheter,SNOMED,SM,FALSE
4076634,224967001,Revision of cannula for dialysis,SNOMED,SM,FALSE
4080169,238318009,Continuous ambulatory peritoneal dialysis,SNOMED,SM,FALSE
4080171,238321006,Intermittent peritoneal dialysis,SNOMED,SM,FALSE
4080172,238322004,Tidal peritoneal dialysis,SNOMED,SM,FALSE
4080241,180268000,Hemodialysis NEC,SNOMED,SM,FALSE
4080242,180273006,Removal of chronic ambulatory peritoneal dialysis catheter,SNOMED,SM,FALSE
4081057,276883000,Peritoneal dialysis-associated peritonitis,SNOMED,SM,FALSE
4081569,241103007,Skeletal survey - dialysis,SNOMED,SM,FALSE
4081570,241104001,Skeletal survey - dialysis follow-up,SNOMED,SM,FALSE
4082257,182753006,Intestinal dialysis,SNOMED,SM,FALSE
4085920,243778000,Arterial port blood sampling during hemodialysis,SNOMED,SM,FALSE
