concept_id,concept_code,concept_name,codeset
4318397,95421005,Intercostal myalgia,myalgia
442752,68962001,Muscle pain,myalgia
4150130,279070004,Muscle tension pain,myalgia
4126064,288232008,Myalgia/myositis - ankle/foot,myalgia
4125938,288228002,Myalgia/myositis - forearm,myalgia
4121934,288229005,Myalgia/myositis - hand,myalgia
4125939,288231001,Myalgia/myositis - lower leg,myalgia
4125937,288225004,Myalgia/myositis - multiple,myalgia
4121935,288230000,Myalgia/myositis -pelvis/thigh,myalgia
4121597,288226003,Myalgia/myositis - shoulder,myalgia
4121598,288227007,Myalgia/myositis - upper arm,myalgia
4184119,298292009,Pain on movement of skeletal muscle,myalgia
4344370,240107001,Viral myalgia,myalgia
