concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
8691,O33.7,Maternal care for disproportion due to other fetal deformities,ICD10CM,10,FALSE
8691,O337,Maternal care for disproportion due to other fetal deformities,ICD10CM,10,TRUE
10019,O31.00,"Papyraceous fetus, unspecified trimester",ICD10CM,10,FALSE
10019,O3100,"Papyraceous fetus, unspecified trimester",ICD10CM,10,TRUE
10020,O31.01,"Papyraceous fetus, first trimester",ICD10CM,10,FALSE
10020,O3101,"Papyraceous fetus, first trimester",ICD10CM,10,TRUE
10021,O31.02,"Papyraceous fetus, second trimester",ICD10CM,10,FALSE
10021,O3102,"Papyraceous fetus, second trimester",ICD10CM,10,TRUE
10022,O31.03,"Papyraceous fetus, third trimester",ICD10CM,10,FALSE
10022,O3103,"Papyraceous fetus, third trimester",ICD10CM,10,TRUE
10023,O31.10,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester",ICD10CM,10,FALSE
10023,O3110,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester",ICD10CM,10,TRUE
10024,O31.11,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester",ICD10CM,10,FALSE
10024,O3111,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester",ICD10CM,10,TRUE
10025,O31.12,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester",ICD10CM,10,FALSE
10025,O3112,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester",ICD10CM,10,TRUE
10026,O31.13,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester",ICD10CM,10,FALSE
10026,O3113,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester",ICD10CM,10,TRUE
10027,O31.20,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester",ICD10CM,10,FALSE
10027,O3120,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester",ICD10CM,10,TRUE
10028,O31.21,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester",ICD10CM,10,FALSE
10028,O3121,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester",ICD10CM,10,TRUE
10029,O31.22,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester",ICD10CM,10,FALSE
10029,O3122,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester",ICD10CM,10,TRUE
10030,O31.23,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester",ICD10CM,10,FALSE
10030,O3123,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester",ICD10CM,10,TRUE
10031,O31.30,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester",ICD10CM,10,FALSE
10031,O3130,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester",ICD10CM,10,TRUE
10032,O31.31,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester",ICD10CM,10,FALSE
10032,O3131,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester",ICD10CM,10,TRUE
10033,O31.32,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester",ICD10CM,10,FALSE
10033,O3132,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester",ICD10CM,10,TRUE
10034,O31.33,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester",ICD10CM,10,FALSE
10034,O3133,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester",ICD10CM,10,TRUE
10035,O31.8X1,"Other complications specific to multiple gestation, first trimester",ICD10CM,10,FALSE
10035,O318X1,"Other complications specific to multiple gestation, first trimester",ICD10CM,10,TRUE
10036,O31.8X2,"Other complications specific to multiple gestation, second trimester",ICD10CM,10,FALSE
10036,O318X2,"Other complications specific to multiple gestation, second trimester",ICD10CM,10,TRUE
10037,O31.8X3,"Other complications specific to multiple gestation, third trimester",ICD10CM,10,FALSE
10037,O318X3,"Other complications specific to multiple gestation, third trimester",ICD10CM,10,TRUE
10038,O31.8X9,"Other complications specific to multiple gestation, unspecified trimester",ICD10CM,10,FALSE
10038,O318X9,"Other complications specific to multiple gestation, unspecified trimester",ICD10CM,10,TRUE
10040,O32.1,Maternal care for breech presentation,ICD10CM,10,FALSE
10040,O321,Maternal care for breech presentation,ICD10CM,10,TRUE
10041,O32.2,Maternal care for transverse and oblique lie,ICD10CM,10,FALSE
10041,O322,Maternal care for transverse and oblique lie,ICD10CM,10,TRUE
10043,O32.4,Maternal care for high head at term,ICD10CM,10,FALSE
10043,O324,Maternal care for high head at term,ICD10CM,10,TRUE
10044,O32.6,Maternal care for compound presentation,ICD10CM,10,FALSE
