concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
193955,44323002,Tuberculosis of kidney,SNOMED,SM,FALSE
194685,197764002,Non-obstructive reflux-associated chronic pyelonephritis,SNOMED,SM,FALSE
196735,197768004,Acute pyelonephritis without medullary necrosis,SNOMED,SM,FALSE
197035,197769007,Acute pyelonephritis with medullary necrosis,SNOMED,SM,FALSE
198199,45816000,Pyelonephritis,SNOMED,SM,FALSE
198957,81359005,Tuberculosis of ureter,SNOMED,SM,FALSE
199872,197760006,Chronic pyelonephritis without medullary necrosis,SNOMED,SM,FALSE
201908,197761005,Chronic pyelonephritis with medullary necrosis,SNOMED,SM,FALSE
3519895,577541000000102,Chronic pyelonephritis NOS,SNOMED,SM,FALSE
3520446,614151000000102,Tuberculosis of kidney NOS,SNOMED,SM,FALSE
3528853,400131000000103,Pyelonephritis/interstitial nephritis due to other specified cause associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3529081,441241000000103,Pyelonephritis or interstitial nephritis associated renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3529152,453471000000109,Tubulo-interstitial nephritis (not pyelonephritis) associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3533683,577551000000104,Acute pyelonephritis NOS,SNOMED,SM,FALSE
3535184,601491000000104,Pyelonephritis and pyonephrosis unspecified,SNOMED,SM,FALSE
3535185,601501000000105,Pyelonephritis unspecified,SNOMED,SM,FALSE
3535188,601521000000101,Pyonephrosis unspecified,SNOMED,SM,FALSE
3535189,601531000000104,Unspecified pyelonephritis NOS,SNOMED,SM,FALSE
3545545,835011000000100,Acute infective interstitial nephritis,SNOMED,SM,FALSE
3545772,855191000000109,Candida pyelonephritis,SNOMED,SM,FALSE
3545904,857251000000104,Cytomegalovirus-induced glomerulonephritis,SNOMED,SM,FALSE
3545907,857281000000105,Chronic infective interstitial nephritis,SNOMED,SM,FALSE
3547128,938351000000102,Emphysematous pyelonephritis,SNOMED,SM,FALSE
3547129,938361000000104,Emphysematous pyelitis,SNOMED,SM,FALSE
3569819,417001000000107,Pyelonephritis/interstitial nephritis due to acquired obstructive uropathy associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3571052,469201000000109,Pyelonephritis/interstitial nephritis due to urolithiasis associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3580521,402981000000101,Pyelonephritis/interstitial nephritis associated with neurogenic bladder and renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3580837,432641000000105,Pyelonephritis/interstitial nephritis cause not specified associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3580906,441671000000107,Pyelonephritis/interstitial nephritis due to congenital obstructive uropathy with or without vesico-ureteric reflux associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3581143,464341000000101,Pyelonephritis/interstitial nephritis due to vesico-ureteric reflux without obstruction associated with renal failure - EDTA (European Dialysis and Transplant Association),SNOMED,SM,FALSE
3654660,838353009,Acute pyelonephritis caused by bacterium,SNOMED,SM,FALSE
4030508,236378005,Candida pyelonephritis,SNOMED,SM,FALSE
4032427,236599009,Schistosomiasis of ureter,SNOMED,SM,FALSE
4032428,236600007,Candida ureteritis,SNOMED,SM,FALSE
4034818,23754003,Calculous pyelonephritis,SNOMED,SM,FALSE
4042397,16751003,Acute tubulointerstitial nephritis associated with systemic infection,SNOMED,SM,FALSE
4048058,123611003,Subacute pyelonephritis,SNOMED,SM,FALSE
4048059,123612005,Healed pyelonephritis,SNOMED,SM,FALSE
4048676,123754002,Focal pyelonephritis,SNOMED,SM,FALSE
4049424,123755001,Diffuse pyelonephritis,SNOMED,SM,FALSE
4056022,197767009,Chronic pyelonephritis NOS,SNOMED,SM,FALSE
4056023,197770008,Acute pyonephrosis,SNOMED,SM,FALSE
4056024,197778001,Pyelonephritis and pyonephrosis unspecified,SNOMED,SM,FALSE
4056026,197782004,Pyelonephritis associated with another disorder,SNOMED,SM,FALSE
4056597,197763008,Chronic pyonephrosis,SNOMED,SM,FALSE
4056598,197771007,Acute pyelonephritis NOS,SNOMED,SM,FALSE
4056600,197784003,Unspecified pyelonephritis NOS,SNOMED,SM,FALSE
4059597,197779009,Pyelonephritis unspecified,SNOMED,SM,FALSE
4059598,197781006,Pyonephrosis unspecified,SNOMED,SM,FALSE
4062493,17121006,Mumps nephritis,SNOMED,SM,FALSE
4087287,186235002,Tuberculous nephropathy,SNOMED,SM,FALSE
4087288,186236001,Tuberculosis of kidney NOS,SNOMED,SM,FALSE
4100954,27810000,Acute viral tubulointerstitial nephritis,SNOMED,SM,FALSE
4125951,236373001,Emphysematous pyelonephritis,SNOMED,SM,FALSE
4125952,236374007,Chronic infective interstitial nephritis,SNOMED,SM,FALSE
4125953,236375008,Emphysematous pyelitis,SNOMED,SM,FALSE
4126297,236379002,Chronic obstructive pyelonephritis,SNOMED,SM,FALSE
4128374,236590008,Cytomegalovirus-induced glomerulonephritis,SNOMED,SM,FALSE
4174994,48631008,Pyonephrosis,SNOMED,SM,FALSE
4207309,312221005,Infective ureteritis,SNOMED,SM,FALSE
4239213,91195006,Acute fungal tubulointerstitial nephritis,SNOMED,SM,FALSE
4251796,7448003,Acute pyonephrosis with renal medullary necrosis,SNOMED,SM,FALSE
4267857,61680002,Contagious bovine pyelonephritis,SNOMED,SM,FALSE
4269363,63302006,Chronic pyelonephritis,SNOMED,SM,FALSE
4275723,65127006,Tuberculous pyelonephritis,SNOMED,SM,FALSE
4280571,36689008,Acute pyelonephritis,SNOMED,SM,FALSE
4284564,66993009,Acute infectious tubulointerstitial nephritis,SNOMED,SM,FALSE
4290623,37133005,Tuberculous pyelitis,SNOMED,SM,FALSE
4306541,38898003,Xanthogranulomatous pyelonephritis,SNOMED,SM,FALSE
4307400,423322005,Recurrent obstructive pyelonephritis,SNOMED,SM,FALSE
4310661,85495007,Acute pyonephrosis without renal medullary necrosis,SNOMED,SM,FALSE
4312589,85868008,Porcine pyelonephritis,SNOMED,SM,FALSE
4318119,95889002,Mycoplasmal pyelonephritis,SNOMED,SM,FALSE
4329572,22352007,Acute bacterial tubulointerstitial nephritis,SNOMED,SM,FALSE
35209246,N10,Acute pyelonephritis,ICD10CM,10,FALSE
35209247,N11.0,Nonobstructive reflux-associated chronic pyelonephritis,ICD10CM,10,FALSE
35209247,N110,Nonobstructive reflux-associated chronic pyelonephritis,ICD10CM,10,TRUE
35209248,N11.1,Chronic obstructive pyelonephritis,ICD10CM,10,FALSE
35209248,N111,Chronic obstructive pyelonephritis,ICD10CM,10,TRUE
35209256,N13.6,Pyonephrosis,ICD10CM,10,FALSE
35209256,N136,Pyonephrosis,ICD10CM,10,TRUE
36713241,42231000009109,Bacterial nephritis,SNOMED,SM,FALSE
40288247,123293005,Chronic pyelonephritis,SNOMED,SM,FALSE
40317625,155860007,Infection of kidney (& [pyelonephritis &/or pyelitis]),SNOMED,SM,FALSE
40317627,155861006,(Chronic pyelonephritis) or (chronic pyonephrosis),SNOMED,SM,FALSE
40317628,155862004,(Acute pyelonephritis) or (acute pyonephrosis),SNOMED,SM,FALSE
40346990,266618004,Infection of kidney (& [pyelonephritis &/or pyelitis]),SNOMED,SM,FALSE
40346991,266619007,(Chronic pyelonephritis) or (chronic pyonephrosis),SNOMED,SM,FALSE
40346992,266620001,(Acute pyelonephritis) or (acute pyonephrosis),SNOMED,SM,FALSE
40353904,274630008,[EDTA] Pyelonephritis/interstitial nephritis associated with neurogenic bladder and renal failure,SNOMED,SM,FALSE
40354339,274631007,[EDTA] Pyelonephritis/interstitial nephritis cause not specified associated with renal failure,SNOMED,SM,FALSE
40354340,274632000,[EDTA] Pyelonephritis/interstitial nephritis due to acquired obstructive uropathy associated with renal failure,SNOMED,SM,FALSE
40354341,274633005,[EDTA] Pyelonephritis/interstitial nephritis due to congenital obstructive uropathy with or without vesico-ureteric reflux associated with renal failure,SNOMED,SM,FALSE
40354342,274634004,[EDTA] Pyelonephritis/interstitial nephritis due to other specified cause associated with renal failure,SNOMED,SM,FALSE
40354343,274635003,[EDTA] Pyelonephritis/interstitial nephritis due to urolithiasis associated with renal failure,SNOMED,SM,FALSE
40354344,274636002,[EDTA] Pyelonephritis/interstitial nephritis due to vesico-ureteric reflux without obstruction associated with renal failure,SNOMED,SM,FALSE
40360241,281854005,[EDTA] Pyelonephritis or interstitial nephritis associated renal failure,SNOMED,SM,FALSE
40374523,285280005,[EDTA] Tubulo-interstitial nephritis (not pyelonephritis) associated with renal failure,SNOMED,SM,FALSE
40395618,197765001,Chronic obstructive pyelonephritis,SNOMED,SM,FALSE
40395619,197766000,Calculous pyelonephritis,SNOMED,SM,FALSE
40395631,197777006,Xanthogranulomatous pyelonephritis,SNOMED,SM,FALSE
40445958,24295008,Reflux nephropathy,SNOMED,SM,FALSE
42535233,16271000119108,Pyelonephritis in pregnancy,SNOMED,SM,FALSE
44801972,522551000000101,Familial non-obstructive reflux-associated chronic pyelonephritis,SNOMED,SM,FALSE
44819334,016.04,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ICD9CM,09,FALSE
44819334,01604,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",ICD9CM,09,TRUE
44820536,016.00,"Tuberculosis of kidney, unspecified",ICD9CM,09,FALSE
44820536,01600,"Tuberculosis of kidney, unspecified",ICD9CM,09,TRUE
44820537,016.03,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy",ICD9CM,09,FALSE
44820537,01603,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy",ICD9CM,09,TRUE
44822044,590.01,Chronic pyelonephritis with lesion of renal medullary necrosis,ICD9CM,09,FALSE
44822044,59001,Chronic pyelonephritis with lesion of renal medullary necrosis,ICD9CM,09,TRUE
44822045,590.1,Acute pyelonephritis,ICD9CM,09,FALSE
44822045,5901,Acute pyelonephritis,ICD9CM,09,TRUE
44822797,016.22,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present)",ICD9CM,09,FALSE
44822797,01622,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present)",ICD9CM,09,TRUE
44823193,590.11,Acute pyelonephritis with lesion of renal medullary necrosis,ICD9CM,09,FALSE
