concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
8689,J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations,ICD10CM,10,FALSE
8689,J111,Influenza due to unidentified influenza virus with other respiratory manifestations,ICD10CM,10,TRUE
23137,232403001,Chlamydial pharyngitis,SNOMED,SM,FALSE
26899,70341005,Tuberculous laryngitis,SNOMED,SM,FALSE
26908,186963008,Vincent's angina,SNOMED,SM,FALSE
28060,43878008,Streptococcal sore throat,SNOMED,SM,FALSE
30333,74372003,Gonorrhea of pharynx,SNOMED,SM,FALSE
132553,186659004,Herpangina,SNOMED,SM,FALSE
252235,29731002,Tuberculous pneumothorax,SNOMED,SM,FALSE
252351,41381004,Pneumonia due to Pseudomonas,SNOMED,SM,FALSE
252548,195902009,Anthrax pneumonia,SNOMED,SM,FALSE
252552,81164001,Ornithosis with pneumonia,SNOMED,SM,FALSE
252655,195886008,Group B streptococcal pneumonia,SNOMED,SM,FALSE
252949,7678002,Cytomegaloviral pneumonia,SNOMED,SM,FALSE
253121,186194007,"Tuberculosis of lung, confirmed by culture only",SNOMED,SM,FALSE
253235,59475000,Pneumonia in pertussis,SNOMED,SM,FALSE
253790,64479007,Pneumonia due to Klebsiella pneumoniae,SNOMED,SM,FALSE
253954,154283005,Pulmonary tuberculosis,SNOMED,SM,FALSE
254058,195739001,Acute bronchiolitis due to respiratory syncytial virus,SNOMED,SM,FALSE
254066,233609002,Pneumonia caused by Chlamydiaceae,SNOMED,SM,FALSE
254266,80003002,Tuberculous pneumonia,SNOMED,SM,FALSE
254388,312403005,Legionnaire's disease,SNOMED,SM,FALSE
254561,38976008,Pneumonic plague,SNOMED,SM,FALSE
254576,187042003,Histoplasma capsulatum with pneumonia,SNOMED,SM,FALSE
254677,41207000,Adenoviral pneumonia,SNOMED,SM,FALSE
254852,186188004,Isolated tracheal or bronchial tuberculosis,SNOMED,SM,FALSE
255175,80602006,Nodular tuberculosis of lung,SNOMED,SM,FALSE
