concept_id,concept_code,concept_name,codeset
254058,195739001,Acute bronchiolitis due to respiratory syncytial virus,rsv
4110484,195727009,Acute respiratory syncytial virus bronchitis,rsv
46269721,1.06256E+16,Bronchopneumonia due to respiratory syncytial virus,rsv
436145,195881003,Pneumonia due to respiratory syncytial virus,rsv
46270075,1.332E+16,Positive sputum culture for hRSV (Human respiratory syncytial virus),rsv
4237921,57089007,Respiratory syncytial virus bronchiolitis,rsv
4195736,79479005,Respiratory syncytial virus bronchitis,rsv
437222,55735004,Respiratory syncytial virus infection,rsv
4218289,72204002,Respiratory syncytial virus laryngotracheobronchitis,rsv
4150370,31309002,Respiratory syncytial virus pharyngitis,rsv
