"concept_id","concept_code","concept_name","vocabulary_id"
45553008,"L94.0","Localized scleroderma [morphea]","ICD10"
45586800,"L94.1","Linear scleroderma","ICD10"
45586957,"M34","Systemic sclerosis","ICD10"
45582128,"M34.0","Progressive systemic sclerosis","ICD10"
45582129,"M34.1","CR(E)ST syndrome","ICD10"
45577245,"M34.2","Systemic sclerosis induced by drugs and chemicals","ICD10"
45601436,"M34.8","Other forms of systemic sclerosis","ICD10"
45533828,"M34.9","Systemic sclerosis, unspecified","ICD10"
35208702,"L94.0","Localized scleroderma [morphea]","ICD10CM"
35208703,"L94.1","Linear scleroderma","ICD10CM"
1570619,"M34","Systemic sclerosis [scleroderma]","ICD10CM"
35208828,"M34.0","Progressive systemic sclerosis","ICD10CM"
35208829,"M34.1","CR(E)ST syndrome","ICD10CM"
35208830,"M34.2","Systemic sclerosis induced by drug and chemical","ICD10CM"
1570620,"M34.8","Other forms of systemic sclerosis","ICD10CM"
45596565,"M34.81","Systemic sclerosis with lung involvement","ICD10CM"
45553171,"M34.82","Systemic sclerosis with myopathy","ICD10CM"
45582130,"M34.83","Systemic sclerosis with polyneuropathy","ICD10CM"
45572448,"M34.89","Other systemic sclerosis","ICD10CM"
35208831,"M34.9","Systemic sclerosis, unspecified","ICD10CM"
40289837,"128457007","Scleroderma syndrome","SNOMED"
4134289,"128458002","Plaque morphea","SNOMED"
40289839,"128459005","Systemic sclerosis, limited","SNOMED"
4027727,"128460000","Systemic sclerosis, diffuse","SNOMED"
4027230,"128461001","Systemic sclerosis sine scleroderma","SNOMED"
40320280,"156451000","Scleroderma (& [systemic sclerosis])","SNOMED"
40320281,"156452007","Morphea","SNOMED"
40320283,"156454008","Scleroderma NOS","SNOMED"
4105026,"193252005","Myopathy due to systemic sclerosis","SNOMED"
255304,"196133001","Lung disease with systemic sclerosis","SNOMED"
40396829,"201046006","Localized morphea","SNOMED"
4066844,"201047002","Unspecified circumscribed scleroderma","SNOMED"
441928,"201048007","Localized scleroderma","SNOMED"
4066845,"201049004","Morphea","SNOMED"
40396833,"201050004","Linear morphea","SNOMED"
4066846,"201052007","Circumscribed scleroderma NOS","SNOMED"
40405489,"201440007","Scleroderma (& [acrosclerosis] or [systemic sclerosis])","SNOMED"
443422,"201441006","Scleroderma","SNOMED"
