concept_id,concept_name,concept_code,vocabulary_id
22281,Sickle cell-hemoglobin SS disease,127040003,SNOMED
24006,Sickle cell-hemoglobin C disease,35434009,SNOMED
443726,Sickle cell-hemoglobin C disease without crisis,417683006,SNOMED
315523,Sickle cell-thalassemia disease,36472007,SNOMED
4130067,Sickle cell-beta-thalassemia,127041004,SNOMED
321263,Sickle cell-thalassemia disease without crisis,417048006,SNOMED
443721,Sickle cell-hemoglobin C disease with crisis,417517009,SNOMED
4130678,Sickle cell beta plus thalassemia,127042006,SNOMED
35626024,Vaso-occlusive pain episode in sickle cell disease,769167005,SNOMED
443738,Sickle cell-thalassemia disease with crisis,416826005,SNOMED
4130068,Sickle cell-beta^0^-thalassemia,127043001,SNOMED
4021365,Sickle cell retinopathy,11603001,SNOMED
4103763,Sickle cell-hemoglobin D disease,25472008,SNOMED
4166099,Sickle cell-hemoglobin D disease without crisis,416214006,SNOMED
40485018,Acute sickle cell splenic sequestration crisis,444108000,SNOMED
4264046,Sickle cell-hemoglobin E disease,47024008,SNOMED
37018856,Priapism due to sickle cell disease,367061000119107,SNOMED
4211932,Sickle cell-hemoglobin E disease without crisis,416638004,SNOMED
4159748,Hand-foot syndrome in sickle cell anemia,371104006,SNOMED
4029479,Sickle cell nephropathy,13886001,SNOMED
4131914,Sickle cell anemia with coexistent alpha-thalassemia,127045008,SNOMED
4131126,Sickle cell-hemoglobin Lepore disease,127047000,SNOMED
4167364,Sickle cell-hemoglobin D disease with crisis,417748003,SNOMED
4130190,Sickle cell-Hemoglobin O Arab disease,127048005,SNOMED
765385,Acute chest syndrome due to sickle cell-hemoglobin C disease with crisis,128431000119106,SNOMED
4219568,Sickle cell-hemoglobin E disease with crisis,416484003,SNOMED
254062,Acute chest syndrome,372146004,SNOMED
