concept_id,concept_name,concept_code,vocabulary_id
45772089,Cystitis due to Chlamydia,1.08482E+15,SNOMED
45769230,Acute on chronic cystitis,707834009,SNOMED
42873164,"Acute cystitis in pregnancy, antepartum",5.21E+11,SNOMED
40493232,Eosinophilic cystitis,445918001,SNOMED
37204514,Encrusted cystitis,783184003,SNOMED
37018952,Hematuria co-occurrent and due to chronic interstitial cystitis,3.67661E+14,SNOMED
37018854,Hematuria co-occurrent and due to acute cystitis,3.66941E+14,SNOMED
37016367,Hematuria co-occurrent and due to chronic cystitis,3.68971E+14,SNOMED
37016352,Hematuria co-occurrent and due to trigonitis,3.68371E+14,SNOMED
37016343,Hematuria co-occurrent and due to irradiation cystitis,3.67671E+14,SNOMED
37016338,Hematuria co-occurrent and due to cystitis,3.67171E+14,SNOMED
4338362,Amebic cystitis,8776008,SNOMED
4331584,Bullous cystitis,22557000,SNOMED
4327335,Malakoplakia of bladder,75073007,SNOMED
4284706,Urethrotrigonitis,67167008,SNOMED
4277601,Follicular cystitis,64956000,SNOMED
4277092,Diverticulitis of bladder,65332001,SNOMED
4269514,Acute trigonitis,62199007,SNOMED
4263916,Chronic ulcerating interstitial cystitis,36139001,SNOMED
4263853,Klebsiella cystitis,60867007,SNOMED
4248714,Cystitis glandularis,72815004,SNOMED
4247613,Cystitis due to Pseudomonas,40635000,SNOMED
4227291,Hemorrhagic cystitis,87696004,SNOMED
4216858,Papillary cystitis,72222004,SNOMED
4215879,Acute hemorrhagic cystitis,81125004,SNOMED
4207359,Cystitis with Echinococcus infestation,54026009,SNOMED
4203790,Cystitis with bilharziasis,53991003,SNOMED
4190328,Pyocystis,373611003,SNOMED
4183440,Subacute cystitis,4324001,SNOMED
4182274,Chronic trigonitis,43114002,SNOMED
4179205,Emphysematous cystitis,52123000,SNOMED
4176285,Cystitis with actinomycosis,5093001,SNOMED
4175166,Bacterial cystitis,424551004,SNOMED
4170118,Cystitis of pregnancy,275412000,SNOMED
4167926,Infected diverticulum of bladder,275410008,SNOMED
4158913,Acute recurrent cystitis,274109003,SNOMED
4144035,Acute infective cystitis,307426000,SNOMED
4137361,Recurrent bacterial cystitis,425562008,SNOMED
4128401,Acute culture positive cystitis,236702008,SNOMED
4128384,Non-infective cystitis,236623005,SNOMED
4127566,Chronic nonspecific cystitis,236627006,SNOMED
4127565,Recurrent cystitis - culture-negative,236625003,SNOMED
4127564,Acute cystitis - culture-negative,236624004,SNOMED
4127563,Chronic infective cystitis,236622000,SNOMED
4127562,Infective cystitis,236620008,SNOMED
4126268,Chemical cystitis,236630004,SNOMED
4126267,Chronic radiation cystitis,236629009,SNOMED
4126141,Chronic cystitis - culture negative,236626002,SNOMED
4063038,Infections of bladder in pregnancy,199205008,SNOMED
4059608,Gonococcal cystitis,197848003,SNOMED
4059142,Monilial cystitis,197849006,SNOMED
4056612,Recurrent cystitis,197853008,SNOMED
4056038,Submucous cystitis,197837005,SNOMED
4047893,Panmural cystitis,230402000,SNOMED
4032449,Recurrent infective cystitis,236703003,SNOMED
4032434,Acute radiation cystitis,236628001,SNOMED
4009638,Ulcerative cystitis,111409009,SNOMED
764098,Irradiation cystitis without hematuria,4.50761E+14,SNOMED
441615,Trigonitis,74445007,SNOMED
439349,Cystitis associated with another disorder,197845000,SNOMED
201633,Cystitis cystica,13285005,SNOMED
201621,Chronic cystitis,33655002,SNOMED
201353,Irradiation cystitis,11251000,SNOMED
198807,Prostatocystitis,67685000,SNOMED
198674,Tuberculosis of bladder,32268008,SNOMED
196338,Chronic gonococcal cystitis,88813005,SNOMED
195743,Diphtheritic cystitis,48278001,SNOMED
195588,Cystitis,38822007,SNOMED
194081,Acute cystitis,68226007,SNOMED
193140,Acute gonococcal cystitis,24868007,SNOMED
75863,Chronic interstitial cystitis,197834003,SNOMED
45757273,Toxoplasma tubulointerstitial nephropathy,1.09283E+15,SNOMED
45757268,Salmonella pyelonephritis,1.09237E+15,SNOMED
45757237,Diphtheria tubulointerstitial nephropathy,1.08607E+15,SNOMED
43530945,Induced termination of pregnancy complicated by urinary tract infection,609491002,SNOMED
42535233,Pyelonephritis in pregnancy,1.6271E+13,SNOMED
40481109,Abscess of urethral gland due to Neisseria gonorrhoeae,444834005,SNOMED
37395567,Reactive arthritis co-occurrent and due to nonspecific urethritis,1.10041E+14,SNOMED
37311937,Gonorrhea of penis,788961008,SNOMED
37311936,Infection of urinary tract caused by Herpes simplex,788962001,SNOMED
37017585,BK virus nephropathy,713886006,SNOMED
37017217,Renal impairment caused by Polyomavirus,713453003,SNOMED
37016370,Urinary tract infection caused by Pseudomonas,3.69011E+14,SNOMED
37016369,Urinary tract infection caused by Klebsiella,3.69001E+14,SNOMED
37016368,Urinary tract infection caused by Enterococcus,3.68991E+14,SNOMED
36716009,Disorder of kidney and/or ureter caused by Schistosoma haematobium,721817004,SNOMED
36713241,Bacterial nephritis,4.2231E+13,SNOMED
35610224,Uncomplicated urinary tract infection,1.09071E+15,SNOMED
4331815,Acute urinary tract infection,431309003,SNOMED
4330644,Acute lower urinary tract infection,431737008,SNOMED
4329572,Acute bacterial tubulointerstitial nephritis,22352007,SNOMED
4329106,Acute upper urinary tract infection,431308006,SNOMED
4324904,Bacterial urethritis,429728004,SNOMED
4318119,Mycoplasmal pyelonephritis,95889002,SNOMED
4312595,Pyoureter,85884009,SNOMED
4311853,Upper urinary tract infection,422747000,SNOMED
4310661,Acute pyonephrosis without renal medullary necrosis,85495007,SNOMED
4307400,Recurrent obstructive pyelonephritis,423322005,SNOMED
4290623,Tuberculous pyelitis,37133005,SNOMED
4284564,Acute infectious tubulointerstitial nephritis,66993009,SNOMED
4281684,Failed attempted termination of pregnancy with urinary tract infection,66892003,SNOMED
4280571,Acute pyelonephritis,36689008,SNOMED
4269363,Chronic pyelonephritis,63302006,SNOMED
4251796,Acute pyonephrosis with renal medullary necrosis,7448003,SNOMED
