"concept_id","concept_code","concept_name","vocabulary_id"
45581962,"L80","Vitiligo","ICD10"
1568479,"H02.73","Vitiligo of eyelid and periocular area","ICD10CM"
45586344,"H02.731","Vitiligo of right upper eyelid and periocular area","ICD10CM"
45566930,"H02.732","Vitiligo of right lower eyelid and periocular area","ICD10CM"
45538173,"H02.733","Vitiligo of right eye, unspecified eyelid and periocular area","ICD10CM"
45557286,"H02.734","Vitiligo of left upper eyelid and periocular area","ICD10CM"
45552568,"H02.735","Vitiligo of left lower eyelid and periocular area","ICD10CM"
45605586,"H02.736","Vitiligo of left eye, unspecified eyelid and periocular area","ICD10CM"
45542944,"H02.739","Vitiligo of unspecified eye, unspecified eyelid and periocular area","ICD10CM"
35208655,"L80","Vitiligo","ICD10CM"
40320264,"156437000","Vitiligo","SNOMED"
4081081,"238713002","Occupational vitiligo","SNOMED"
3656848,"330881000119101","Vitiligo of skin of right upper eyelid and periocular area","SNOMED"
3656849,"330901000119104","Vitiligo of skin of right eyelid and periocular area","SNOMED"
3656850,"330911000119101","Vitiligo of skin of left upper eyelid and periocular area","SNOMED"
3656851,"330931000119106","Vitiligo of skin of left eyelid and periocular area","SNOMED"
4297816,"402621008","Idiopathic vitiligo","SNOMED"
4293575,"403267005","Localized vitiligo","SNOMED"
4299692,"403268000","Segmental vitiligo","SNOMED"
4296217,"403269008","Generalized vitiligo","SNOMED"
4293576,"403270009","Trichrome vitiligo","SNOMED"
4300898,"403271008","Vitiligo due to Köbnerization","SNOMED"
4208688,"56347002","Vitiligo of pinta","SNOMED"
138502,"56727007","Vitiligo","SNOMED"
4283947,"67841000","Vitiligo iridis","SNOMED"
36715781,"721539008","Vitiligo of eyelid and periocular area","SNOMED"
37116377,"733069009","Deafness, vitiligo, achalasia syndrome","SNOMED"
4227153,"87666009","Vitiligo of eyelid","SNOMED"
