"concept_id","concept_name","concept_code","vocabulary_id"
44834634,"Epilepsy and recurrent seizures","345","ICD9CM"
44834634,"Epilepsy and recurrent seizures","345","ICD9CM"
44834634,"Epilepsy and recurrent seizures","345","ICD9CM"
44829971,"Generalized nonconvulsive epilepsy, with intractable epilepsy","345.01","ICD9CM"
44820766,"Generalized convulsive epilepsy","345.1","ICD9CM"
44820766,"Generalized convulsive epilepsy","345.1","ICD9CM"
44825337,"Generalized convulsive epilepsy, with intractable epilepsy","345.11","ICD9CM"
44819586,"Petit mal status","345.2","ICD9CM"
44826554,"Grand mal status","345.3","ICD9CM"
44826555,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures","345.4","ICD9CM"
44826555,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures","345.4","ICD9CM"
44837012,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy","345.41","ICD9CM"
44826556,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures","345.5","ICD9CM"
44826556,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures","345.5","ICD9CM"
44825339,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy","345.51","ICD9CM"
44827697,"Infantile spasms","345.6","ICD9CM"
44827697,"Infantile spasms","345.6","ICD9CM"
44831129,"Infantile spasms, with intractable epilepsy","345.61","ICD9CM"
44835839,"Epilepsia partialis continua","345.7","ICD9CM"
44835839,"Epilepsia partialis continua","345.7","ICD9CM"
44819587,"Epilepsia partialis continua, with intractable epilepsy","345.71","ICD9CM"
44823026,"Other forms of epilepsy and recurrent seizures","345.8","ICD9CM"
44823026,"Other forms of epilepsy and recurrent seizures","345.8","ICD9CM"
44820767,"Other forms of epilepsy and recurrent seizures, with intractable epilepsy","345.81","ICD9CM"
44829972,"Epilepsy, unspecified","345.9","ICD9CM"
44829972,"Epilepsy, unspecified","345.9","ICD9CM"
44828877,"Epilepsy, unspecified, with intractable epilepsy","345.91","ICD9CM"
44826967,"Other and ill-defined conditions originating in the perinatal period","779","ICD9CM"
44823442,"Convulsions","780.3","ICD9CM"
44828144,"Complex febrile convulsions","780.32","ICD9CM"
44820054,"Post traumatic seizures","780.33","ICD9CM"
44830440,"Other convulsions","780.39","ICD9CM"
45576481,"MERRF syndrome","E88.42","ICD10CM"
45595935,"Epilepsy","G40","ICD10"
1568300,"Epilepsy and recurrent seizures","G40","ICD10CM"
1411578,"Epilepsy","G40","ICD10CN"
45591170,"Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset","G40.0","ICD10"
1568301,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset","G40.0","ICD10CM"
1411579,"Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset","G40.0","ICD10CN"
1568302,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable","G40.00","ICD10CM"
45576572,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus","G40.001","ICD10CM"
1411581,"Benign childhood epilepsy with centro-temporal spikes (machine translation)","G40.001","ICD10CN"
45605537,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus","G40.009","ICD10CM"
1568303,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable","G40.01","ICD10CM"
45605538,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus","G40.011","ICD10CM"
45605539,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus","G40.019","ICD10CM"
45552523,"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures","G40.1","ICD10"
1568304,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures","G40.1","ICD10CM"
1411586,"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures","G40.1","ICD10CN"
1568305,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable","G40.10","ICD10CM"
45538105,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus","G40.101","ICD10CM"
1411588,"Familial focal epilepsy (machine translation)","G40.101","ICD10CN"
45591171,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus","G40.109","ICD10CM"
1568306,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable","G40.11","ICD10CM"
45586283,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus","G40.111","ICD10CM"
45557228,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus","G40.119","ICD10CM"
45591172,"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures","G40.2","ICD10"
1568307,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures","G40.2","ICD10CM"
1411591,"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures","G40.2","ICD10CN"
1568308,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable","G40.20","ICD10CM"
45533135,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus","G40.201","ICD10CM"
1411593,"Limbic lobe epilepsy (machine translation)","G40.201","ICD10CN"
45576573,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus","G40.209","ICD10CM"
1568309,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable","G40.21","ICD10CM"
45576574,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus","G40.211","ICD10CM"
45595936,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus","G40.219","ICD10CM"
45600777,"Generalized idiopathic epilepsy and epileptic syndromes","G40.3","ICD10"
1568310,"Generalized idiopathic epilepsy and epileptic syndromes","G40.3","ICD10CM"
1411597,"Generalized idiopathic epilepsy and epileptic syndromes","G40.3","ICD10CN"
1568311,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable","G40.30","ICD10CM"
45557229,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus","G40.301","ICD10CM"
1411599,"Juvenile myoclonic epilepsy (machine translation)","G40.301","ICD10CN"
45571798,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus","G40.309","ICD10CM"
1411607,"Benign neonatal convulsions (machine translation)","G40.309","ICD10CN"
1568312,"Generalized idiopathic epilepsy and epileptic syndromes, intractable","G40.31","ICD10CM"
45581487,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus","G40.311","ICD10CM"
1411609,"Benign familial infantile convulsions (machine translation)","G40.311","ICD10CN"
45557230,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus","G40.319","ICD10CM"
45557231,"Other generalized epilepsy and epileptic syndromes","G40.4","ICD10"
1568319,"Other generalized epilepsy and epileptic syndromes","G40.4","ICD10CM"
1411610,"Other generalized epilepsy and epileptic syndromes","G40.4","ICD10CN"
1568320,"Other generalized epilepsy and epileptic syndromes, not intractable","G40.40","ICD10CM"
45600778,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus","G40.401","ICD10CM"
1411612,"Childhood diffuse slow spike - slow wave (petit mal variant) epileptic encephalopathy (machine translation)","G40.401","ICD10CN"
45542881,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus","G40.409","ICD10CM"
1568321,"Other generalized epilepsy and epileptic syndromes, intractable","G40.41","ICD10CM"
45591173,"Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus","G40.411","ICD10CM"
45595937,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus","G40.419","ICD10CM"
45562082,"Special epileptic syndromes","G40.5","ICD10"
1568322,"Epileptic seizures related to external causes","G40.5","ICD10CM"
1411617,"Special epileptic syndromes","G40.5","ICD10CN"
1568323,"Epileptic seizures related to external causes, not intractable","G40.50","ICD10CM"
45542882,"Epileptic seizures related to external causes, not intractable, with status epilepticus","G40.501","ICD10CM"
1411619,"Otawara syndrome (machine translation)","G40.501","ICD10CN"
45605540,"Epileptic seizures related to external causes, not intractable, without status epilepticus","G40.509","ICD10CM"
45586285,"Other epilepsy","G40.8","ICD10"
1568324,"Other epilepsy and recurrent seizures","G40.8","ICD10CM"
1411629,"Other epilepsy","G40.8","ICD10CN"
1568325,"Other epilepsy","G40.80","ICD10CM"
45586286,"Other epilepsy, not intractable, with status epilepticus","G40.801","ICD10CM"
1411631,"Reflex epilepsy (machine translation)","G40.801","ICD10CN"
45600779,"Other epilepsy, not intractable, without status epilepticus","G40.802","ICD10CM"
1411632,"Visual Epilepsy (machine translation)","G40.802","ICD10CN"
45566870,"Other epilepsy, intractable, with status epilepticus","G40.803","ICD10CM"
1411633,"Primary reading epilepsy (machine translation)","G40.803","ICD10CN"
45542884,"Other epilepsy, intractable, without status epilepticus","G40.804","ICD10CM"
1411634,"Baby migratory partial seizures (machine translation)","G40.804","ICD10CN"
45557232,"Lennox-Gastaut syndrome","G40.81","ICD10CM"
45591175,"Lennox-Gastaut syndrome, not intractable, with status epilepticus","G40.811","ICD10CM"
45557233,"Lennox-Gastaut syndrome, not intractable, without status epilepticus","G40.812","ICD10CM"
45566871,"Lennox-Gastaut syndrome, intractable, with status epilepticus","G40.813","ICD10CM"
45571799,"Lennox-Gastaut syndrome, intractable, without status epilepticus","G40.814","ICD10CM"
1568326,"Epileptic spasms","G40.82","ICD10CM"
45595938,"Epileptic spasms, not intractable, with status epilepticus","G40.821","ICD10CM"
45552524,"Epileptic spasms, not intractable, without status epilepticus","G40.822","ICD10CM"
45581489,"Epileptic spasms, intractable, with status epilepticus","G40.823","ICD10CM"
45600781,"Epileptic spasms, intractable, without status epilepticus","G40.824","ICD10CM"
45600782,"Other seizures","G40.89","ICD10CM"
45562083,"Epilepsy, unspecified","G40.9","ICD10"
1568327,"Epilepsy, unspecified","G40.9","ICD10CM"
1411635,"Epilepsy, unspecified","G40.9","ICD10CN"
1568328,"Epilepsy, unspecified, not intractable","G40.90","ICD10CM"
45538107,"Epilepsy, unspecified, not intractable, with status epilepticus","G40.901","ICD10CM"
45571800,"Epilepsy, unspecified, not intractable, without status epilepticus","G40.909","ICD10CM"
1568329,"Epilepsy, unspecified, intractable","G40.91","ICD10CM"
45542885,"Epilepsy, unspecified, intractable, with status epilepticus","G40.911","ICD10CM"
45600783,"Epilepsy, unspecified, intractable, without status epilepticus","G40.919","ICD10CM"
1568313,"Absence epileptic syndrome","G40.A","ICD10CM"
1568314,"Absence epileptic syndrome, not intractable","G40.A0","ICD10CM"
45547731,"Absence epileptic syndrome, not intractable, with status epilepticus","G40.A01","ICD10CM"
45557234,"Absence epileptic syndrome, not intractable, without status epilepticus","G40.A09","ICD10CM"
1568315,"Absence epileptic syndrome, intractable","G40.A1","ICD10CM"
45605541,"Absence epileptic syndrome, intractable, with status epilepticus","G40.A11","ICD10CM"
45571801,"Absence epileptic syndrome, intractable, without status epilepticus","G40.A19","ICD10CM"
1568316,"Juvenile myoclonic epilepsy [impulsive petit mal]","G40.B","ICD10CM"
1568317,"Juvenile myoclonic epilepsy, not intractable","G40.B0","ICD10CM"
45566872,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus","G40.B01","ICD10CM"
45586287,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus","G40.B09","ICD10CM"
1568318,"Juvenile myoclonic epilepsy, intractable","G40.B1","ICD10CM"
45581490,"Juvenile myoclonic epilepsy, intractable, with status epilepticus","G40.B11","ICD10CM"
45605542,"Juvenile myoclonic epilepsy, intractable, without status epilepticus","G40.B19","ICD10CM"
45539253,"Convulsions of newborn","P90","ICD10"
35210660,"Convulsions of newborn","P90","ICD10CM"
1425116,"Convulsions of newborn","P90","ICD10CN"
45592425,"Convulsions, not elsewhere classified","R56","ICD10"
1572257,"Convulsions, not elsewhere classified","R56","ICD10CM"
1427717,"Convulsions, not elsewhere classified","R56","ICD10CN"
45568142,"Complex febrile convulsions","R56.01","ICD10CM"
45577800,"Post traumatic seizures","R56.1","ICD10CM"
45558476,"Unspecified convulsions","R56.9","ICD10CM"
374023,"Epilepsia partialis continua","241006","SNOMED"
4317514,"Visceral epilepsy","2198002","SNOMED"
4132128,"Coordinate convulsion","2665008","SNOMED"
4165417,"Complex partial seizure with impairment of consciousness","4103001","SNOMED"
4263736,"Generalized-onset seizures","4619009","SNOMED"
4267274,"Juvenile myoclonic epilepsy","6204001","SNOMED"
4265182,"Clonic seizure","6208003","SNOMED"
381842,"Petit mal status","7033004","SNOMED"
4251921,"Simple partial seizure with autonomic dysfunction","7454002","SNOMED"
4297994,"Reading seizure","7689009","SNOMED"
4029783,"Partial seizure with impaired consciousness","13847000","SNOMED"
373748,"Grand mal status","13973009","SNOMED"
4032157,"Visual seizure","14521008","SNOMED"
4048424,"Benign focal epilepsy of childhood","15523002","SNOMED"
4056835,"Musicogenic seizure","16873003","SNOMED"
4000171,"Stress seizure","19334007","SNOMED"
4023976,"Movement partial seizure","19593003","SNOMED"
4055361,"Generalized epilepsy","19598007","SNOMED"
4070660,"Secondarily generalized seizures","20544001","SNOMED"
4050738,"Atypical absence seizure","23374007","SNOMED"
376105,"West syndrome","28055006","SNOMED"
4106574,"Partial seizure","29753000","SNOMED"
4107690,"Dysmnesic seizure","29963001","SNOMED"
4144967,"Simple partial seizure with disturbance of higher cerebral function (finding)","33941008","SNOMED"
4146378,"Somatosensory seizure","34601006","SNOMED"
4274575,"Idiopathic generalized epilepsy","36803009","SNOMED"
4290772,"Myoclonic seizure","37356005","SNOMED"
4244383,"Benign neonatal convulsions","38281008","SNOMED"
