concept_id,concept_name,concept_code,vocabulary_id
41271186,prednisolone 8 MG/ML Injectable Suspension Box of 6,OMOP2469148,RxNorm Extension
40959849,Methylprednisolone 32 MG Oral Tablet Box of 20,OMOP2157811,RxNorm Extension
41332398,1 ML prednisolone 10 MG/ML Injectable Solution [Deltacortril],OMOP2530360,RxNorm Extension
40853714,Methylprednisolone 16 MG Oral Tablet [Urbason] Box of 30 by Sanofi,OMOP2051676,RxNorm Extension
41216061,prednisolone 25 MG/ML Injectable Suspension [Ultracorten],OMOP2414023,RxNorm Extension
41332395,1 ML prednisolone 25 MG/ML Injectable Solution [Decaprednil] Box of 1,OMOP2530357,RxNorm Extension
21148659,prednisolone 5 MG Oral Tablet by Boston,OMOP390251,RxNorm Extension
41216074,prednisolone 50 MG Oral Tablet [PREDNISOLONE RATIOPHARM] Box of 10,OMOP2414036,RxNorm Extension
35778171,1 ML Methylprednisolone 40 MG/ML Injectable Solution [Depo-Medrone] Box of 10 by Pfizer,OMOP2779632,RxNorm Extension
41338229,2 ML prednisolone 13.1 MG/ML Injectable Solution [Ultracorten] Box of 3 by Novartis,OMOP2536191,RxNorm Extension
21040705,prednisolone 5 MG Oral Tablet by Phoenix Labs,OMOP390241,RxNorm Extension
40897488,Methylprednisolone 16 MG Oral Tablet Box of 240,OMOP2095450,RxNorm Extension
44190278,2 ML prednisolone 50 MG/ML Injectable Suspension [Prednisolut] Box of 1 by Jenapharm,OMOP3067001,RxNorm Extension
40872526,prednisolone 10 MG/ML Injectable Suspension [Scherisolon] Box of 20,OMOP2070488,RxNorm Extension
41052522,Prednisone 5 MG Oral Tablet Box of 6000,OMOP2250484,RxNorm Extension
43716697,2 ML prednisolone 50 MG/ML Injectable Solution Box of 4,OMOP751354,RxNorm Extension
41331752,1 ML Methylprednisolone 40 MG/ML Injectable Suspension [Depo Medrate],OMOP2529714,RxNorm Extension
41454918,2.02 ML prednisolone 5 MG/ML Injectable Solution Box of 1,OMOP2652880,RxNorm Extension
1113120,Aspirin 300 MG / Methylprednisolone 1.5 MG Oral Tablet,245993,RxNorm
42715522,prednisolone 6.39 MG/ML Injectable Solution [Prednisolut] Box of 3,OMOP2738982,RxNorm Extension
41184738,Prednisone 20 MG Oral Tablet [Predni Inen] Box of 50,OMOP2382700,RxNorm Extension
41453656,2.02 ML prednisolone 13.1 MG/ML Injectable Solution [Prednisolut] Box of 1 by Mibe,OMOP2651618,RxNorm Extension
21030830,prednisolone 2.5 MG Delayed Release Oral Tablet Box of 30 by Phoenix Labs,OMOP392399,RxNorm Extension
41247097,prednisolone 25 MG/ML Injectable Suspension [Prednisolut],OMOP2445059,RxNorm Extension
41280000,Methylprednisolone 133 MG/ML Injectable Solution [Urbason] Box of 100,OMOP2477962,RxNorm Extension
