concept_id,concept_name,concept_code,vocabulary_id
43263819,abatacept 125 MG/ML Injection,OMOP556447,RxNorm Extension
19123382,abatacept 250 MG Injection,616015,RxNorm
40241935,abatacept Prefilled Syringe,1145928,RxNorm
41335716,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 3,OMOP2533678,RxNorm Extension
21067814,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia ClickJect],OMOP299167,RxNorm Extension
44190093,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 4 by Emra-Med,OMOP3066816,RxNorm Extension
46275747,abatacept Injection [Orencia],1659775,RxNorm
44189396,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 4 by Eurim-Pharm,OMOP3066119,RxNorm Extension
40869874,abatacept 125 MG/ML Prefilled Syringe Box of 12,OMOP2067836,RxNorm Extension
21164065,abatacept 250 MG Injection [Orencia] Box of 1,OMOP262050,RxNorm Extension
44189792,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 12 by European,OMOP3066515,RxNorm Extension
43280524,1 ML abatacept 125 MG/ML Injection Box of 4,OMOP560814,RxNorm Extension
21028520,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4 by Bristol Myers Squibb,OMOP299174,RxNorm Extension
40994589,abatacept 125 MG/ML Auto-Injector Box of 4,OMOP2192551,RxNorm Extension
19123384,abatacept 250 MG Injection [Orencia],616018,RxNorm
41332800,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 12 by Kohlpharma,OMOP2530762,RxNorm Extension
41336015,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 12,OMOP2533977,RxNorm Extension
21028519,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] by Bristol Myers Squibb,OMOP299171,RxNorm Extension
43269295,abatacept 125 MG/ML Injection [Orencia] Box of 4,OMOP556450,RxNorm Extension
41331436,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 12 by Cc,OMOP2529398,RxNorm Extension
36249219,1 ML abatacept 125 MG/ML Auto-Injector [Orencia],1799230,RxNorm
36249235,abatacept 125 MG/ML Auto-Injector,1799231,RxNorm
21056000,abatacept 250 MG Injection Box of 1,OMOP262047,RxNorm Extension
46275745,abatacept Injection,1659772,RxNorm
36249217,1 ML abatacept 125 MG/ML Auto-Injector,1799228,RxNorm
41329478,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 12 by European,OMOP2527440,RxNorm Extension
41037882,abatacept 125 MG/ML Auto-Injector [Orencia] Box of 12,OMOP2235844,RxNorm Extension
21038326,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia ClickJect] by Bristol Myers Squibb,OMOP299168,RxNorm Extension
44189687,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 4 by Orifarm Leverkus,OMOP3066410,RxNorm Extension
43269294,abatacept 125 MG/ML Injection [Orencia],OMOP556449,RxNorm Extension
1186087,abatacept,614391,RxNorm
36249216,abatacept Auto-Injector,1799227,RxNorm
21134443,abatacept 125 MG/ML Prefilled Syringe [Orencia ClickJect] Box of 4,OMOP262045,RxNorm Extension
36883142,abatacept 250 MG Prefilled Syringe [Orencia] Box of 1,OMOP990588,RxNorm Extension
21134444,abatacept 250 MG Injection [Orencia] Box of 1 by Bristol Myers Squibb,OMOP262051,RxNorm Extension
41332633,1 ML abatacept 125 MG/ML Auto-Injector [Orencia] Box of 4,OMOP2530595,RxNorm Extension
43275211,1 ML abatacept 125 MG/ML Injection [Orencia],OMOP560815,RxNorm Extension
44189878,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 4 by Kohlpharma,OMOP3066601,RxNorm Extension
36249218,abatacept Auto-Injector [Orencia],1799229,RxNorm
44189877,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 12 by Kohlpharma,OMOP3066600,RxNorm Extension
43163368,abatacept 250 MG Prefilled Syringe [Orencia] Box of 1 by Bristol Myers Squibb,OMOP504358,RxNorm Extension
41335527,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4 by Cc,OMOP2533489,RxNorm Extension
21107043,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia ClickJect] Box of 4,OMOP299169,RxNorm Extension
42902367,abatacept 125 MG/ML Prefilled Syringe [Orencia],1359480,RxNorm
41332982,1 ML abatacept 125 MG/ML Auto-Injector Box of 4,OMOP2530944,RxNorm Extension
41056867,abatacept 125 MG/ML Prefilled Syringe Box of 3,OMOP2254829,RxNorm Extension
21105119,abatacept 125 MG/ML Prefilled Syringe Box of 4,OMOP262043,RxNorm Extension
41330601,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 3,OMOP2528563,RxNorm Extension
40900970,abatacept 125 MG/ML Auto-Injector Box of 12,OMOP2098932,RxNorm Extension
1592299,0.4 ML abatacept 125 MG/ML Prefilled Syringe,1925254,RxNorm
44189793,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 12 by Cc,OMOP3066516,RxNorm Extension
41287560,abatacept 125 MG/ML Auto-Injector [Orencia] Box of 4,OMOP2485522,RxNorm Extension
41037883,abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 12,OMOP2235845,RxNorm Extension
41332108,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4 by Emra-Med,OMOP2530070,RxNorm Extension
21048140,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4,OMOP299172,RxNorm Extension
1592300,0.4 ML abatacept 125 MG/ML Prefilled Syringe [Orencia],1925255,RxNorm
21097182,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia ClickJect] Box of 4 by Bristol Myers Squibb,OMOP299170,RxNorm Extension
36882204,abatacept 250 MG Prefilled Syringe [Orencia],OMOP995740,RxNorm Extension
44189794,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 4 by Cc,OMOP3066517,RxNorm Extension
21164063,abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4,OMOP262046,RxNorm Extension
44189686,1 ML abatacept 125 MG/ML Auto-Injector Box of 4 by Kohlpharma,OMOP3066409,RxNorm Extension
40241523,1 ML abatacept 125 MG/ML Prefilled Syringe,1145929,RxNorm
41329287,1 ML abatacept 125 MG/ML Auto-Injector [Orencia] Box of 12,OMOP2527249,RxNorm Extension
21164064,abatacept 250 MG Injection [Orencia] by Bristol Myers Squibb,OMOP262049,RxNorm Extension
41335715,1 ML abatacept 125 MG/ML Auto-Injector Box of 12,OMOP2533677,RxNorm Extension
1592301,0.7 ML abatacept 125 MG/ML Prefilled Syringe,1925256,RxNorm
41336846,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4 by Orifarm Leverkus,OMOP2534808,RxNorm Extension
40241524,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia],1145932,RxNorm
43264187,1 ML abatacept 125 MG/ML Injection,OMOP560813,RxNorm Extension
36888703,abatacept 250 MG Prefilled Syringe Box of 1,OMOP1002421,RxNorm Extension
43274845,abatacept 125 MG/ML Injection Box of 4,OMOP556448,RxNorm Extension
42903401,abatacept 125 MG/ML Prefilled Syringe,1360514,RxNorm
21085460,abatacept 125 MG/ML Prefilled Syringe [Orencia ClickJect],OMOP262044,RxNorm Extension
36249236,abatacept 125 MG/ML Auto-Injector [Orencia],1799232,RxNorm
41329671,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 12,OMOP2527633,RxNorm Extension
41328803,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4 by Eurim-Pharm,OMOP2526765,RxNorm Extension
1592302,0.7 ML abatacept 125 MG/ML Prefilled Syringe [Orencia],1925257,RxNorm
41329479,1 ML abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 4 by Kohlpharma,OMOP2527441,RxNorm Extension
21175753,1 ML abatacept 125 MG/ML Prefilled Syringe Box of 4,OMOP299166,RxNorm Extension
40241936,abatacept Prefilled Syringe [Orencia],1145931,RxNorm
43280525,1 ML abatacept 125 MG/ML Injection [Orencia] Box of 4,OMOP560816,RxNorm Extension
41037884,abatacept 125 MG/ML Prefilled Syringe [Orencia] Box of 3,OMOP2235846,RxNorm Extension
36892668,abatacept 250 MG Prefilled Syringe,OMOP993128,RxNorm Extension
21114924,abatacept Prefilled Syringe [Orencia ClickJect],OMOP262040,RxNorm Extension
