"concept_id","concept_code","concept_name","vocabulary_id"
1594144,"1921009","0.1 ML adalimumab 100 MG/ML Prefilled Syringe","RxNorm"
1594145,"1921010","0.1 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","RxNorm"
40719656,"OMOP4737507","0.2 ML adalimumab 100 MG/ML Injectable Solution","RxNorm Extension"
40719655,"OMOP4737508","0.2 ML adalimumab 100 MG/ML Injectable Solution Box of 2","RxNorm Extension"
40719654,"OMOP4737509","0.2 ML adalimumab 100 MG/ML Injectable Solution [Humira]","RxNorm Extension"
40719652,"OMOP4737511","0.2 ML adalimumab 100 MG/ML Injectable Solution [Humira] Box of 2","RxNorm Extension"
40719651,"OMOP4737512","0.2 ML adalimumab 100 MG/ML Injectable Solution [Humira] Box of 2 by Abbvie","RxNorm Extension"
40719653,"OMOP4737510","0.2 ML adalimumab 100 MG/ML Injectable Solution [Humira] by Abbvie","RxNorm Extension"
2901730,"OMOP5118613","0.2 ML adalimumab 100 MG/ML Injection","RxNorm Extension"
2901729,"OMOP5118612","0.2 ML adalimumab 100 MG/ML Injection Box of 2","RxNorm Extension"
2901728,"OMOP5118611","0.2 ML adalimumab 100 MG/ML Injection [Humira]","RxNorm Extension"
2901727,"OMOP5118610","0.2 ML adalimumab 100 MG/ML Injection [Humira] Box of 2","RxNorm Extension"
1594146,"1921016","0.2 ML adalimumab 100 MG/ML Prefilled Syringe","RxNorm"
36419176,"OMOP4761474","0.2 ML adalimumab 100 MG/ML Prefilled Syringe Box of 2","RxNorm Extension"
1594147,"1921017","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","RxNorm"
36419175,"OMOP4761473","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2","RxNorm Extension"
36037013,"OMOP5047012","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by 2care4","RxNorm Extension"
36037014,"OMOP5047013","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by Eurim-Pharm","RxNorm Extension"
2034354,"OMOP4933463","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Abbvie","RxNorm Extension"
36505443,"OMOP4836446","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Kohlpharma","RxNorm Extension"
36507282,"OMOP4835214","0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Orifarm Leverkus","RxNorm Extension"
45774623,"1551887","0.2 ML adalimumab 50 MG/ML Prefilled Syringe","RxNorm"
45774624,"1551888","0.2 ML adalimumab 50 MG/ML Prefilled Syringe [Humira]","RxNorm"
1592709,"1872979","0.4 ML adalimumab 100 MG/ML Auto-Injector","RxNorm"
44196910,"OMOP3073633","0.4 ML adalimumab 100 MG/ML Auto-Injector Box of 2","RxNorm Extension"
44196901,"OMOP3073624","0.4 ML adalimumab 100 MG/ML Auto-Injector Box of 4","RxNorm Extension"
44196979,"OMOP3073702","0.4 ML adalimumab 100 MG/ML Auto-Injector Box of 6","RxNorm Extension"
1592710,"1872980","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira]","RxNorm"
44196891,"OMOP3073614","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2","RxNorm Extension"
44196899,"OMOP3073622","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by Abacus Medicine","RxNorm Extension"
44196929,"OMOP3073652","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by Abbvie","RxNorm Extension"
44196900,"OMOP3073623","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by Cc","RxNorm Extension"
36037055,"OMOP5047053","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by Kohlpharma","RxNorm Extension"
44197006,"OMOP3073729","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by Orifarm Leverkus","RxNorm Extension"
1972620,"OMOP5165187","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by Originalis","RxNorm Extension"
1972621,"OMOP5165188","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 2 by PB","RxNorm Extension"
44196982,"OMOP3073705","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 4","RxNorm Extension"
44196953,"OMOP3073676","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 4 by Abacus Medicine","RxNorm Extension"
44196902,"OMOP3073625","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6","RxNorm Extension"
44196927,"OMOP3073650","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by Abbvie","RxNorm Extension"
36037057,"OMOP5047055","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by Bb Farma","RxNorm Extension"
44196952,"OMOP3073675","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by Cc","RxNorm Extension"
36037058,"OMOP5047056","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by Docpharm","RxNorm Extension"
44196897,"OMOP3073620","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by Eurim-Pharm","RxNorm Extension"
44196950,"OMOP3073673","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by European","RxNorm Extension"
36037056,"OMOP5047054","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by Originalis","RxNorm Extension"
1972622,"OMOP5165189","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] Box of 6 by PB","RxNorm Extension"
37593685,"OMOP4783119","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Aaha","RxNorm Extension"
37593686,"OMOP4783120","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Canoma","RxNorm Extension"
37593687,"OMOP4783121","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Emra-Med","RxNorm Extension"
36505564,"OMOP4836372","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Eurim-Pharm","RxNorm Extension"
37593688,"OMOP4783122","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Medicopharm","RxNorm Extension"
36503747,"OMOP4836286","0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira] by Orifarm Leverkus","RxNorm Extension"
43611946,"OMOP716775","0.4 ML adalimumab 100 MG/ML Injectable Solution","RxNorm Extension"
43755911,"OMOP716697","0.4 ML adalimumab 100 MG/ML Injectable Solution Box of 2","RxNorm Extension"
43648131,"OMOP716698","0.4 ML adalimumab 100 MG/ML Injectable Solution Box of 4","RxNorm Extension"
43791740,"OMOP716699","0.4 ML adalimumab 100 MG/ML Injectable Solution Box of 6","RxNorm Extension"
35414513,"OMOP1148098","0.4 ML adalimumab 100 MG/ML Injectable Solution [Humira] Box of 2 by ABBVIE (ROYAUME-UNI)","RxNorm Extension"
1832005,"OMOP5157251","0.4 ML adalimumab 100 MG/ML Injectable Solution [Yuflyma]","RxNorm Extension"
1832006,"OMOP5157252","0.4 ML adalimumab 100 MG/ML Injectable Solution [Yuflyma] Box of 2","RxNorm Extension"
1832007,"OMOP5157253","0.4 ML adalimumab 100 MG/ML Injectable Solution [Yuflyma] Box of 2 by Celltrion","RxNorm Extension"
1832008,"OMOP5157254","0.4 ML adalimumab 100 MG/ML Injectable Solution [Yuflyma] Box of 6","RxNorm Extension"
1832009,"OMOP5157255","0.4 ML adalimumab 100 MG/ML Injectable Solution [Yuflyma] Box of 6 by Celltrion","RxNorm Extension"
590421,"OMOP3136003","0.4 ML adalimumab 100 MG/ML Injection","RxNorm Extension"
587859,"OMOP3136775","0.4 ML adalimumab 100 MG/ML Injection Box of 2","RxNorm Extension"
587186,"OMOP3135392","0.4 ML adalimumab 100 MG/ML Injection Box of 4","RxNorm Extension"
590318,"OMOP3137743","0.4 ML adalimumab 100 MG/ML Injection Box of 6","RxNorm Extension"
43846025,"OMOP716777","0.4 ML adalimumab 100 MG/ML Injection [Humira]","RxNorm Extension"
43684120,"OMOP716700","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 2","RxNorm Extension"
43846019,"OMOP716701","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 2 by Abbvie","RxNorm Extension"
41407080,"OMOP2605042","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 2 by Cc","RxNorm Extension"
43611941,"OMOP716703","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 4","RxNorm Extension"
43684121,"OMOP716704","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 4 by Abbvie","RxNorm Extension"
43719854,"OMOP716705","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 6","RxNorm Extension"
43684122,"OMOP716706","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 6 by Abbvie","RxNorm Extension"
41406483,"OMOP2604445","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 6 by Canoma","RxNorm Extension"
41406409,"OMOP2604371","0.4 ML adalimumab 100 MG/ML Injection [Humira] Box of 6 by Cc","RxNorm Extension"
43630065,"OMOP716778","0.4 ML adalimumab 100 MG/ML Injection [Humira] by Abbvie","RxNorm Extension"
1594205,"1921465","0.4 ML adalimumab 100 MG/ML Pen Injector","RxNorm"
2901938,"OMOP5118815","0.4 ML adalimumab 100 MG/ML Pen Injector","RxNorm Extension"
2901937,"OMOP5118814","0.4 ML adalimumab 100 MG/ML Pen Injector Box of 2","RxNorm Extension"
2901936,"OMOP5118813","0.4 ML adalimumab 100 MG/ML Pen Injector Box of 4","RxNorm Extension"
2901935,"OMOP5118812","0.4 ML adalimumab 100 MG/ML Pen Injector Box of 6","RxNorm Extension"
1594206,"1921466","0.4 ML adalimumab 100 MG/ML Pen Injector [Humira]","RxNorm"
2901934,"OMOP5118811","0.4 ML adalimumab 100 MG/ML Pen Injector [Humira]","RxNorm Extension"
2901933,"OMOP5118810","0.4 ML adalimumab 100 MG/ML Pen Injector [Humira] Box of 2","RxNorm Extension"
2901932,"OMOP5118809","0.4 ML adalimumab 100 MG/ML Pen Injector [Humira] Box of 4","RxNorm Extension"
2901931,"OMOP5118808","0.4 ML adalimumab 100 MG/ML Pen Injector [Humira] Box of 6","RxNorm Extension"
35604490,"1726844","0.4 ML adalimumab 100 MG/ML Prefilled Syringe","RxNorm"
35414536,"OMOP1148121","0.4 ML adalimumab 100 MG/ML Prefilled Syringe Box of 2","RxNorm Extension"
44196995,"OMOP3073718","0.4 ML adalimumab 100 MG/ML Prefilled Syringe Box of 4","RxNorm Extension"
41406425,"OMOP2604387","0.4 ML adalimumab 100 MG/ML Prefilled Syringe Box of 6","RxNorm Extension"
35604492,"1726846","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira]","RxNorm"
35414553,"OMOP1148138","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2","RxNorm Extension"
42876369,"OMOP4873480","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by 2care4","RxNorm Extension"
44196928,"OMOP3073651","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by Abacus Medicine","RxNorm Extension"
41406786,"OMOP2604748","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by Abbvie","RxNorm Extension"
35414547,"OMOP1148132","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by ABBVIE (ROYAUME-UNI)","RxNorm Extension"
44197008,"OMOP3073731","0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] Box of 2 by Canoma","RxNorm Extension"
