concept_id,concept_name,concept_code,vocabulary_id,drug_group
36221767,aliskiren / Amlodipine / Hydrochlorothiazide Pill,1164880,RxNorm,aliskiren
40232343,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050814,RxNorm,aliskiren
40226406,aliskiren 300 MG Oral Tablet,1011739,RxNorm,aliskiren
40232329,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet [Amturnide],1050801,RxNorm,aliskiren
40226397,aliskiren 300 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1011750,RxNorm,aliskiren
36230669,Tekamlo Pill,1180865,RxNorm,aliskiren
40226400,aliskiren 300 MG / Hydrochlorothiazide 25 MG Oral Tablet,1011753,RxNorm,aliskiren
36222009,aliskiren Oral Product,1164887,RxNorm,aliskiren
40232330,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050798,RxNorm,aliskiren
36222008,aliskiren / valsartan Pill,1164886,RxNorm,aliskiren
40232344,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG [Amturnide],1050813,RxNorm,aliskiren
36235220,Amturnide Oral Product,1174206,RxNorm,aliskiren
40232339,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050809,RxNorm,aliskiren
40226372,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet,1009247,RxNorm,aliskiren
40226399,aliskiren 300 MG / Hydrochlorothiazide 12.5 MG [Tekturna HCT],1011751,RxNorm,aliskiren
40232337,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],1050808,RxNorm,aliskiren
40226390,aliskiren 300 MG,1009314,RxNorm,aliskiren
40232336,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050806,RxNorm,aliskiren
40166557,aliskiren / valsartan Oral Tablet,864774,RxNorm,aliskiren
40232333,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,1050803,RxNorm,aliskiren
40166558,aliskiren / valsartan Oral Tablet [Valturna],864778,RxNorm,aliskiren
40138826,aliskiren Oral Tablet [Tekturna],700404,RxNorm,aliskiren
40226389,aliskiren 150 MG [Tekturna],1011737,RxNorm,aliskiren
36222010,aliskiren Pill,1164888,RxNorm,aliskiren
40226408,aliskiren 300 MG [Tekturna],1011740,RxNorm,aliskiren
40226401,aliskiren 300 MG / Hydrochlorothiazide 25 MG Oral Tablet [Tekturna HCT],1011755,RxNorm,aliskiren
36222006,aliskiren / Hydrochlorothiazide Pill,1164884,RxNorm,aliskiren
40232338,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG [Amturnide],1050807,RxNorm,aliskiren
40232328,aliskiren / Amlodipine / Hydrochlorothiazide Oral Tablet,1050796,RxNorm,aliskiren
40226366,aliskiren / Amlodipine Oral Tablet,1009218,RxNorm,aliskiren
40147529,aliskiren / Hydrochlorothiazide Oral Tablet [Tekturna HCT],758550,RxNorm,aliskiren
36221769,aliskiren / Amlodipine Pill,1164882,RxNorm,aliskiren
36247927,Tekturna HCT Oral Product,1430140,RxNorm,aliskiren
40226375,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet,1009220,RxNorm,aliskiren
40226374,aliskiren 150 MG / Amlodipine 10 MG [Tekamlo],1009248,RxNorm,aliskiren
36239296,Valturna Oral Product,1187346,RxNorm,aliskiren
36247928,Tekturna HCT Pill,1430141,RxNorm,aliskiren
36222007,aliskiren / valsartan Oral Product,1164885,RxNorm,aliskiren
40232335,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG [Amturnide],1050804,RxNorm,aliskiren
40232341,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG [Amturnide],1050810,RxNorm,aliskiren
40226393,aliskiren 300 MG / Amlodipine 10 MG [Tekamlo],1009317,RxNorm,aliskiren
40232342,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050812,RxNorm,aliskiren
40226388,aliskiren 150 MG Oral Tablet [Tekturna],1011738,RxNorm,aliskiren
