concept_id,concept_name,concept_code,vocabulary_id
41071650,mycophenolate mofetil 250 MG Oral Capsule [Cellcept] Box of 300 by Fd,OMOP2269612,RxNorm Extension
41092643,mycophenolate mofetil 500 MG Oral Tablet [Mycophenolatmofetil Actavis] Box of 150,OMOP2290605,RxNorm Extension
41165731,mycophenolate mofetil 250 MG Oral Capsule [Mycophenolatmofetil Heumann] Box of 100 by Heumann,OMOP2363693,RxNorm Extension
21102439,mycophenolate mofetil 250 MG Oral Capsule Box of 100 by DE,OMOP378477,RxNorm Extension
43261937,mycophenolate mofetil 500 MG Oral Tablet Box of 50 by Sandoz,OMOP539742,RxNorm Extension
21096926,1 ML mycophenolate mofetil 20 MG/ML Oral Suspension by Special Order,OMOP294210,RxNorm Extension
21106792,1 ML mycophenolate mofetil 60 MG/ML Oral Suspension by Special Order,OMOP294212,RxNorm Extension
40967534,mycophenolate mofetil 500 MG Oral Tablet [Mycophenolatmofetil Heumann] Box of 50,OMOP2165496,RxNorm Extension
19004034,mycophenolate mofetil 500 MG Injection,311881,RxNorm
43189524,mycophenolate mofetil 250 MG Oral Capsule [MYCOPHENOLATE MOFETIL BIOGARAN] Box of 100,OMOP444491,RxNorm Extension
40915564,mycophenolate mofetil 500 MG Oral Tablet [Cellcept] Box of 150 by 2care4,OMOP2113526,RxNorm Extension
21023874,mycophenolate mofetil 250 MG Oral Capsule by Waymade,OMOP378451,RxNorm Extension
40831802,mycophenolate mofetil Oral Tablet [Mycophenolatmofetil Actavis],OMOP2029764,RxNorm Extension
21063193,mycophenolate mofetil 250 MG Oral Capsule Box of 100 by Cubic,OMOP378473,RxNorm Extension
41061089,mycophenolate mofetil 500 MG Oral Tablet [Mycophenolmofetil Hexal] Box of 150,OMOP2259051,RxNorm Extension
40946930,mycophenolate mofetil 500 MG Oral Tablet Box of 250 by Heumann,OMOP2144892,RxNorm Extension
44095572,mycophenolate mofetil Oral Tablet [MYCOPHENOLATE MOFETIL SANDOZ],OMOP1090203,RxNorm Extension
43267423,mycophenolate mofetil 250 MG Oral Capsule [Ceptolate] Box of 50,OMOP539768,RxNorm Extension
40894226,mycophenolate mofetil Oral Tablet [Mycopheno Cell],OMOP2092188,RxNorm Extension
41009265,mycophenolate mofetil 250 MG Oral Capsule [Cellcept] Box of 100 by Gerke,OMOP2207227,RxNorm Extension
43134512,mycophenolate mofetil 250 MG Oral Capsule [MYCOPHENOLATE MOFETIL ZYDUS] Box of 100,OMOP444511,RxNorm Extension
41248740,mycophenolate mofetil 500 MG Oral Tablet [Mycophenolmofetil Aliud] Box of 150,OMOP2446702,RxNorm Extension
40936383,mycophenolate mofetil 250 MG Oral Capsule [Mycophenolatmofetil Actavis] Box of 300,OMOP2134345,RxNorm Extension
35604047,mycophenolate mofetil Injection [Cellcept],1726179,RxNorm
41290072,mycophenolate mofetil 500 MG Oral Tablet [Mycophenolmofetil Aliud] Box of 150 by Aliud,OMOP2488034,RxNorm Extension
41123855,mycophenolate mofetil 0.00909 MG/MG Oral Suspension [Cellcept] Box of 1,OMOP2321817,RxNorm Extension
