concept_id,concept_code,concept_name,codeset,med_group
40059335,374642,lopinavir / ritonavir Oral Capsule,c19_meds,Lopinavir-ritonavir
36222583,1163857,lopinavir / ritonavir Oral Liquid Product,c19_meds,Lopinavir-ritonavir
36222584,1163858,lopinavir / ritonavir Oral Product,c19_meds,Lopinavir-ritonavir
36222585,1163859,lopinavir / ritonavir Pill,c19_meds,Lopinavir-ritonavir
1748955,311368,lopinavir 133 MG / ritonavir 33.3 MG Oral Capsule,c19_meds,Lopinavir-ritonavir
1748956,311369,lopinavir 80 MG/ML / ritonavir 20 MG/ML Oral Solution,c19_meds,Lopinavir-ritonavir
40059337,374643,lopinavir / ritonavir Oral Solution,c19_meds,Lopinavir-ritonavir
1748985,746645,lopinavir 100 MG / ritonavir 25 MG Oral Tablet,c19_meds,Lopinavir-ritonavir
40128015,597729,lopinavir / ritonavir Oral Tablet,c19_meds,Lopinavir-ritonavir
19122186,597730,lopinavir 200 MG / ritonavir 50 MG Oral Tablet,c19_meds,Lopinavir-ritonavir
40160004,847740,lopinavir / ritonavir Oral Tablet [Kaletra],c19_meds,Lopinavir-ritonavir
40160002,847748,lopinavir / ritonavir Oral Solution [Kaletra],c19_meds,Lopinavir-ritonavir
1356140,2108295,budesonide Inhalation Suspension,c19_meds,inhaled budesonide
36213519,1156069,budesonide / formoterol Inhalant Product,c19_meds,inhaled budesonide
36213520,1156070,budesonide Inhalant Product,c19_meds,inhaled budesonide
1356141,2108297,budesonide Inhalation Suspension [Pulmicort],c19_meds,inhaled budesonide
1356143,2108302,budesonide Inhalation Powder,c19_meds,inhaled budesonide
37002376,2387323,budesonide / formoterol / glycopyrronium Metered Dose Inhaler [Breztri],c19_meds,inhaled budesonide
40142910,745797,budesonide / formoterol Metered Dose Inhaler,c19_meds,inhaled budesonide
40142912,745810,budesonide / formoterol Metered Dose Inhaler [Symbicort],c19_meds,inhaled budesonide
37002304,2386035,budesonide / formoterol / glycopyrronium Inhalant Product,c19_meds,inhaled budesonide
37002305,2386036,budesonide / formoterol / glycopyrronium Metered Dose Inhaler,c19_meds,inhaled budesonide
40142920,746824,budesonide Dry Powder Inhaler,c19_meds,inhaled budesonide
40142921,746826,budesonide Dry Powder Inhaler [Pulmicort],c19_meds,inhaled budesonide
36215257,1154531,dexamethasone Injectable Product,c19_meds,Systemic corticosteroids
36215260,1154534,dexamethasone Oral Liquid Product,c19_meds,Systemic corticosteroids
36215261,1154535,dexamethasone Oral Product,c19_meds,Systemic corticosteroids
36215263,1154537,dexamethasone Pill,c19_meds,Systemic corticosteroids
36221047,1163486,methylprednisolone Injectable Product,c19_meds,Systemic corticosteroids
36211785,1156758,prednisolone Pill,c19_meds,Systemic corticosteroids
36221049,1163488,methylprednisolone Oral Product,c19_meds,Systemic corticosteroids
36221050,1163489,methylprednisolone Pill,c19_meds,Systemic corticosteroids
36218389,1164003,hydrocortisone Injectable Product,c19_meds,Systemic corticosteroids
36235312,1169579,De-Sone LA Injectable Product,c19_meds,Systemic corticosteroids
36220909,1165756,prednisolone Injectable Product,c19_meds,Systemic corticosteroids
36220911,1165758,prednisolone Oral Liquid Product,c19_meds,Systemic corticosteroids
36220912,1165759,prednisolone Oral Product,c19_meds,Systemic corticosteroids
36220913,1165760,prednisolone Otic Product,c19_meds,Systemic corticosteroids
36229762,1175843,Dexium Injectable Product,c19_meds,Systemic corticosteroids
36237605,1170296,Decadron Oral Liquid Product,c19_meds,Systemic corticosteroids
36237606,1170297,Decadron Oral Product,c19_meds,Systemic corticosteroids
36237607,1170298,Decadron Pill,c19_meds,Systemic corticosteroids
36228083,1175250,Dexasone Injectable Product,c19_meds,Systemic corticosteroids
35606532,1743703,methylprednisolone Injection,c19_meds,Systemic corticosteroids
36245769,1295508,prednisolone Disintegrating Oral Product,c19_meds,Systemic corticosteroids
35604729,1738585,hydrocortisone Injection,c19_meds,Systemic corticosteroids
40028569,371721,dexamethasone Injectable Suspension,c19_meds,Systemic corticosteroids
40049686,370648,hydrocortisone Injectable Solution,c19_meds,Systemic corticosteroids
1719010,1812073,dexamethasone Injection,c19_meds,Systemic corticosteroids
1719021,1812094,dexamethasone Prefilled Syringe,c19_meds,Systemic corticosteroids
1510436,2045408,Dexycu Injectable Product,c19_meds,Systemic corticosteroids
40028260,371725,dexamethasone Injectable Solution,c19_meds,Systemic corticosteroids
40028599,371728,dexamethasone Oral Solution,c19_meds,Systemic corticosteroids
40028601,371729,dexamethasone Oral Tablet,c19_meds,Systemic corticosteroids
40060728,372868,methylprednisolone Oral Tablet,c19_meds,Systemic corticosteroids
40060701,376656,methylprednisolone Injectable Solution,c19_meds,Systemic corticosteroids
40049691,378635,hydrocortisone Injectable Suspension,c19_meds,Systemic corticosteroids
19034011,206954,prednisone 5 MG Oral Tablet [Deltasone],c19meds,Systemic corticosteroids
19089061,567645,prednisone 2.5 MG [Deltasone],c19meds,Systemic corticosteroids
19081627,567786,prednisone 10 MG [Sterapred DS],c19meds,Systemic corticosteroids
40073813,451142,prednisone Rectal Suppository,c19meds,Systemic corticosteroids
1551192,312617,prednisone 5 MG Oral Tablet,c19meds,Systemic corticosteroids
40073533,92354,prednisone Oral Tablet [Deltasone],c19meds,Systemic corticosteroids
19135075,845494,{21 (prednisone 10 MG Oral Tablet [Sterapred DS]) } Pack [Sterapred DS Uni-Pak],c19meds,Systemic corticosteroids
1551199,316585,prednisone 5 MG/ML,c19meds,Systemic corticosteroids
