concept_id,concept_code,concept_name,vocabulary_id,ancestor_concept_id,name,rxcui
21022627,OMOP355779,Acetazolamide 5 MG/ML Oral Solution,RxNorm Extension,929435,acetazolamide,167
43026549,OMOP4841645,Acetazolamide 500 MG Injectable Solution [Diamox] Box of 25 by Cooper,RxNorm Extension,929435,acetazolamide,167
44103819,OMOP1098450,Acetazolamide 500 MG Injectable Suspension by Sterimax,RxNorm Extension,929435,acetazolamide,167
21081493,OMOP355800,Acetazolamide 250 MG Extended Release Oral Capsule [Eytazox] Box of 30 by Auden Mckenzie,RxNorm Extension,929435,acetazolamide,167
43834025,OMOP765313,Acetazolamide 250 MG Oral Tablet [Glaupax],RxNorm Extension,929435,acetazolamide,167
43692317,OMOP931965,Acetazolamide Injectable Solution,RxNorm Extension,929435,acetazolamide,167
41163232,OMOP2361194,Acetazolamide 250 MG Oral Tablet [Glaupax] Box of 30,RxNorm Extension,929435,acetazolamide,167
36788132,OMOP4776393,Acetazolamide 500 MG Injection [Diamox] Box of 1,RxNorm Extension,929435,acetazolamide,167
21032366,OMOP355810,Acetazolamide 250 MG Oral Tablet by DE,RxNorm Extension,929435,acetazolamide,167
42723849,OMOP2737119,Acetazolamide 0.911 MG/MG Injectable Solution [Diamox Parenteral],RxNorm Extension,929435,acetazolamide,167
40004826,370525,acetazolamide Oral Tablet,RxNorm,929435,acetazolamide,167
41262816,OMOP2460778,Acetazolamide 500 MG Extended Release Oral Capsule [Diamox] Box of 30 by Mercury,RxNorm Extension,929435,acetazolamide,167
43165963,OMOP512112,Acetazolamide Injectable Suspension [Diamox],RxNorm Extension,929435,acetazolamide,167
44103820,OMOP1098451,Acetazolamide 500 MG Extended Release Oral Capsule [Diamox Src] by Storz,RxNorm Extension,929435,acetazolamide,167
21150227,OMOP355778,Acetazolamide 5 MG/ML,RxNorm Extension,929435,acetazolamide,167
21067401,OMOP291829,1 ML Acetazolamide 20 MG/ML Oral Suspension,RxNorm Extension,929435,acetazolamide,167
43276398,OMOP528916,Acetazolamide 500 MG Injection [Glaumox],RxNorm Extension,929435,acetazolamide,167
44090806,OMOP1085437,Acetazolamide 500 MG Injectable Suspension [Diamox] by Storz,RxNorm Extension,929435,acetazolamide,167
43176954,OMOP425876,Acetazolamide 100 MG/ML Topical Cream [DEFILTRAN],RxNorm Extension,929435,acetazolamide,167
35851095,OMOP5007653,acetazolamide 25 MG,RxNorm Extension,929435,acetazolamide,167
41025648,OMOP2223610,Acetazolamide 250 MG Oral Tablet Box of 240,RxNorm Extension,929435,acetazolamide,167
21081499,OMOP355887,Acetazolamide 4 MG/ML,RxNorm Extension,929435,acetazolamide,167
19072240,307702,acetazolamide 500 MG Injection,RxNorm,929435,acetazolamide,167
41075620,OMOP2273582,Acetazolamide 250 MG Oral Tablet [Glaupax] Box of 100 by Novartis,RxNorm Extension,929435,acetazolamide,167
44029544,OMOP1024175,Acetazolamide 250 MG [Acetazolam],RxNorm Extension,929435,acetazolamide,167
21150232,OMOP355849,Acetazolamide 60 MG/ML,RxNorm Extension,929435,acetazolamide,167
21061881,OMOP355750,Acetazolamide 25 MG/ML Oral Suspension,RxNorm Extension,929435,acetazolamide,167
19021495,566111,acetazolamide 250 MG [Diamox],RxNorm,929435,acetazolamide,167
43707877,OMOP765334,Acetazolamide 250 MG Oral Tablet [Acemit],RxNorm Extension,929435,acetazolamide,167
21032365,OMOP355799,Acetazolamide 250 MG Extended Release Oral Capsule [Eytazox] Box of 30,RxNorm Extension,929435,acetazolamide,167
21160163,OMOP355847,Acetazolamide 22 MG/ML Oral Suspension,RxNorm Extension,929435,acetazolamide,167
21032371,OMOP355861,Acetazolamide 1 MG/ML Oral Solution,RxNorm Extension,929435,acetazolamide,167
21071797,OMOP355770,Acetazolamide 15 MG/ML Oral Suspension,RxNorm Extension,929435,acetazolamide,167
35851092,OMOP5007650,acetazolamide 50 MG [Nimukesi],RxNorm Extension,929435,acetazolamide,167
42963839,OMOP4690323,Acetazolamide 500 MG [ZOLADIN],RxNorm Extension,929435,acetazolamide,167
41119593,OMOP2317555,Acetazolamide 500 MG Injectable Suspension Box of 20,RxNorm Extension,929435,acetazolamide,167
44039074,OMOP1033705,Acetazolamide 250 MG Oral Tablet by AA,RxNorm Extension,929435,acetazolamide,167
40167830,876437,acetazolamide 500 MG [Diamox],RxNorm,929435,acetazolamide,167
21052065,OMOP355741,Acetazolamide 85 MG/ML,RxNorm Extension,929435,acetazolamide,167
21022630,OMOP355828,Acetazolamide 250 MG Oral Tablet Box of 112 by DE,RxNorm Extension,929435,acetazolamide,167
21022624,OMOP355754,Acetazolamide 500 MG Injection Box of 1,RxNorm Extension,929435,acetazolamide,167
21120644,OMOP355795,Acetazolamide 250 MG Extended Release Oral Capsule [Diamox SR] Box of 30,RxNorm Extension,929435,acetazolamide,167
