concept_id,concept_code,concept_name,vocabulary_id
586707,OMOP3137813,Aminophylline 50 MG/ML Injection by Omega,RxNorm Extension
2027533,OMOP4926251,10 ML aminophylline 25 MG/ML Injectable Solution by Daewon,RxNorm Extension
586707,OMOP3137813,Aminophylline 50 MG/ML Injection by Omega,RxNorm Extension
587051,OMOP3136327,Aminophylline 24 MG/ML Injection,RxNorm Extension
587266,OMOP3135363,Aminophylline 50 MG/ML Injectable Solution by Hospira,RxNorm Extension
734789,313835,aminophylline 100 MG / phenobarbital 15 MG Delayed Release Oral Tablet,RxNorm
1105775,689,aminophylline,RxNorm
1105776,197354,aminophylline 250 MG Rectal Suppository,RxNorm
1105779,211536,aminophylline 225 MG Extended Release Oral Tablet [Phyllocontin],RxNorm
1105780,245318,aminophylline 350 MG Extended Release Oral Tablet,RxNorm
1105781,245319,aminophylline 50 MG/ML Injectable Solution,RxNorm
1105802,249984,aminophylline 250 MG/ML Injectable Solution,RxNorm
1105803,251662,aminophylline 24 MG/ML Injectable Solution,RxNorm
1105804,252816,aminophylline 36 MG/ML Injectable Solution,RxNorm
1105805,252855,aminophylline 240 MG/ML Injectable Solution,RxNorm
1105837,313794,aminophylline 100 MG Oral Tablet,RxNorm
1105838,313836,aminophylline 2 MG/ML Injectable Solution,RxNorm
1105868,343232,aminophylline 250 MG/ML,RxNorm
1105869,343233,aminophylline 240 MG/ML,RxNorm
1105870,343234,aminophylline 24 MG/ML,RxNorm
1105871,343235,aminophylline 36 MG/ML,RxNorm
1105872,343236,aminophylline 50 MG/ML,RxNorm
1105873,343237,aminophylline 350 MG,RxNorm
1105874,345942,aminophylline 111 MG,RxNorm
1105875,345944,aminophylline 130 MG,RxNorm
1105878,353575,aminophylline 180 MG,RxNorm
1105880,422737,aminophylline 60 MG/ML Enema,RxNorm
1105881,428923,aminophylline 130 MG / guaifenesin 100 MG Oral Tablet,RxNorm
1105902,434226,12 HR aminophylline 225 MG Extended Release Oral Tablet,RxNorm
1105903,434621,aminophylline 2 MG/ML,RxNorm
1105904,484664,aminophylline 120 MG,RxNorm
1105905,484668,aminophylline 130 MG / ephedrine 25 MG Oral Capsule,RxNorm
1105907,727377,10 ML aminophylline 25 MG/ML Prefilled Syringe,RxNorm
2027533,OMOP4926251,10 ML aminophylline 25 MG/ML Injectable Solution by Daewon,RxNorm Extension
2027534,OMOP4926252,10 ML aminophylline 25 MG/ML Injectable Solution by Daihan,RxNorm Extension
2027535,OMOP4926253,10 ML aminophylline 25 MG/ML Injectable Solution by Huons,RxNorm Extension
2027536,OMOP4926254,10 ML aminophylline 25 MG/ML Injectable Solution by Jeil,RxNorm Extension
