concept_id,concept_name,concept_code,vocabulary_id,ingredient,pcornet_vocabulary_id
589909,100 ML Propofol 10 MG/ML Injection Box of 1,OMOP3138511,RxNorm Extension,propofol,RX
753627,propofol 20 MG/ML Injectable Suspension,153475,RxNorm,propofol,RX
753629,propofol 10 MG/ML Injectable Suspension,312674,RxNorm,propofol,RX
1145813,propofol Injection [Propoven],2370235,RxNorm,propofol,RX
1145814,propofol lipid emulsion 20 MG/ML Injection,2370237,RxNorm,propofol,RX
1145815,propofol lipid emulsion 20 MG/ML Injection [Propoven],2370238,RxNorm,propofol,RX
1146733,100 ML propofol lipid emulsion 20 MG/ML Injection,2370234,RxNorm,propofol,RX
1146734,100 ML propofol lipid emulsion 20 MG/ML Injection [Propoven],2370236,RxNorm,propofol,RX
1537217,propofol lipid emulsion 10 MG/ML Injection,2559910,RxNorm,propofol,RX
1537391,propofol lipid emulsion 10 MG/ML Injectable Suspension,2561291,RxNorm,propofol,RX
1537618,100 ML propofol lipid emulsion 10 MG/ML Injection,2559909,RxNorm,propofol,RX
1718827,propofol Injectable Suspension [Propovan],1862108,RxNorm,propofol,RX
1718828,Propovan Injectable Product,1862109,RxNorm,propofol,RX
1718829,propofol 10 MG/ML Injectable Suspension [Propovan],1862110,RxNorm,propofol,RX
2009496,50 ML propofol 20 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4924918,RxNorm Extension,propofol,RX
2009497,50 ML propofol 20 MG/ML Injectable Suspension [FREEFOL-MCT] by Daewon,OMOP4924919,RxNorm Extension,propofol,RX
2009498,50 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4924928,RxNorm Extension,propofol,RX
2009499,50 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT] by Daewon,OMOP4924929,RxNorm Extension,propofol,RX
2009530,20 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4925421,RxNorm Extension,propofol,RX
2009531,20 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT] by Daewon,OMOP4925422,RxNorm Extension,propofol,RX
2009555,15 ML propofol 10 MG/ML Injectable Suspension [FREEFOL-MCT],OMOP4925651,RxNorm Extension,propofol,RX
