concept_id,concept_name,concept_code,vocabulary_id
1353228,vitamin B6,42954,RxNorm
1353230,vitamin B6 10 MG Oral Tablet,198945,RxNorm
1353231,vitamin B6 100 MG Oral Tablet,198946,RxNorm
1353263,vitamin B6 200 MG Oral Tablet,198949,RxNorm
1353265,vitamin B6 25 MG Oral Tablet,198951,RxNorm
1353266,vitamin B6 250 MG Oral Tablet,198952,RxNorm
1353267,vitamin B6 500 MG Oral Tablet,198953,RxNorm
1353304,vitamin B6 500 MG Extended Release Oral Tablet,237792,RxNorm
1353305,vitamin B6 5 MG Oral Capsule,241116,RxNorm
1353345,vitamin B6 250 MG Oral Capsule,245454,RxNorm
1353578,vitamin B6 50 MG Oral Tablet,639566,RxNorm
1353607,vitamin B6 25 MG Oral Lozenge,758144,RxNorm
19005046,pyridoxine,684879,RxNorm
19020868,vitamin B6 200 MG Extended Release Oral Tablet,198950,RxNorm
19022373,vitamin B6 500 MG Oral Capsule,199830,RxNorm
19026717,pyridoxine hydrochloride,203164,RxNorm
19059817,pyridoxal,9002,RxNorm
19067887,vitamin B6 25 MG Oral Tablet [Vitelle Nestrex],260452,RxNorm
19135713,vitamin B6 50 MG Oral Capsule,849750,RxNorm
19135838,pyridoxal phosphate,9004,RxNorm
36215766,pyridoxine Oral Product,1157325,RxNorm
40238937,pyridoxine hydrochloride 25 MG Oral Tablet,1100457,RxNorm
42708637,vitamin B6 25 MG Oral Lozenge [B-Natal],1247569,RxNorm
46275060,pyridoxal phosphate anhydrous,1599827,RxNorm
