concept_id,concept_name,concept_code,vocabulary_id,ingredient,pcornet_vocabulary_id
995038,Fludrocortisone 0.1 MG Oral Tablet [Astonin] by Aaha,OMOP4821550,RxNorm Extension,fludrocortisone,RX
1555142,fludrocortisone acetate 0.1 MG Oral Tablet,313979,RxNorm,fludrocortisone,RX
2054704,fludrocortisone 0.1 MG Oral Tablet [Florinef] by BMS,OMOP4955459,RxNorm Extension,fludrocortisone,RX
19034620,fludrocortisone acetate 0.1 MG Oral Tablet [Florinef],207131,RxNorm,fludrocortisone,RX
21027614,Fludrocortisone 0.1 MG Oral Tablet Box of 30 by Alliance,OMOP280582,RxNorm Extension,fludrocortisone,RX
21027615,Fludrocortisone 0.1 MG Oral Tablet Box of 56,OMOP280583,RxNorm Extension,fludrocortisone,RX
21027616,Fludrocortisone 0.1 MG Oral Tablet Box of 100,OMOP280584,RxNorm Extension,fludrocortisone,RX
21027617,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by Mawdsley-Brooks,OMOP280585,RxNorm Extension,fludrocortisone,RX
21057019,Fludrocortisone 0.1 MG Oral Tablet Box of 30,OMOP280579,RxNorm Extension,fludrocortisone,RX
21057020,Fludrocortisone 0.1 MG Oral Tablet Box of 30 by Aspen,OMOP280580,RxNorm Extension,fludrocortisone,RX
21057021,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by Waymade,OMOP280598,RxNorm Extension,fludrocortisone,RX
21066863,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 56,OMOP280592,RxNorm Extension,fludrocortisone,RX
21076769,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by Sigma-Tau,OMOP280597,RxNorm Extension,fludrocortisone,RX
21086526,Fludrocortisone 0.1 MG Oral Tablet by Aspen,OMOP280577,RxNorm Extension,fludrocortisone,RX
21086527,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by Mawdsley-Brooks,OMOP280595,RxNorm Extension,fludrocortisone,RX
21096289,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100,OMOP280594,RxNorm Extension,fludrocortisone,RX
21115927,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by Lexon,OMOP280600,RxNorm Extension,fludrocortisone,RX
21125603,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by DE,OMOP280599,RxNorm Extension,fludrocortisone,RX
21135497,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by Sigma-Tau,OMOP280587,RxNorm Extension,fludrocortisone,RX
21135498,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by DE,OMOP280589,RxNorm Extension,fludrocortisone,RX
21145376,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 56 by Aspen,OMOP280593,RxNorm Extension,fludrocortisone,RX
21155317,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by Aspen,OMOP280586,RxNorm Extension,fludrocortisone,RX
21165126,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by Waymade,OMOP280588,RxNorm Extension,fludrocortisone,RX
21165127,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by Aspen,OMOP280596,RxNorm Extension,fludrocortisone,RX
21174870,Fludrocortisone 0.1 MG Oral Tablet by Alliance,OMOP280578,RxNorm Extension,fludrocortisone,RX
21174871,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by Lexon,OMOP280590,RxNorm Extension,fludrocortisone,RX
35884656,fludrocortisone 0.1 MG Oral Tablet Box of 100 by Aspen,OMOP5034129,RxNorm Extension,fludrocortisone,RX
35884657,fludrocortisone 0.1 MG Oral Tablet Box of 30 by Medihealth,OMOP5034130,RxNorm Extension,fludrocortisone,RX
35884658,fludrocortisone 0.1 MG Oral Tablet by Medihealth,OMOP5034131,RxNorm Extension,fludrocortisone,RX
36063226,fludrocortisone 0.1 MG Oral Tablet by Mylan,OMOP4989409,RxNorm Extension,fludrocortisone,RX
36063309,fludrocortisone 0.1 MG Oral Tablet Box of 100 by DE,OMOP4989404,RxNorm Extension,fludrocortisone,RX
36063310,fludrocortisone 0.1 MG Oral Tablet Box of 100 by CST,OMOP4989405,RxNorm Extension,fludrocortisone,RX
36063311,fludrocortisone 0.1 MG Oral Tablet Box of 30 by DE,OMOP4989406,RxNorm Extension,fludrocortisone,RX
36063312,fludrocortisone 0.1 MG Oral Tablet Box of 30 by Mylan,OMOP4989407,RxNorm Extension,fludrocortisone,RX
36063313,fludrocortisone 0.1 MG Oral Tablet by DE,OMOP4989408,RxNorm Extension,fludrocortisone,RX
36063314,fludrocortisone 0.1 MG Oral Tablet by CST,OMOP4989410,RxNorm Extension,fludrocortisone,RX
36063315,fludrocortisone 0.05 MG Oral Tablet Box of 1,OMOP4989411,RxNorm Extension,fludrocortisone,RX
36226524,fludrocortisone Oral Product,1160242,RxNorm,fludrocortisone,RX
36226525,fludrocortisone Pill,1160243,RxNorm,fludrocortisone,RX
36235980,Florinef Oral Product,1169789,RxNorm,fludrocortisone,RX
36235981,Florinef Pill,1169790,RxNorm,fludrocortisone,RX
40041020,fludrocortisone Oral Tablet,372213,RxNorm,fludrocortisone,RX
40041021,fludrocortisone Oral Tablet [Florinef],368775,RxNorm,fludrocortisone,RX
40726970,Fludrocortisone 0.1 MG Oral Tablet [Florinef] Box of 100 by Sigma,OMOP4730180,RxNorm Extension,fludrocortisone,RX
40726971,Fludrocortisone 0.1 MG Oral Tablet [Florinef] by Sigma,OMOP4730179,RxNorm Extension,fludrocortisone,RX
40726972,Fludrocortisone 0.1 MG Oral Tablet Box of 100 by A A H,OMOP4730178,RxNorm Extension,fludrocortisone,RX
40726973,Fludrocortisone 0.1 MG Oral Tablet Box of 30 by A A H,OMOP4730177,RxNorm Extension,fludrocortisone,RX
40726974,Fludrocortisone 0.1 MG Oral Tablet by A A H,OMOP4730176,RxNorm Extension,fludrocortisone,RX
40821738,Fludrocortisone 0.1 MG Oral Tablet Box of 300,OMOP2019700,RxNorm Extension,fludrocortisone,RX
40846162,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100,OMOP2044124,RxNorm Extension,fludrocortisone,RX
40854968,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Aca Mueller,OMOP2052930,RxNorm Extension,fludrocortisone,RX
40886260,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Mtk,OMOP2084222,RxNorm Extension,fludrocortisone,RX
40886261,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Cc,OMOP2084223,RxNorm Extension,fludrocortisone,RX
40886262,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 30 by Mylan,OMOP2084224,RxNorm Extension,fludrocortisone,RX
40939572,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 300,OMOP2137534,RxNorm Extension,fludrocortisone,RX
40948542,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Beragena,OMOP2146504,RxNorm Extension,fludrocortisone,RX
40970593,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50,OMOP2168555,RxNorm Extension,fludrocortisone,RX
40979513,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Veron,OMOP2177475,RxNorm Extension,fludrocortisone,RX
40979514,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Veron,OMOP2177476,RxNorm Extension,fludrocortisone,RX
40979515,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Kohlpharma,OMOP2177477,RxNorm Extension,fludrocortisone,RX
40992159,Fludrocortisone 0.1 MG Oral Tablet Box of 600,OMOP2190121,RxNorm Extension,fludrocortisone,RX
41001969,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 30,OMOP2199931,RxNorm Extension,fludrocortisone,RX
41010841,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Axicorp,OMOP2208803,RxNorm Extension,fludrocortisone,RX
41010842,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Orifarm Leverkus,OMOP2208804,RxNorm Extension,fludrocortisone,RX
41010843,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Eurim-Pharm,OMOP2208805,RxNorm Extension,fludrocortisone,RX
41041943,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Mtk,OMOP2239905,RxNorm Extension,fludrocortisone,RX
41041944,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Emra-Med,OMOP2239906,RxNorm Extension,fludrocortisone,RX
41054342,Fludrocortisone 0.1 MG Oral Tablet Box of 200,OMOP2252304,RxNorm Extension,fludrocortisone,RX
41073244,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Orifarm Leverkus,OMOP2271206,RxNorm Extension,fludrocortisone,RX
41073245,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Me,OMOP2271207,RxNorm Extension,fludrocortisone,RX
41117136,Fludrocortisone 0.1 MG Oral Tablet Box of 500,OMOP2315098,RxNorm Extension,fludrocortisone,RX
41136110,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Me,OMOP2334072,RxNorm Extension,fludrocortisone,RX
41136111,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Servopharma,OMOP2334073,RxNorm Extension,fludrocortisone,RX
41136112,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Mylan,OMOP2334074,RxNorm Extension,fludrocortisone,RX
41136113,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 50 by Aca Mueller,OMOP2334075,RxNorm Extension,fludrocortisone,RX
41167362,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Kohlpharma,OMOP2365324,RxNorm Extension,fludrocortisone,RX
41167363,Fludrocortisone 0.1 MG Oral Tablet [Astonin] Box of 100 by Mylan,OMOP2365325,RxNorm Extension,fludrocortisone,RX
