"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
21107516,"5 ML Furosemide 10 MG/ML Prefilled Syringe Box of 10","OMOP308150","RxNorm Extension","RX","loop","furosemide"
42643952,"ethacrynic acid 25mg/1 ORAL TABLET","008321690","NDC","ND","loop","ethacrynate"
43024266,"Furosemide 40 MG Oral Tablet Box of 30 by TEVA","OMOP4839378","RxNorm Extension","RX","loop","furosemide"
43039191,"2 ML Furosemide 10 MG/ML Injectable Solution Box of 60","OMOP4854228","RxNorm Extension","RX","loop","furosemide"
21093905,"Furosemide 500 MG Oral Tablet Box of 28 by Sigma-Tau","OMOP402722","RxNorm Extension","RX","loop","furosemide"
45175595,"Bumetanide 1 MG Oral Tablet [Bumex]","60491009201","NDC","ND","loop","bumetanide"
41226122,"torsemide 20 MG Oral Tablet [Torasemid Abz] Box of 100 by AbZ-Pharma","OMOP2424084","RxNorm Extension","RX","loop","torsemide"
42837252,"furosemide 20mg/1 ORAL TABLET","672961547","NDC","ND","loop","furosemide"
41038317,"torsemide 10 MG Oral Tablet [Torasemid Volkspharma] Box of 100 by Volkspharma","OMOP2236279","RxNorm Extension","RX","loop","torsemide"
45061845,"Bumetanide 1 MG Oral Tablet","00378037801","NDC","ND","loop","bumetanide"
45097415,"Furosemide 20 MG Oral Tablet","00904158089","NDC","ND","loop","furosemide"
45260226,"Furosemide 20 MG Oral Tablet","58016053802","NDC","ND","loop","furosemide"
40851393,"torsemide 200 MG Oral Tablet [Torasemid Stada] Box of 100 by Stada","OMOP2049355","RxNorm Extension","RX","loop","torsemide"
45361663,"Furosemide 40 MG Oral Tablet","55154587500","NDC","ND","loop","furosemide"
36234079,"Aluzine Pill","1170657","RxNorm","RX","loop","furosemide"
45359555,"torsemide 20 MG Oral Tablet","51138057115","NDC","ND","loop","torsemide"
36070031,"amiloride 5 MG / bumetanide 1 MG Oral Tablet by Medihealth","OMOP4996788","RxNorm Extension","RX","loop","bumetanide"
45010079,"Furosemide 40 MG Oral Tablet","00254317032","NDC","ND","loop","furosemide"
45023869,"Ethacrynic Acid 25 MG Oral Tablet [Edecrin]","65174020515","NDC","ND","loop","ethacrynate"
41251578,"Furosemide 40 MG Oral Tablet [Durafurid] Box of 100","OMOP2449540","RxNorm Extension","RX","loop","furosemide"
41351401,"4 ML Furosemide 10 MG/ML Injectable Solution Box of 25","OMOP2549363","RxNorm Extension","RX","loop","furosemide"
40854860,"Furosemide 40 MG Oral Tablet [Furosemid 1a Pharma] Box of 50 by 1 A","OMOP2052822","RxNorm Extension","RX","loop","furosemide"
46252853,"Furosemide 80 MG Oral Tablet","61786022720","NDC","ND","loop","furosemide"
43605008,"torsemide 5 MG Oral Tablet [Torasemid Hexal] by Hexal","OMOP672786","RxNorm Extension","RX","loop","torsemide"
43293834,"Furosemide 40 MG Oral Tablet [Lasix] Box of 100","OMOP532785","RxNorm Extension","RX","loop","furosemide"
41038320,"torsemide 10 MG Oral Tablet [Toragamma] Box of 30 by AAA-Pharma","OMOP2236282","RxNorm Extension","RX","loop","torsemide"
932778,"bumetanide 0.25 MG/ML","315499","RxNorm","RX","loop","bumetanide"
45815099,"furosemide 10mg/mL INTRAVENOUS INJECTION, SOLUTION","360000064","NDC","ND","loop","furosemide"
41220562,"Furosemide 40 MG Oral Tablet [Furosemid Dura] Box of 20","OMOP2418524","RxNorm Extension","RX","loop","furosemide"
41238242,"Furosemide Oral Tablet [Furo Basf]","OMOP2436204","RxNorm Extension","RX","loop","furosemide"
45196862,"Bumetanide 1 MG Oral Tablet","00172423360","NDC","ND","loop","bumetanide"
43843200,"4 ML Furosemide 10 MG/ML Injectable Solution [Furosemid Ratiopharm] by Ratiopharm","OMOP763110","RxNorm Extension","RX","loop","furosemide"
21064551,"Furosemide 40 MG Oral Tablet by Generics","OMOP402767","RxNorm Extension","RX","loop","furosemide"
41136011,"Furosemide 20 MG / Spironolactone 50 MG Oral Tablet [Duraspiron] Box of 20 by Mylan","OMOP2333973","RxNorm Extension","RX","loop","furosemide"
45905522,"Furosemide 40 MG Oral Tablet","50090015403","NDC","ND","loop","furosemide"
45096049,"2 ML furosemide 10 MG/ML Injection","00409610225","NDC","ND","loop","furosemide"
45165556,"Furosemide 10 MG/ML Injectable Solution","00904148510","NDC","ND","loop","furosemide"
45283590,"Furosemide 40 MG Oral Tablet","00364051401","NDC","ND","loop","furosemide"
21025270,"Furosemide 20 MG Oral Tablet Box of 28 by Crescent","OMOP402639","RxNorm Extension","RX","loop","furosemide"
43288366,"Furosemide 10 MG/ML Injection Box of 25","OMOP532742","RxNorm Extension","RX","loop","furosemide"
44432335,"furosemide 40 MG Oral Tablet","00615793830","NDC","ND","loop","furosemide"
41032858,"Furosemide 500 MG Oral Tablet [Furosemid Abz] Box of 100","OMOP2230820","RxNorm Extension","RX","loop","furosemide"
40854852,"Furosemide 20 MG / Spironolactone 100 MG Oral Capsule [Osyrol] Box of 20 by Sanofi","OMOP2052814","RxNorm Extension","RX","loop","furosemide"
43586915,"torsemide 5 MG Oral Tablet [Torasemid Hexal]","OMOP672784","RxNorm Extension","RX","loop","torsemide"
45062705,"Furosemide 40 MG Oral Tablet","00603374034","NDC","ND","loop","furosemide"
40929470,"Furosemide 30 MG / Reserpine 0.2 MG Oral Capsule","OMOP2127432","RxNorm Extension","RX","loop","furosemide"
44966805,"Furosemide 40 MG Oral Tablet","50752028705","NDC","ND","loop","furosemide"
44973823,"torsemide 20 MG Oral Tablet","68788091703","NDC","ND","loop","torsemide"
36179831,"bumetanide 1 MG Oral Tablet","68382052616","NDC","ND","loop","bumetanide"
45316106,"Bumetanide 0.25 MG/ML Injectable Solution","00074141204","NDC","ND","loop","bumetanide"
45297077,"torsemide 5 MG Oral Tablet","65862012571","NDC","ND","loop","torsemide"
43196546,"2 ML Furosemide 10 MG/ML Prefilled Syringe [LASILIX]","OMOP509723","RxNorm Extension","RX","loop","furosemide"
42971381,"Furosemide 10 MG/ML [URIRASEMI]","OMOP4697799","RxNorm Extension","RX","loop","furosemide"
41007265,"torsemide 5 MG Oral Tablet [Torasemid Heumann] Box of 30 by Heumann","OMOP2205227","RxNorm Extension","RX","loop","torsemide"
45160660,"Furosemide 20 MG Oral Tablet [Lasix]","67651005901","NDC","ND","loop","furosemide"
41351487,"4 ML Furosemide 10 MG/ML Injectable Solution [Lasix] Box of 25","OMOP2549449","RxNorm Extension","RX","loop","furosemide"
41288008,"torsemide 2.5 MG Oral Tablet [Torasemid Teva] Box of 50 by TEVA","OMOP2485970","RxNorm Extension","RX","loop","torsemide"
45301341,"Furosemide 80 MG Oral Tablet","00536383505","NDC","ND","loop","furosemide"
36180922,"bumetanide 2 MG Oral Tablet","70771102605","NDC","ND","loop","bumetanide"
41189391,"Furosemide 500 MG Oral Tablet [Furanthril] Box of 20","OMOP2387353","RxNorm Extension","RX","loop","furosemide"
44842849,"Bumetanide .25 mg/mL INJECTION [Bumetanide]","055390500","NDC","ND","loop","bumetanide"
45004198,"Furosemide 20 MG Oral Tablet","58016053801","NDC","ND","loop","furosemide"
35850364,"torsemide Injectable Solution [Zetong]","OMOP5007238","RxNorm Extension","RX","loop","torsemide"
44975566,"Furosemide 80 MG Oral Tablet","00182173605","NDC","ND","loop","furosemide"
36227920,"Torem Pill","1178589","RxNorm","RX","loop","torsemide"
21093918,"Amiloride 5 MG / Furosemide 40 MG Oral Tablet [Co-amilofruse] by Sigma-Tau","OMOP403168","RxNorm Extension","RX","loop","furosemide"
