"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","atc_code","atc_name"
589458,"bortezomib 1 MG Injection Box of 1","OMOP3137281","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
1336825,"bortezomib","358258","RxNorm","RX","L01XG01","bortezomib; parenteral"
587492,"carfilzomib 10 MG Injection Box of 1","OMOP3136722","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
589792,"carfilzomib 30 MG Injection Box of 1","OMOP3137368","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
2062466,"bortezomib 3.5 MG Injection [TEZOBEL] by Chongkundang","OMOP4963718","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
2062467,"bortezomib 3.5 MG Injection [PROTEZOMIB] by Samyang","OMOP4963719","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
19102218,"bortezomib 3.5 MG Injection","402243","RxNorm","RX","L01XG01","bortezomib; parenteral"
1510591,"carfilzomib 10 MG","2046641","RxNorm","RX","L01XG02","carfilzomib; parenteral"
1510592,"carfilzomib 10 MG Injection","2046642","RxNorm","RX","L01XG02","carfilzomib; parenteral"
1510593,"carfilzomib 10 MG [Kyprolis]","2046643","RxNorm","RX","L01XG02","carfilzomib; parenteral"
1510594,"carfilzomib 10 MG Injection [Kyprolis]","2046644","RxNorm","RX","L01XG02","carfilzomib; parenteral"
19102219,"bortezomib 3.5 MG Injection [Velcade]","402244","RxNorm","RX","L01XG01","bortezomib; parenteral"
21065502,"bortezomib 3.5 MG Injection [Velcade] Box of 1","OMOP256428","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
21041652,"carfilzomib 60 MG Injection Box of 1","OMOP344665","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
21041653,"carfilzomib 60 MG Injection [Kyprolis] by Amgen","OMOP344668","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
21094959,"bortezomib 3.5 MG Injection [Velcade] by Janssen","OMOP256427","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
21061231,"carfilzomib 60 MG Injection [Kyprolis] Box of 1 by Amgen","OMOP344670","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
21153962,"bortezomib 3.5 MG Injection Box of 1","OMOP256425","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
21173561,"bortezomib 3.5 MG Injection [Velcade] Box of 1 by Janssen","OMOP256429","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
21139755,"carfilzomib 60 MG Injection [Kyprolis] Box of 1","OMOP344669","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
35407498,"bortezomib 3.5 MG Prefilled Syringe [Velcade]","OMOP1141083","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
35134114,"carfilzomib 40 MG [Kyprolis]","OMOP4791316","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
35407837,"bortezomib 3.5 MG Prefilled Syringe [Velcade] Box of 1 by Janssen","OMOP1141422","RxNorm Extension","RX","L01XG01","bortezomib; parenteral"
35149217,"carfilzomib 40 MG Injection [Kyprolis]","OMOP4806275","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
35157031,"carfilzomib 40 MG","OMOP4814038","RxNorm Extension","RX","L01XG02","carfilzomib; parenteral"
