"concept_id","concept_name","concept_code","vocabulary_id","category"
44035206,"bosentan monohydrate 125 MG Oral Tablet [Sandoz Bosentan]","OMOP1029837","RxNorm Extension","antihypertensives"
41272472,"Hydroflumethiazide 50 MG / Potassium 625 MG / Rauwolfia preparation 50 MG Oral Tablet Box of 100","OMOP2470434","RxNorm Extension","antihypertensives"
41289154,"Prazosin 4 MG Extended Release Oral Capsule Box of 50 by Ratiopharm","OMOP2487116","RxNorm Extension","antihypertensives"
41394392,"50 ML Adonis vernalis extract 100 MG/ML / Arnica montana Extract 50 MG/ML / Convallaria majalis extract 100 MG/ML / CRATAEGUS LAEVIGATA FRUIT 200 MG/ML / Juniperus communis whole extract 50 MG/ML / ... Oral Solution Box of 1","OMOP2592354","RxNorm Extension","antihypertensives"
41252873,"Dihydralazine 25 MG Oral Tablet [Nepresol] Box of 1200","OMOP2450835","RxNorm Extension","antihypertensives"
43822765,"tadalafil 10 MG Oral Tablet [Tadalafil Pmcs]","OMOP704480","RxNorm Extension","antihypertensives"
44017698,"Mint-Tadalafil","OMOP1012329","RxNorm Extension","antihypertensives"
40044755,"guanethidine Injectable Solution","375119","RxNorm","antihypertensives"
43267287,"Methyldopa Oral Tablet [Hydopa]","OMOP538503","RxNorm Extension","antihypertensives"
41071666,"moxonidine 0.3 MG Oral Tablet [Moxonidin Isis] Box of 98 by Puren","OMOP2269628","RxNorm Extension","antihypertensives"
44165814,"moxonidine 0.4 MG Delayed Release Oral Tablet [Moxocard] Box of 50","OMOP3042537","RxNorm Extension","antihypertensives"
44180786,"moxonidine 0.4 MG Delayed Release Oral Tablet [Moxobeta] Box of 100","OMOP3057509","RxNorm Extension","antihypertensives"
43755708,"50 ML VERATRUM ALBUM Preparation 15 X Oral Solution","OMOP817166","RxNorm Extension","antihypertensives"
995162,"tadalafil 20 MG Oral Tablet [Tadalafil Heumann] by Heumann","OMOP4821673","RxNorm Extension","antihypertensives"
40066141,"methyldopa Oral Suspension [Aldomet]","91729","RxNorm","antihypertensives"
44164465,"Angelica archangelica leaf extract 0.19 MG/ML / CRATAEGUS LAEVIGATA FRUIT 76 MG/ML / Equisetum arvense whole extract 40 MG/ML / Ginseng Preparation 0.19 MG/ML / Oats preparation 153 MG/ML / Rauwolfia preparation 9 MG/ML / ... [Mistelan]","OMOP3041188","RxNorm Extension","antihypertensives"
44037990,"Clonidine 0.2 MG Oral Tablet [Catapres] by Boehringer Ingelheim","OMOP1032621","RxNorm Extension","antihypertensives"
35767874,"moxonidine 0.4 MG Delayed Release Oral Tablet [Physiotens] by Sigma-Tau","OMOP2769335","RxNorm Extension","antihypertensives"
35775360,"Prazosin 5 MG Extended Release Oral Tablet [Alphavase]","OMOP2776821","RxNorm Extension","antihypertensives"
