concept_id,concept_name,concept_code,vocabulary_id
19003320,omeprazole 20 MG Delayed Release Oral Capsule [Losec],104099,RxNorm
19019418,omeprazole 20 MG Delayed Release Oral Capsule,198051,RxNorm
19034886,omeprazole 20 MG Delayed Release Oral Capsule [Prilosec],207212,RxNorm
21024272,Omeprazole 20 MG Delayed Release Oral Capsule Box of 14 by Dowelhurst,OMOP385129,RxNorm Extension
21024273,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28,OMOP385130,RxNorm Extension
21024274,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Phoenix Labs,OMOP385138,RxNorm Extension
21024275,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Kent,OMOP385140,RxNorm Extension
21024276,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Zentiva,OMOP385159,RxNorm Extension
21034009,Omeprazole 20 MG Delayed Release Oral Capsule by Sterwin Medicines,OMOP385109,RxNorm Extension
21034010,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Sterwin Medicines,OMOP385144,RxNorm Extension
21034011,Omeprazole 20 MG Delayed Release Oral Capsule [Mepradec] Box of 28 by Discovery,OMOP385167,RxNorm Extension
21034012,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 14,OMOP385178,RxNorm Extension
21043924,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Focus,OMOP385134,RxNorm Extension
21043925,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Wockhardt,OMOP385160,RxNorm Extension
21043926,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Dowelhurst,OMOP385177,RxNorm Extension
21043927,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Sigma-Tau,OMOP385182,RxNorm Extension
21053706,Omeprazole 20 MG Delayed Release Oral Capsule by Zentiva,OMOP385124,RxNorm Extension
21053707,Omeprazole 20 MG Delayed Release Oral Capsule by Somex,OMOP385127,RxNorm Extension
21053708,Omeprazole 20 MG Delayed Release Oral Capsule Box of 14,OMOP385128,RxNorm Extension
21053709,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Pliva,OMOP385148,RxNorm Extension
21053710,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Ivax,OMOP385156,RxNorm Extension
21053711,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Sigma-Tau,OMOP385169,RxNorm Extension
21063531,Omeprazole 20 MG Delayed Release Oral Capsule by Sandoz,OMOP385107,RxNorm Extension
21063532,Omeprazole 20 MG Delayed Release Oral Capsule by Almus,OMOP385126,RxNorm Extension
21063533,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Dowelhurst,OMOP385157,RxNorm Extension
21073455,Omeprazole 20 MG Delayed Release Oral Capsule by Wockhardt,OMOP385125,RxNorm Extension
21073456,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Somex,OMOP385162,RxNorm Extension
21073457,Omeprazole 20 MG Delayed Release Oral Capsule [Mepradec] Box of 28,OMOP385166,RxNorm Extension
21073458,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Dowelhurst,OMOP385189,RxNorm Extension
21083163,Omeprazole 20 MG Delayed Release Oral Capsule by Apotex,OMOP385101,RxNorm Extension
21083164,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Generics,OMOP385132,RxNorm Extension
21083165,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Apotex,OMOP385135,RxNorm Extension
21083166,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Waymade,OMOP385170,RxNorm Extension
21083167,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28,OMOP385180,RxNorm Extension
21083168,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Waymade,OMOP385183,RxNorm Extension
21083169,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by DE,OMOP385184,RxNorm Extension
21092925,Omeprazole 20 MG Delayed Release Oral Capsule by Dr Reddy's,OMOP385118,RxNorm Extension
21092926,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Bristol Myers Squibb,OMOP385137,RxNorm Extension
21092927,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by DE,OMOP385147,RxNorm Extension
21092928,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Zanza,OMOP385158,RxNorm Extension
21092929,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by DE,OMOP385171,RxNorm Extension
21102831,Omeprazole 20 MG Delayed Release Oral Capsule by Genesis,OMOP385105,RxNorm Extension
21102832,Omeprazole 20 MG Delayed Release Oral Capsule by Waymade,OMOP385112,RxNorm Extension
21102833,Omeprazole 20 MG Delayed Release Oral Capsule by Dexcel-Pharma,OMOP385116,RxNorm Extension
21102834,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Dexcel-Pharma,OMOP385150,RxNorm Extension
21102835,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Astrazeneca,OMOP385176,RxNorm Extension
21102836,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Lexon,OMOP385187,RxNorm Extension
21112659,Omeprazole 20 MG Delayed Release Oral Capsule by Bristol Myers Squibb,OMOP385103,RxNorm Extension
21112660,Omeprazole 20 MG Delayed Release Oral Capsule by Phoenix Labs,OMOP385104,RxNorm Extension
21112661,Omeprazole 20 MG Delayed Release Oral Capsule by Actavis,OMOP385120,RxNorm Extension
21122284,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Mylan,OMOP385136,RxNorm Extension
21122285,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Sandoz,OMOP385141,RxNorm Extension
21122286,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Sigma-Tau,OMOP385143,RxNorm Extension
21122287,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by TEVA,OMOP385154,RxNorm Extension
21122288,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 14 by Dowelhurst,OMOP385179,RxNorm Extension
21122289,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Astrazeneca,OMOP385188,RxNorm Extension
21132113,Omeprazole 20 MG Delayed Release Oral Capsule by Mylan,OMOP385102,RxNorm Extension
21132114,Omeprazole 20 MG Delayed Release Oral Capsule by Kent,OMOP385106,RxNorm Extension
21132115,Omeprazole 20 MG Delayed Release Oral Capsule by Sigma-Tau,OMOP385108,RxNorm Extension
21132116,Omeprazole 20 MG Delayed Release Oral Capsule by TEVA,OMOP385119,RxNorm Extension
21132117,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Actavis,OMOP385155,RxNorm Extension
21132118,Omeprazole 20 MG Delayed Release Oral Capsule [Mepradec] by Discovery,OMOP385165,RxNorm Extension
21142058,Omeprazole 20 MG Delayed Release Oral Capsule by Generics,OMOP385097,RxNorm Extension
21142059,Omeprazole 20 MG Delayed Release Oral Capsule by Alliance,OMOP385111,RxNorm Extension
21142060,Omeprazole 20 MG Delayed Release Oral Capsule by DE,OMOP385113,RxNorm Extension
21142061,Omeprazole 20 MG Delayed Release Oral Capsule by Zanza,OMOP385123,RxNorm Extension
21142062,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Consilient,OMOP385133,RxNorm Extension
21142063,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Alliance,OMOP385145,RxNorm Extension
21142064,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Waymade,OMOP385146,RxNorm Extension
21142065,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Almus,OMOP385161,RxNorm Extension
21151861,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by A A H,OMOP385151,RxNorm Extension
21151862,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Dr Reddy's,OMOP385152,RxNorm Extension
21151863,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Lexon,OMOP385173,RxNorm Extension
21161783,Omeprazole 20 MG Delayed Release Oral Capsule by Consilient,OMOP385098,RxNorm Extension
21161784,Omeprazole 20 MG Delayed Release Oral Capsule by Focus,OMOP385100,RxNorm Extension
21161785,Omeprazole 20 MG Delayed Release Oral Capsule by Ranbaxy,OMOP385115,RxNorm Extension
21161786,Omeprazole 20 MG Delayed Release Oral Capsule by A A H,OMOP385117,RxNorm Extension
21161787,Omeprazole 20 MG Delayed Release Oral Capsule by Ivax,OMOP385121,RxNorm Extension
21161788,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Mawdsley-Brooks,OMOP385168,RxNorm Extension
21171544,Omeprazole 20 MG Delayed Release Oral Capsule by Pliva,OMOP385114,RxNorm Extension
21171545,Omeprazole 20 MG Delayed Release Oral Capsule by Dowelhurst,OMOP385122,RxNorm Extension
21171546,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Genesis,OMOP385139,RxNorm Extension
21171547,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Ranbaxy,OMOP385149,RxNorm Extension
21171548,Omeprazole 20 MG Delayed Release Oral Capsule [Mepradec],OMOP385163,RxNorm Extension
21171549,Omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Mawdsley-Brooks,OMOP385181,RxNorm Extension
35751844,Omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Arrow Generics,OMOP2753305,RxNorm Extension
35772922,Omeprazole 20 MG Delayed Release Oral Capsule by Arrow Generics,OMOP2774383,RxNorm Extension
35885723,omeprazole 20 MG Delayed Release Oral Capsule Box of 250 by Alliance,OMOP5033020,RxNorm Extension
35885724,omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Crescent,OMOP5033021,RxNorm Extension
35885725,omeprazole 20 MG Delayed Release Oral Capsule by Crescent,OMOP5033022,RxNorm Extension
35897032,omeprazole 20 MG Delayed Release Oral Capsule Box of 28 by Medihealth,OMOP5041266,RxNorm Extension
35897033,omeprazole 20 MG Delayed Release Oral Capsule by Medihealth,OMOP5041267,RxNorm Extension
36058213,omeprazole 20 MG Delayed Release Oral Capsule [Mepradec] Box of 28 by Dexcel-Pharma,OMOP4983820,RxNorm Extension
36058214,omeprazole 20 MG Delayed Release Oral Capsule [Mepradec] by Dexcel-Pharma,OMOP4983821,RxNorm Extension
36058215,omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 30 by Pilsco,OMOP4983822,RxNorm Extension
36058216,omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 28 by Pilsco,OMOP4983823,RxNorm Extension
36058217,omeprazole 20 MG Delayed Release Oral Capsule [Losec] Box of 14 by Pilsco,OMOP4983824,RxNorm Extension
36058218,omeprazole 20 MG Delayed Release Oral Capsule [Losec] by Pilsco,OMOP4983825,RxNorm Extension
36058219,omeprazole 20 MG Delayed Release Oral Capsule Box of 250 by Mylan,OMOP4983826,RxNorm Extension
36058220,omeprazole 20 MG Delayed Release Oral Capsule Box of 250,OMOP4983827,RxNorm Extension
