concept_id,concept_name,vocabulary_id,codeset
36223310,1158147,phenylephrine Injectable Product,pressors
46287544,1666371,phenylephrine Injection,pressors
36224715,1159747,isoproterenol Injectable Product,pressors
36224130,1159604,dobutamine Injectable Product,pressors
36225029,1159845,norepinephrine Injectable Product,pressors
36224502,1160755,dopamine Injectable Product,pressors
36243682,1299692,Isuprel Injectable Product,pressors
44814535,1490055,epinephrine Injectable Solution [Adrenalin],pressors
35603334,1667908,isoproterenol Injection,pressors
1344014,245317,epinephrine 0.5 MG/ML Injectable Solution,pressors
35606558,1743862,dopamine Injection,pressors
1719036,1812167,dobutamine Injection,pressors
40038600,372030,epinephrine Injectable Solution,pressors
19076867,310116,epinephrine 0.1 MG/ML Injectable Solution,pressors
19076899,310132,epinephrine 1 MG/ML Injectable Solution,pressors
40035704,374370,dobutamine Injectable Solution,pressors
40074086,373369,phenylephrine Injectable Solution,pressors
21120973,OMOP361510,Milrinone 0.6 MG/ML Injection,pressors
35152408,OMOP4809441,Milrinone 0.15 MG/ML,pressors
21068602,OMOP313685,20 ML Dobutamine 12.5 MG/ML Injection by Wockhardt,pressors
42966529,OMOP4692988,Dopamine 40 MG/ML Injectable Solution [INOPAN MYUNG MOON],pressors
42966515,OMOP4692974,Dopamine 3.2 MG/ML / Glucose 50 MG/ML [CJ DOPAMINE HCL PREMIX],pressors
41397476,OMOP2595438,50 ML Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 0.25 UNT/ML Injectable Solution Box of 5,pressors
41377482,OMOP2575444,20 ML Dobutamine 14 MG/ML Injectable Solution Box of 5,pressors
40878155,OMOP2076117,Dopamine 10 MG/ML Injectable Solution [Cardiosteril] Box of 50,pressors
36262752,OMOP3113627,Milrinone 1 MG/ML Injection [COROTROPE],pressors
36784350,OMOP4772634,Dobutamine 12.5 MG/ML Intravenous Solution,pressors
36412215,OMOP3104257,250 ML Dopamine 1.6 MG/ML Injectable Solution Box of 1,pressors
21166489,OMOP308834,5 ML Dopamine 40 MG/ML Injection Box of 5,pressors
43586851,OMOP671727,Milrinone 1 MG/ML Injectable Solution [Milrinon Carino] Box of 5,pressors
42799677,1292764,dopamine hydrochloride 10 MG/ML Injectable Solution,pressors
42799684,1292886,dopamine hydrochloride 3.2 MG/ML,pressors
35867373,OMOP5024295,dopamine 20 MG [Asikeding],pressors
40875255,OMOP2073217,Lidocaine 20 MG/ML / Norepinephrine 0.02 MG/ML / Vasopressin (USP) 0.25 UNT/ML Injectable Solution [Neo Lidocaton] Box of 5,pressors
43736763,OMOP797745,20 ML Milrinone 1 MG/ML Injection [Unacor] Box of 10 by Pharmaselect,pressors
41391798,OMOP2589760,50 ML Dobutamine 0.1 MG/ML Injectable Solution [Dobutamin Hexal] Box of 1,pressors
