concept_id,concept_code,concept_name,vocabulary_id,ancestor_concept_id,name,rxcui
41319476,OMOP2517438,topiramate 25 MG Oral Tablet [Topamax] Box of 100 by Janssen,RxNorm Extension,742267,topiramate,38404
21150878,OMOP367505,topiramate 50 MG Oral Tablet Box of 60 by Alliance,RxNorm Extension,742267,topiramate,38404
40833914,OMOP2031876,topiramate 100 MG Oral Tablet Box of 180,RxNorm Extension,742267,topiramate,38404
21141042,OMOP367461,topiramate 50 MG Oral Capsule Box of 60 by Waymade,RxNorm Extension,742267,topiramate,38404
43767701,OMOP687913,topiramate 200 MG Oral Tablet [Topiramat Stada],RxNorm Extension,742267,topiramate,38404
43179067,OMOP448513,topiramate 100 MG Delayed Release Oral Tablet [TOPIRAMATE ARROW] Box of 28,RxNorm Extension,742267,topiramate,38404
43134988,OMOP448483,topiramate 25 MG Oral Capsule [EPITOMAX],RxNorm Extension,742267,topiramate,38404
42945091,OMOP4671709,topiramate 100 MG Oral Tablet [TOPAS],RxNorm Extension,742267,topiramate,38404
40913665,OMOP2111627,topiramate 25 MG Oral Tablet [TOPIRAMATE BLUEFISH] Box of 200 by Bluefish,RxNorm Extension,742267,topiramate,38404
40964191,OMOP2162153,topiramate 15 MG Oral Capsule [Topiramat Hexal] Box of 50,RxNorm Extension,742267,topiramate,38404
21062520,OMOP367234,topiramate 100 MG Oral Tablet [Topamax] Box of 60 by Sigma-Tau,RxNorm Extension,742267,topiramate,38404
41132414,OMOP2330376,topiramate 200 MG Oral Tablet [Topamax] Box of 200 by Janssen,RxNorm Extension,742267,topiramate,38404
41307411,OMOP2505373,topiramate 200 MG Oral Tablet [Topiramat Dura] Box of 100,RxNorm Extension,742267,topiramate,38404
40851412,OMOP2049374,topiramate 50 MG Oral Tablet [Topiramat Hexal] Box of 100 by Novartis,RxNorm Extension,742267,topiramate,38404
44170555,OMOP3047278,topiramate 50 MG Delayed Release Oral Tablet [Topamax] Box of 100 by Orifarm Leverkus,RxNorm Extension,742267,topiramate,38404
44159247,OMOP3035970,topiramate 100 MG Delayed Release Oral Tablet [Topamax] Box of 50 by Janssen,RxNorm Extension,742267,topiramate,38404
36063000,OMOP4989068,topiramate 100 MG Oral Tablet by Glenmark,RxNorm Extension,742267,topiramate,38404
40901824,OMOP2099786,topiramate 50 MG Oral Tablet [Topiramat Biomo],RxNorm Extension,742267,topiramate,38404
44166822,OMOP3043545,topiramate 50 MG Delayed Release Oral Tablet [Topiramat Hormosan] Box of 100 by Hormosan,RxNorm Extension,742267,topiramate,38404
35412450,OMOP1146035,topiramate 50 MG Delayed Release Oral Tablet [TOPIRAMATE ACCORD],RxNorm Extension,742267,topiramate,38404
44174294,OMOP3051017,topiramate 200 MG Delayed Release Oral Tablet [Topiramat Hexal] Box of 100 by Novartis,RxNorm Extension,742267,topiramate,38404
43560432,1437290,24 HR topiramate 200 MG Extended Release Oral Capsule [Trokendi],RxNorm,742267,topiramate,38404
44187873,OMOP3064596,topiramate 25 MG Delayed Release Oral Tablet [Topiramat Janssen] Box of 28,RxNorm Extension,742267,topiramate,38404
41171354,OMOP2369316,topiramate 15 MG [Topiramat Ct],RxNorm Extension,742267,topiramate,38404
35748340,OMOP2749801,topiramate 5 MG/ML Oral Suspension by Drug Tariff Special Order,RxNorm Extension,742267,topiramate,38404
35777820,OMOP2779281,1 ML topiramate 5 MG/ML Oral Suspension by Drug Tariff Special Order,RxNorm Extension,742267,topiramate,38404
36262470,OMOP3113345,topiramate 50 MG Oral Tablet [TOPIRAMATE EG],RxNorm Extension,742267,topiramate,38404
42945113,OMOP4671731,topiramate 100 MG [TOPIRAM],RxNorm Extension,742267,topiramate,38404
21072457,OMOP367523,topiramate 50 MG Oral Tablet [Topamax] Box of 60,RxNorm Extension,742267,topiramate,38404
40975943,OMOP2173905,topiramate 100 MG Oral Tablet [Topamax] Box of 120 by Eurim-Pharm,RxNorm Extension,742267,topiramate,38404
21062535,OMOP367384,topiramate 15 MG Oral Capsule Box of 60 by A A H,RxNorm Extension,742267,topiramate,38404
35773544,OMOP2775005,topiramate 25 MG Delayed Release Oral Tablet by Zentiva,RxNorm Extension,742267,topiramate,38404
41057669,OMOP2255631,topiramate 200 MG Oral Tablet [Topiramat Ct] Box of 200,RxNorm Extension,742267,topiramate,38404
41183092,OMOP2381054,topiramate 200 MG Oral Tablet [Topiramat Desitin] Box of 90,RxNorm Extension,742267,topiramate,38404
42945129,OMOP4671747,topiramate Oral Tablet [SATIE],RxNorm Extension,742267,topiramate,38404
40901809,OMOP2099771,topiramate 25 MG Oral Tablet [Topiramed] Box of 28,RxNorm Extension,742267,topiramate,38404
43257728,OMOP550187,topiramate Oral Tablet [Epiramax],RxNorm Extension,742267,topiramate,38404
44161564,OMOP3038287,topiramate 200 MG Delayed Release Oral Tablet [Topiramat Siga] Box of 28,RxNorm Extension,742267,topiramate,38404
41007274,OMOP2205236,topiramate 25 MG Oral Tablet [Topiramat Ratiopharm] Box of 28 by Ratiopharm,RxNorm Extension,742267,topiramate,38404
40995479,OMOP2193441,topiramate 50 MG Oral Tablet [Topiramat Hormosan] Box of 50,RxNorm Extension,742267,topiramate,38404
40821890,OMOP2019852,topiramate 100 MG Oral Tablet [Topiramat Ct] Box of 100 by AbZ-Pharma,RxNorm Extension,742267,topiramate,38404
21062544,OMOP367509,topiramate 50 MG Oral Tablet Box of 60 by Ranbaxy,RxNorm Extension,742267,topiramate,38404
21101800,OMOP367506,topiramate 50 MG Oral Tablet Box of 60 by Waymade,RxNorm Extension,742267,topiramate,38404
44176652,OMOP3053375,topiramate 25 MG Delayed Release Oral Tablet [Topiramat 1a Pharma] Box of 100,RxNorm Extension,742267,topiramate,38404
41152046,OMOP2350008,topiramate 25 MG Oral Capsule [Topamax] Box of 50,RxNorm Extension,742267,topiramate,38404
35756691,OMOP2758152,topiramate 50 MG Extended Release Oral Capsule Box of 60 by TEVA,RxNorm Extension,742267,topiramate,38404
43731750,OMOP687789,topiramate Oral Tablet [Topiramat Heumann],RxNorm Extension,742267,topiramate,38404
40734861,OMOP4721997,topiramate 5 MG/ML Oral Solution,RxNorm Extension,742267,topiramate,38404
43135001,OMOP448569,topiramate 200 MG Delayed Release Oral Tablet [TOPIRAMATE BIOGARAN],RxNorm Extension,742267,topiramate,38404
