concept_class_id,concept_code,concept_id,concept_name,domain_id,standard_concept,valid_end_date,valid_state_date,vocabulary_id
'Lab Test',51823-3,3040191,Adenovirus IgM Ab [Units/volume] in Serum by Immunoassay,Measurement,S,12/31/99,2/11/08,LOINC
Lab Test,73754-4,43533778,Adenovirus C DNA [Presence] in Nasopharynx by Probe and target amplification method,Measurement,S,12/31/99,4/9/13,LOINC
Lab Test,5832-1,3013064,Adenovirus Ag [Presence] in Urine by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,43610-5,3044357,Adenovirus Ag [Presence] in Nasopharynx by Immunofluorescence,Measurement,S,12/31/99,1/24/06,LOINC
Lab Test,86512-1,36203756,Adenovirus DNA [Presence] in Urine by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,5828-9,3008787,Adenovirus Ag [Presence] in Throat by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,5826-3,3012107,Adenovirus Ag [Presence] in Stool by Immunofluorescence,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,66731-1,40769391,Adenovirus DNA [Log #/volume] (viral load) in Sputum or Bronchial by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
LOINC Hierarchy,LP257999-5,36205652,Adenovirus | Nasopharynx,Measurement,C,12/31/99,1/1/70,LOINC
Lab Test,38375-2,3048178,Adenovirus DNA [Presence] in Cerebral spinal fluid by Probe and target amplification method,Measurement,S,12/31/99,9/3/04,LOINC
Lab Test,24250-3,3025824,Adenovirus Ab [Titer] in Serum --2nd specimen,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,23950-9,3019968,Adenovirus Ab [Titer] in Cerebral spinal fluid by Complement fixation,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,43614-7,3043318,Adenovirus Ag [Presence] in Nose,Measurement,S,12/31/99,1/24/06,LOINC
Lab Test,86331-6,36203956,Adenovirus B(14) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,31712-3,3005534,Adenovirus Ag [Presence] in Throat,Measurement,S,12/31/99,5/10/02,LOINC
Lab Test,73755-1,43533779,Adenovirus B+E DNA [Presence] in Nasopharynx by Probe and target amplification method,Measurement,S,12/31/99,4/9/13,LOINC
Lab Test,5833-9,3011647,Adenovirus Ag [Presence] in Unspecified specimen by Immunoassay,Measurement,S,12/31/99,1/1/70,LOINC
Lab Test,86330-8,36203955,Adenovirus B(11) DNA [Presence] in Unspecified specimen by Probe and target amplification method,Measurement,S,12/31/99,6/23/17,LOINC
Lab Test,49335-3,3033255,Adenovirus DNA [#/volume] (viral load) in Tissue by Probe and target amplification method,Measurement,S,12/31/99,6/18/07,LOINC
Lab Test,40977-1,3040912,Adenovirus IgG Ab [Presence] in Serum by Immunoassay,Measurement,S,12/31/99,5/6/05,LOINC
Lab Test,66725-3,40769385,Adenovirus DNA [Log #/volume] (viral load) in Blood by Probe and target amplification method,Measurement,S,12/31/99,6/21/11,LOINC
