"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3027362,"12585-6","Creatinine [Mass/time] in 2 hour Urine","LOINC","LC"
3013280,"12586-4","Creatinine [Mass/time] in 4 hour Urine","LOINC","LC"
3011002,"12587-2","Creatinine [Mass/time] in 6 hour Urine","LOINC","LC"
3014699,"12588-0","Creatinine [Mass/time] in 8 hour Urine","LOINC","LC"
3021126,"12589-8","Creatinine [Mass/time] in 12 hour Urine","LOINC","LC"
3026275,"1452-2","Creatinine [Mass/volume] in 24 hour Urine --24 hours post 40 ug corticotropin IM BID 3 day","LOINC","LC"
3012506,"1453-0","Creatinine [Mass/volume] in 24 hour Urine --48 hours post 40 ug corticotropin IM BID 3 day","LOINC","LC"
3010663,"1456-3","Creatinine [Mass/volume] in 24 hour Urine --72 hours post 40 ug corticotropin IM BID 3 day","LOINC","LC"
3027322,"1454-8","Creatinine [Mass/volume] in 24 hour Urine --48 hours post 500 ug dexamethasone PO 2.5 day low dose q6h","LOINC","LC"
3014654,"1457-1","Creatinine [Mass/volume] in 24 hour Urine --pre 40 ug corticotropin IM 3 day","LOINC","LC"
3013296,"1455-5","Creatinine [Mass/volume] in 24 hour Urine --48 hours post 2 mg dexamethasone PO 2.5 day high dose q6h","LOINC","LC"
3020847,"1458-9","Creatinine [Mass/volume] in 24 hour Urine --pre 500 ug dexamethasone PO 2.5 day low dose q6h","LOINC","LC"
3009508,"14683-7","Creatinine [Moles/volume] in Urine","LOINC","LC"
3014724,"14684-5","Creatinine [Moles/time] in 24 hour Urine","LOINC","LC"
3045443,"33798-0","Creatinine [Moles/time] in 2 hour Urine","LOINC","LC"
3007081,"20511-2","Creatinine [Interpretation] in Urine","LOINC","LC"
3017250,"2161-8","Creatinine [Mass/volume] in Urine","LOINC","LC"
3004239,"2162-6","Creatinine [Mass/time] in 24 hour Urine","LOINC","LC"
3019491,"30002-0","Creatinine [Moles/volume] in Urine by Test strip","LOINC","LC"
3003447,"30004-6","Creatinine [Mass/volume] in Urine by Test strip","LOINC","LC"
3021074,"1459-7","Creatinine [Mass/volume] in 24 hour Urine --pre 2 mg dexamethasone PO 2.5 day high dose q6h","LOINC","LC"
3010529,"16689-2","Creatinine [Mass/time] in 48 hour Urine","LOINC","LC"
3027111,"16690-0","Creatinine [Mass/time] in 72 hour Urine","LOINC","LC"
3017395,"19150-2","Specimen creatinine acceptable [Presence] in Urine","LOINC","LC"
3001349,"20624-3","Creatinine [Mass/volume] in 24 hour Urine","LOINC","LC"
3013539,"25886-3","Creatinine [Moles/volume] in 24 hour Urine","LOINC","LC"
3031433,"35251-8","Creatinine [Mass or Moles/volume] in 24 hour Urine","LOINC","LC"
3032932,"35262-5","Creatinine [Mass or Moles] in 24 hour Urine","LOINC","LC"
3032043,"35204-7","Creatinine [Mass or Moles/volume] in Urine","LOINC","LC"
3040693,"40129-9","Creatinine [Moles/volume] in Urine --pre XXX challenge","LOINC","LC"
3040620,"40147-1","Creatinine [Moles/volume] in Urine --1 day post XXX challenge","LOINC","LC"
3041339,"39473-4","Creatinine [Moles/volume] in 72 hour Urine","LOINC","LC"
3042601,"39977-4","Creatinine [Mass/volume] in Urine --pre XXX challenge","LOINC","LC"
