"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3006239,"14775-1","Hemoglobin [Mass/volume] in Arterial blood by Oximetry","LOINC","LC"
3027484,"20509-6","Hemoglobin [Mass/volume] in Blood by calculation","LOINC","LC"
3002173,"30313-1","Hemoglobin [Mass/volume] in Arterial blood","LOINC","LC"
3004119,"30350-3","Hemoglobin [Mass/volume] in Venous blood","LOINC","LC"
3007302,"30351-1","Hemoglobin [Mass/volume] in Mixed venous blood","LOINC","LC"
3006184,"30352-9","Hemoglobin [Mass/volume] in Capillary blood","LOINC","LC"
3026820,"30353-7","Hemoglobin [Mass/volume] in Venous cord blood","LOINC","LC"
3027901,"30354-5","Hemoglobin [Mass/volume] in Arterial cord blood","LOINC","LC"
3029469,"33025-8","Hemoglobin [Mass/volume] in Venous cord blood by calculation","LOINC","LC"
3029461,"33026-6","Hemoglobin [Mass/volume] in Arterial cord blood by calculation","LOINC","LC"
3030854,"35183-3","Hemoglobin [Mass or Moles/volume] in Plasma","LOINC","LC"
3041041,"40719-7","Hemoglobin [Mass/volume] in Cord blood","LOINC","LC"
3034666,"42243-6","Deprecated Hemoglobin [Mass/volume] in Blood","LOINC","LC"
3048275,"48725-6","Hemoglobin [Mass/volume] in Blood --pre therapeutic phlebotomy","LOINC","LC"
40757420,"54289-4","Hemoglobin [Mass/volume] in Blood from Blood product unit","LOINC","LC"
40758903,"55782-7","Hemoglobin [Mass/volume] in Blood by Oximetry","LOINC","LC"
40762351,"59260-0","Hemoglobin [Moles/volume] in Blood","LOINC","LC"
40763941,"61180-6","Hemoglobin [Mass/volume] in Blood from Fetus","LOINC","LC"
3000963,"718-7","Hemoglobin [Mass/volume] in Blood","LOINC","LC"
21490721,"75928-2","Hemoglobin [Moles/volume] in Arterial blood","LOINC","LC"
46235391,"76768-1","Hemoglobin [Mass/volume] in Mixed venous blood by Oximetry","LOINC","LC"
46235392,"76769-9","Hemoglobin [Mass/volume] in Venous blood by Oximetry","LOINC","LC"
1002216,"93846-4","Hemoglobin [Moles/volume] in Venous blood","LOINC","LC"
37072252,"LP392452-1","Hemoglobin | Blood | Hematology and Cell counts","LOINC","LC"
37029074,"LP392453-9","Hemoglobin | Blood arterial | Hematology and Cell counts","LOINC","LC"
37056925,"LP392454-7","Hemoglobin | Blood capillary | Hematology and Cell counts","LOINC","LC"
37030695,"LP392455-4","Hemoglobin | Blood cord | Hematology and Cell counts","LOINC","LC"
37023599,"LP392456-2","Hemoglobin | Blood cord arterial | Hematology and Cell counts","LOINC","LC"
37035804,"LP392457-0","Hemoglobin | Blood cord venous | Hematology and Cell counts","LOINC","LC"
37050168,"LP392458-8","Hemoglobin | Blood mixed venous | Hematology and Cell counts","LOINC","LC"
37054839,"LP392459-6","Hemoglobin | Blood venous | Hematology and Cell counts","LOINC","LC"
37064868,"LP392464-6","Hemoglobin | Plasma | Hematology and Cell counts","LOINC","LC"
37060824,"LP392470-3","Hemoglobin | Blood product unit | Blood | Hematology and Cell counts","LOINC","LC"
37046289,"LP392471-1","Hemoglobin | Blood product unit | Hematology and Cell counts","LOINC","LC"
37053070,"LP392472-9","Hemoglobin | Fetus | Blood | Hematology and Cell counts","LOINC","LC"
37043963,"LP393630-1","Hemoglobin I | Blood | Hematology and Cell counts","LOINC","LC"
37069467,"LP393659-0","Hemoglobin XXX/Hemoglobin.total | Blood | Hematology and Cell counts","LOINC","LC"
40793300,"LP43637-5","Hemoglobin | Blood arterial","LOINC","LC"
40774048,"LP49432-5","Hemoglobin | Blood venous","LOINC","LC"
40793915,"LP49433-3","Hemoglobin | Blood mixed venous","LOINC","LC"
40787384,"LP49434-1","Hemoglobin | Blood capillary","LOINC","LC"
40774050,"LP49436-6","Hemoglobin | Blood cord venous","LOINC","LC"
40790628,"LP49437-4","Hemoglobin | Blood cord arterial","LOINC","LC"
40774321,"LP52032-7","Hemoglobin | Blood cord","LOINC","LC"
40795029,"LP89406-0","Hemoglobin | Blood product unit | Bld-Ser-Plas","LOINC","LC"
