"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3024380,"12812-4","Potassium [Moles/volume] in Serum or Plasma --2nd specimen","LOINC","LC"
3024920,"12813-2","Potassium [Moles/volume] in Serum or Plasma --3rd specimen","LOINC","LC"
3001157,"22760-3","Potassium [Mass/volume] in Serum or Plasma","LOINC","LC"
3023103,"2823-3","Potassium [Moles/volume] in Serum or Plasma","LOINC","LC"
3013823,"2824-1","Potassium [Moles/volume] in Red Blood Cells","LOINC","LC"
3015066,"29349-8","Potassium [Moles/volume] in Serum or Plasma --post dialysis","LOINC","LC"
3043409,"32713-0","Potassium [Moles/volume] in Arterial blood","LOINC","LC"
3041354,"39789-3","Potassium [Moles/volume] in Venous blood","LOINC","LC"
3040893,"39790-1","Potassium [Moles/volume] in Capillary blood","LOINC","LC"
3031219,"41656-0","Potassium [Moles/volume] in Mixed venous blood","LOINC","LC"
3033736,"42569-4","Potassium [Mass or Moles/volume] in Serum or Plasma","LOINC","LC"
3039651,"51618-7","Potassium [Moles/volume] in Serum or Plasma --pre dialysis","LOINC","LC"
3005456,"6298-4","Potassium [Moles/volume] in Blood","LOINC","LC"
21490733,"75940-7","Potassium [Mass/volume] in Blood","LOINC","LC"
46235078,"77142-8","Potassium [Moles/volume] in Serum, Plasma or Blood","LOINC","LC"
42528882,"82722-0","Potassium [Mass/volume] in Red Blood Cells","LOINC","LC"
1001658,"93998-3","Potassium [Moles/volume] in Serum or Plasma --1 hour post dose vasopressin","LOINC","LC"
1002312,"94007-2","Potassium [Moles/volume] in Serum or Plasma --2 hours post dose vasopressin","LOINC","LC"
37024456,"LP386601-1","Potassium | Blood | Chemistry - non-challenge","LOINC","LC"
37042511,"LP386602-9","Potassium | Blood arterial | Chemistry - non-challenge","LOINC","LC"
37055673,"LP386603-7","Potassium | Blood capillary | Chemistry - non-challenge","LOINC","LC"
37077388,"LP386604-5","Potassium | Blood mixed venous | Chemistry - non-challenge","LOINC","LC"
37049716,"LP386605-2","Potassium | Blood venous | Chemistry - non-challenge","LOINC","LC"
37021931,"LP386615-1","Potassium | Plasma | Chemistry - non-challenge","LOINC","LC"
37042472,"LP386616-9","Potassium | Red Blood Cells | Chemistry - non-challenge","LOINC","LC"
37074594,"LP386618-5","Potassium | Serum or Plasma | Chemistry - non-challenge","LOINC","LC"
37039728,"LP386619-3","Potassium | Serum, Plasma or Blood | Chemistry - non-challenge","LOINC","LC"
40780743,"LP48908-5","Potassium | Red Blood Cells","LOINC","LC"
40797308,"LP50164-0","Potassium | Blood arterial","LOINC","LC"
40794166,"LP51854-5","Potassium | Blood venous","LOINC","LC"
40797447,"LP51855-2","Potassium | Blood capillary","LOINC","LC"
40794207,"LP52292-7","Potassium | Blood mixed venous","LOINC","LC"
