"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3018968,"11041-1","Creatinine [Mass/volume] in Serum or Plasma --post dialysis","LOINC","LC"
3022243,"11042-9","Creatinine [Mass/volume] in Serum or Plasma --pre dialysis","LOINC","LC"
3020564,"14682-9","Creatinine [Moles/volume] in Serum or Plasma","LOINC","LC"
3019397,"16188-5","Creatinine [Mass/volume] in Serum or Plasma --2 hour specimen","LOINC","LC"
3035090,"16189-3","Creatinine [Mass/volume] in Serum or Plasma --4 hour specimen","LOINC","LC"
3007760,"21232-4","Creatinine [Mass/volume] in Arterial blood","LOINC","LC"
3016723,"2160-0","Creatinine [Mass/volume] in Serum or Plasma","LOINC","LC"
3032033,"35203-9","Creatinine [Mass or Moles/volume] in Serum or Plasma","LOINC","LC"
3051825,"38483-4","Creatinine [Mass/volume] in Blood","LOINC","LC"
3039840,"39955-0","Creatinine [Mass/volume] in Serum or Plasma --pre XXX challenge","LOINC","LC"
3041585,"39956-8","Creatinine [Mass/volume] in Serum or Plasma --1.5 hours pre XXX challenge","LOINC","LC"
3038670,"39957-6","Creatinine [Mass/volume] in Serum or Plasma --1 hour pre XXX challenge","LOINC","LC"
3040365,"39958-4","Creatinine [Mass/volume] in Serum or Plasma --45 minutes pre XXX challenge","LOINC","LC"
3041199,"39959-2","Creatinine [Mass/volume] in Serum or Plasma --30 minutes pre XXX challenge","LOINC","LC"
3039797,"39960-0","Creatinine [Mass/volume] in Serum or Plasma --45 minutes post XXX challenge","LOINC","LC"
3039284,"39961-8","Creatinine [Mass/volume] in Serum or Plasma --3.5 hours post XXX challenge","LOINC","LC"
3041167,"39962-6","Creatinine [Mass/volume] in Serum or Plasma --3.75 hours post XXX challenge","LOINC","LC"
3043912,"39963-4","Creatinine [Mass/volume] in Serum or Plasma --4 hours post XXX challenge","LOINC","LC"
3038867,"39964-2","Creatinine [Mass/volume] in Serum or Plasma --4.5 hours post XXX challenge","LOINC","LC"
3039858,"39965-9","Creatinine [Mass/volume] in Serum or Plasma --5.25 hours post XXX challenge","LOINC","LC"
3038868,"39966-7","Creatinine [Mass/volume] in Serum or Plasma --5.5 hours post XXX challenge","LOINC","LC"
3041576,"39967-5","Creatinine [Mass/volume] in Serum or Plasma --6.5 hours post XXX challenge","LOINC","LC"
3043675,"39968-3","Creatinine [Mass/volume] in Serum or Plasma --8 hours post XXX challenge","LOINC","LC"
3042460,"39969-1","Creatinine [Mass/volume] in Serum or Plasma --9 hours post XXX challenge","LOINC","LC"
3038298,"39970-9","Creatinine [Mass/volume] in Serum or Plasma --10 hours post XXX challenge","LOINC","LC"
3040676,"39971-7","Creatinine [Mass/volume] in Serum or Plasma --12 hours post XXX challenge","LOINC","LC"
3038813,"39972-5","Creatinine [Mass/volume] in Serum or Plasma --16 hours post XXX challenge","LOINC","LC"
3042043,"39973-3","Creatinine [Mass/volume] in Serum or Plasma --18 hours post XXX challenge","LOINC","LC"
3040585,"39974-1","Creatinine [Mass/volume] in Serum or Plasma --2 days post XXX challenge","LOINC","LC"
3043952,"39975-8","Creatinine [Mass/volume] in Serum or Plasma --4 days post XXX challenge","LOINC","LC"
3041441,"39976-6","Creatinine [Mass/volume] in Serum or Plasma --7 days post XXX challenge","LOINC","LC"
3044558,"40112-5","Creatinine [Moles/volume] in Serum or Plasma --pre XXX challenge","LOINC","LC"
3040993,"40113-3","Creatinine [Moles/volume] in Serum or Plasma --1.5 hours pre XXX challenge","LOINC","LC"
3039552,"40114-1","Creatinine [Moles/volume] in Serum or Plasma --1 hour pre XXX challenge","LOINC","LC"
3041471,"40115-8","Creatinine [Moles/volume] in Serum or Plasma --45 minutes pre XXX challenge","LOINC","LC"
3042312,"40116-6","Creatinine [Moles/volume] in Serum or Plasma --30 minutes pre XXX challenge","LOINC","LC"
3039839,"40117-4","Creatinine [Moles/volume] in Serum or Plasma --45 minutes post XXX challenge","LOINC","LC"
3040604,"40118-2","Creatinine [Moles/volume] in Serum or Plasma --3.5 hours post XXX challenge","LOINC","LC"
3038523,"40119-0","Creatinine [Moles/volume] in Serum or Plasma --4 hours post XXX challenge","LOINC","LC"
3040569,"40120-8","Creatinine [Moles/volume] in Serum or Plasma --8 hours post XXX challenge","LOINC","LC"
3041923,"40121-6","Creatinine [Moles/volume] in Serum or Plasma --9 hours post XXX challenge","LOINC","LC"
3044556,"40122-4","Creatinine [Moles/volume] in Serum or Plasma --10 hours post XXX challenge","LOINC","LC"
3042427,"40123-2","Creatinine [Moles/volume] in Serum or Plasma --12 hours post XXX challenge","LOINC","LC"
3041445,"40124-0","Creatinine [Moles/volume] in Serum or Plasma --16 hours post XXX challenge","LOINC","LC"
3043664,"40125-7","Creatinine [Moles/volume] in Serum or Plasma --18 hours post XXX challenge","LOINC","LC"
3039819,"40126-5","Creatinine [Moles/volume] in Serum or Plasma --2 days post XXX challenge","LOINC","LC"
3040883,"40127-3","Creatinine [Moles/volume] in Serum or Plasma --4 days post XXX challenge","LOINC","LC"
3039258,"40128-1","Creatinine [Moles/volume] in Serum or Plasma --7 days post XXX challenge","LOINC","LC"
3041716,"40248-7","Creatinine [Mass/volume] in Serum or Plasma --baseline","LOINC","LC"
3042610,"40249-5","Creatinine [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge","LOINC","LC"
3041723,"40250-3","Creatinine [Mass/volume] in Serum or Plasma --1 hour post XXX challenge","LOINC","LC"
3038809,"40251-1","Creatinine [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge","LOINC","LC"
3038530,"40252-9","Creatinine [Mass/volume] in Serum or Plasma --2 hours post XXX challenge","LOINC","LC"
