"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3019390,"26034-9","Deprecated Protein [Mass/volume] in Urine","LOINC","LC"
37030184,"LP203190-6","HEDIS 2016-2018 Value Set - Urine Protein Tests","LOINC","LC"
21491095,"79539-3","HEDIS 2016-2018 Value Set - Urine Protein Tests","LOINC","LC"
37021935,"LP404518-5","HEDIS 2016-2018 Value Set - Urine Protein Tests | Patient | HEDIS panels","LOINC","LC"
37049021,"LP270135-9","HEDIS 2019 Value Set - Urine Protein Tests","LOINC","LC"
1175726,"90989-5","HEDIS 2019 Value Set - Urine Protein Tests","LOINC","LC"
37042115,"LP404509-4","HEDIS 2019 Value Set - Urine Protein Tests | Patient | HEDIS panels","LOINC","LC"
1028572,"LP415731-1","HEDIS 2020 Value Set - Urine Protein Tests","LOINC","LC"
1001583,"94142-7","HEDIS 2020 Value Set - Urine Protein Tests","LOINC","LC"
36661023,"LP417328-4","HEDIS 2020 Value Set - Urine Protein Tests | Patient | HEDIS panels","LOINC","LC"
36304575,"87434-7","Protein and creatinine panel - Urine","LOINC","LC"
37029085,"LP387024-5","Protein and creatinine panel | Urine | Chemistry Panels","LOINC","LC"
3034212,"14896-5","Protein Fractions [Interpretation] in Urine by Immunofixation","LOINC","LC"
40656414,"LG36112-7","Protein fractions panel|-|Urine","LOINC","LC"
40783361,"LP42652-5","Protein Fractions | Urine","LOINC","LC"
37032719,"LP384938-9","Protein Fractions | Urine | Chemistry - non-challenge","LOINC","LC"
40656424,"LG35119-3","Protein|Imp|Urine","LOINC","LC"
3020092,"21028-6","Protein [Interpretation] in 24 hour Urine","LOINC","LC"
3030814,"50749-1","Protein [Interpretation] in Urine","LOINC","LC"
45876919,"LA17011-0","Protein in urine","LOINC","LC"
3033812,"26801-1","Protein [Mass/time] in 12 hour Urine","LOINC","LC"
3039271,"40662-9","Protein [Mass/time] in 12 hour Urine --resting","LOINC","LC"
3040443,"40663-7","Protein [Mass/time] in 12 hour Urine --upright","LOINC","LC"
40762085,"58992-9","Protein [Mass/time] in 18 hour Urine","LOINC","LC"
3040816,"53121-0","Protein [Mass/time] in 1 hour Urine","LOINC","LC"
3020876,"2889-4","Protein [Mass/time] in 24 hour Urine","LOINC","LC"
3028250,"18373-1","Protein [Mass/time] in 6 hour Urine","LOINC","LC"
3001237,"12842-1","Protein [Mass/volume] in 12 hour Urine","LOINC","LC"
3011705,"21482-5","Protein [Mass/volume] in 24 hour Urine","LOINC","LC"
3037121,"2888-6","Protein [Mass/volume] in Urine","LOINC","LC"
40656425,"LG34512-0","Protein|MCnc|Urine","LOINC","LC"
40656427,"LG35161-5","Protein|PrThr|Urine","LOINC","LC"
3017756,"27298-9","Protein [Units/volume] in Urine","LOINC","LC"
40775079,"LP69950-1","Protein | Urine","LOINC","LC"
37060612,"LP384472-9","Protein | Urine | Chemistry - non-challenge","LOINC","LC"
37062605,"LP402534-4","Protein | Urine | Urinalysis","LOINC","LC"
40657714,"LG40870-4","Protein|Urine/Urine sed","LOINC","LC"
