concept_id,concept_code,concept_name,vocabulary_id
40461141,252423006,"""Contrast echocardiography""",SNOMED
4334807,433231002,"""Contrast echocardiography""",SNOMED
46233156,U20,"""Diagnostic echocardiography""",OPCS4
2313881,93325,"""Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography)""",CPT4
45887645,1013066,"""Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging)""",CPT4
2313879,93320,"""Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete""",CPT4
2313880,93321,"""Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)""",CPT4
46273033,711507002,"""Doppler transesophageal echocardiography""",SNOMED
4230911,40701008,"""Echocardiography""",SNOMED
40339071,169239001,"""Echocardiography""",SNOMED
40309063,146458000,"""Echocardiography""",SNOMED
45888788,1013050,"""Echocardiography Procedures""",CPT4
4305021,8151003,"""Echocardiography for detecting cardiac output""",SNOMED
4171199,49276007,"""Echocardiography for determining interventricular septal thickness""",SNOMED
4225363,40357002,"""Echocardiography for determining mitral and tricuspid valve motion""",SNOMED
4307818,83061004,"""Echocardiography for determining mitral valve motion""",SNOMED
4267123,61832002,"""Echocardiography for determining mitral, aortic and tricuspid valve motion""",SNOMED
4265040,61982008,"""Echocardiography for determining pericardial effusion""",SNOMED
4084945,24058001,"""Echocardiography for determining posterior left ventricular wall thickness""",SNOMED
4203445,53457009,"""Echocardiography for determining prosthetic valve motion""",SNOMED
4250325,74193008,"""Echocardiography for determining size of ventricular chambers""",SNOMED
4147613,35757004,"""Echocardiography for determining ventricular contraction""",SNOMED
37311809,816997000,"""Echocardiography using pharmacologic stress agent""",SNOMED
4268930,62559003,"""Echocardiography, real time with image documentation with M-mode, follow-up""",SNOMED
4211674,57093001,"""Echocardiography, real-time with image documentation with M-mode recording, complete""",SNOMED
2313878,93318,"""Echocardiography, transesophageal (TEE) for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assessment of (dynamically changing) cardiac pumping function and to t""",CPT4
45889255,1013057,"""Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording)""",CPT4
2313874,93314,"""Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording); image acquisition, interpretation and report only""",CPT4
2313872,93312,"""Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording); including probe placement, image acquisition, interpretation and report""",CPT4
2313873,93313,"""Echocardiography, transesophageal, real-time with image documentation (2D) (with or without M-mode recording); placement of transesophageal probe only""",CPT4
2313869,93306,"""Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography""",CPT4
2313870,93307,"""Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, without spectral or color Doppler echocardiography""",CPT4
45888948,1019329,"""Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation """,CPT4
2313883,93351,"""Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation """,CPT4
2313882,93350,"""Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation """,CPT4
2313871,93308,"""Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study""",CPT4
4203365,433232009,"""Epicardial echocardiography""",SNOMED
40461140,252422001,"""Epicardial echocardiography""",SNOMED
44514106,U20.4,"""Epicardial echocardiography""",OPCS4
4335824,433233004,"""Exercise stress echocardiography""",SNOMED
40461142,252424000,"""Exercise stress echocardiography""",SNOMED
37394074,1026101000000106,"""FICE - Focused Intensive Care Echocardiography""",SNOMED
36717088,719508009,"""Focused transthoracic echocardiography in intensive care""",SNOMED
2001543,37.28,"""Intracardiac echocardiography""",ICD9Proc
2313942,93662,"""Intracardiac echocardiography during therapeutic/diagnostic intervention, including imaging supervision and interpretation (List separately in addition to code for primary procedure)""",CPT4
40488479,448193008,"""Intracardiac echocardiography with contrast""",SNOMED
40491498,448761005,"""Intracardiac three dimensional echocardiography""",SNOMED
4098216,252421008,"""Intracavitary echocardiography""",SNOMED
4327260,429884006,"""Intraoperative echocardiography""",SNOMED
4098215,252420009,"""Intravascular echocardiography""",SNOMED
44514105,U20.3,"""Intravascular echocardiography""",OPCS4
42628042,0439T,"""Myocardial contrast perfusion echocardiography, at rest or with stress, for assessment of myocardial ischemia or viability (List separately in addition to code for primary procedure)""",CPT4
44514109,U20.8,"""Other specified diagnostic Echocardiography""",OPCS4
4331964,431852008,"""Pediatric echocardiography""",SNOMED
37206167,785775005,"""Saline contrast echocardiogram""",SNOMED
44514107,U20.5,"""Stress echocardiography""",OPCS4
37311810,816996009,"""Stress echocardiography""",SNOMED
45773079,703338002,"""Stress echocardiography using dobutamine""",SNOMED
40257844,175132007,"""Transesophageal echocardiography""",SNOMED
4019824,105376000,"""Transesophageal echocardiography""",SNOMED
2616268,C8926,"""Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report""",HCPCS
2616269,C8927,"""Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assessmen""",HCPCS
2616267,C8925,"""Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, real time with image documentation (2d) (with or without m-mode recording); including probe placement, image acquisition, interpretation and report""",HCPCS
45888054,1013061,"""Transesophageal echocardiography for congenital cardiac anomalies""",CPT4
2313877,93317,"""Transesophageal echocardiography for congenital cardiac anomalies; image acquisition, interpretation and report only""",CPT4
2313875,93315,"""Transesophageal echocardiography for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report""",CPT4
2313876,93316,"""Transesophageal echocardiography for congenital cardiac anomalies; placement of transesophageal probe only""",CPT4
43021423,473197003,"""Transesophageal echocardiography for congenital heart disease""",SNOMED
