concept_id,concept_name,concept_code,codeset
1524103,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-venous, Intraoperative",5A15A2H,supp_ox
1524104,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-arterial, Intraoperative",5A15A2G,supp_ox
1524105,"Extracorporeal Oxygenation, Membrane, Central, Intraoperative",5A15A2F,supp_ox
1531630,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-venous",5A1522H,supp_ox
1531631,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-arterial",5A1522G,supp_ox
1531632,"Extracorporeal Oxygenation, Membrane, Central",5A1522F,supp_ox
2002247,Extracorporeal membrane oxygenation [ECMO],39.65,supp_ox
2007684,Hyperbaric oxygenation,93.95,supp_ox
2007685,Other oxygen enrichment,93.96,supp_ox
2614930,Variable concentration mask,A4620,supp_ox
2787819,"Extracorporeal Hyperbaric Oxygenation, Intermittent",5A05121,supp_ox
2787821,"Extracorporeal Hyperbaric Oxygenation, Continuous",5A05221,supp_ox
2788034,"Extracorporeal Membrane Oxygenation, Continuous (Deprecated)",5A15223,supp_ox
46257397,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; insertion of central cannula(e) by sternotomy or thoracotomy, birth through 5 years of age",33955,supp_ox
46257513,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age (includes fluoroscopic guidance, when performed)",33957,supp_ox
46257544,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), open, birth through 5 years of age",33969,supp_ox
46257685,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of central cannula(e) by sternotomy or thoracotomy, birth through 5 years of age",33985,supp_ox
46257729,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; reposition peripheral (arterial and/or venous) cannula(e), open, birth through 5 years of age (includes fluoroscopic guidance, when performed)",33959,supp_ox
46257730,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), percutaneous, birth through 5 years of age",33965,supp_ox
