concept_id,concept_code,concept_name,Concept Class ID,Domain,Vocabulary,codeset
4161538,432511006,Abscess of gastrostomy button site,Clinical Finding,Condition,SNOMED,feeding_tube
4125153,235222001,Attention to gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4198349,80345007,"Beck-Jianu operation, permanent gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
4286951,6915004,"Brunschwig operation, temporary gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
4125454,289133003,Button gastrostomy feeding,Procedure,Procedure,SNOMED,feeding_tube
4266224,6125005,Change of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
2108984,43760,"Change of gastrostomy tube, percutaneous, without imaging or endoscopic guidance",CPT4,Procedure,CPT4,feeding_tube
4132297,26586004,Closure of gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
2109009,43870,"Closure of gastrostomy, surgical",CPT4,Procedure,CPT4,feeding_tube
434675,309773000,Complication of gastrostomy,Clinical Finding,Condition,SNOMED,feeding_tube
2109482,49465,"Contrast injection(s) for radiological evaluation of existing gastrostomy, duodenostomy, jejunostomy, gastro-jejunostomy, or cecostomy (or other colonic) tube, from a percutaneous approach including image documentation and report",CPT4,Procedure,CPT4,feeding_tube
2109477,49446,"Conversion of gastrostomy tube to gastro-jejunostomy tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",CPT4,Procedure,CPT4,feeding_tube
44807042,824021000000107,Detachment of percutaneous endoscopic gastrostomy tube,Clinical Finding,Condition,SNOMED,feeding_tube
4020937,116017009,Endoscopic placement of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
4146618,307570007,Endoscopic removal of percutaneous gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
40489304,446723003,Endoscopy of upper gastrointestinal tract and dilation of gastric stoma,Procedure,Procedure,SNOMED,feeding_tube
2108894,43246,"Esophagogastroduodenoscopy, flexible, transoral; with directed placement of percutaneous gastrostomy tube",CPT4,Procedure,CPT4,feeding_tube
4144764,427389003,Fiberoptic endoscopic removal of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
45773157,703072001,Fluoroscopy guided gastrostomy tube procedure,Procedure,Procedure,SNOMED,feeding_tube
4175802,49674003,"Frank operation, permanent gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
4196011,431202009,Gastrojejunostomy conversion from gastrostomy using fluoroscopic guidance,Procedure,Procedure,SNOMED,feeding_tube
4204677,54956002,Gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4041333,229917005,Gastrostomy feeding,Procedure,Procedure,SNOMED,feeding_tube
2108996,43831,"Gastrostomy, open; neonatal, for feeding",CPT4,Procedure,CPT4,feeding_tube
2108997,43832,"Gastrostomy, open; with construction of gastric tube (eg, Janeway procedure)",CPT4,Procedure,CPT4,feeding_tube
2108995,43830,"Gastrostomy, open; without construction of gastric tube (eg, Stamm procedure) (separate procedure)",CPT4,Procedure,CPT4,feeding_tube
4144710,265367004,Gastrostomy operation,Procedure,Procedure,SNOMED,feeding_tube
4201388,302109006,Gastrostomy present,Clinical Finding,Condition,SNOMED,feeding_tube
4324755,428653001,History of placement of gastrostomy tube,Context-dependent,Observation,SNOMED,feeding_tube
4058866,161689000,H/O: gastrostomy,Context-dependent,Observation,SNOMED,feeding_tube
4173778,423843003,Infected percutaneous endoscopic gastrostomy site,Clinical Finding,Condition,SNOMED,feeding_tube
40485376,442858008,Infection of gastrostomy site,Clinical Finding,Condition,SNOMED,feeding_tube
42537047,736158002,Insertion of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
2109474,49440,"Insertion of gastrostomy tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",CPT4,Procedure,CPT4,feeding_tube
4160423,431397007,Insertion of gastrostomy tube using fluoroscopic guidance,Procedure,Procedure,SNOMED,feeding_tube
4206533,440104006,Insertion of peripancreatic drain with gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4206169,55286008,"Janeway operation, permanent gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
4095697,26187001,"Kader operation, temporary gastrostomy",Procedure,Procedure,SNOMED,feeding_tube
4260104,440078007,Laparoscopic construction of gastric stoma,Procedure,Procedure,SNOMED,feeding_tube
4208195,440118004,Laparoscopic insertion of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
2108980,43653,"Laparoscopy, surgical; gastrostomy, without construction of gastric tube (eg, Stamm procedure) (separate procedure)",CPT4,Procedure,CPT4,feeding_tube
4141190,426032000,Malfunction of gastrostomy tube,Clinical Finding,Condition,SNOMED,feeding_tube
45757473,147881000119108,Mechanical complication of gastrostomy,Clinical Finding,Condition,SNOMED,feeding_tube
2108983,43752,"Naso- or oro-gastric tube placement, requiring physician's skill and fluoroscopic guidance (includes fluoroscopy, image documentation and report)",CPT4,Procedure,CPT4,feeding_tube
4022009,116016000,Open surgical placement of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
2002531,43.19,Other gastrostomy,4-dig billing code,Procedure,ICD9Proc,feeding_tube
4237501,9175006,Parietal cell vagotomy with pyloroplasty and gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4122234,235159007,Percutaneous endoscopic gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4021170,225373002,Percutaneous endoscopic gastrostomy feeding,Procedure,Procedure,SNOMED,feeding_tube
4203367,433243001,Percutaneous endoscopic insertion of gastrostomy tube using fluoroscopic guidance,Procedure,Procedure,SNOMED,feeding_tube
4107048,29952004,Percutaneous placement of gastrostomy tube,Procedure,Procedure,SNOMED,feeding_tube
4244866,60465006,Permanent gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4306150,83069002,Permanent gastrostomy with construction of gastric tube,Procedure,Procedure,SNOMED,feeding_tube
4207334,312341002,Permanent percutaneous endoscopic gastrostomy,Procedure,Procedure,SNOMED,feeding_tube
4328151,431327000,Peroral insertion of gastrostomy tube using fluoroscopic guidance,Procedure,Procedure,SNOMED,feeding_tube
2109394,48000,"Placement of drains, peripancreatic, for acute pancreatitis",CPT4,Procedure,CPT4,feeding_tube
2109395,48001,"Placement of drains, peripancreatic, for acute pancreatitis; with cholecystostomy, gastrostomy, and jejunostomy",CPT4,Procedure,CPT4,feeding_tube
