concept_id,concept_name,concept_code,vocabulary_id,description
2718651,Unclassified drugs,J3490,HCPCS,Unclassified drugs
2109619,"Laparoscopy, surgical; nephrectomy with total ureterectomy",50548,CPT4,"Laparoscopy, surgical; nephrectomy with total ureterectomy"
725108,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory syncytial virus, amplified probe technique",87634,CPT4,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory syncytial virus, amplified probe technique"
43527975,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when perfor",87632,CPT4,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when perfor"
43527976,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when perfor",87633,CPT4,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when perfor"
43527974,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when perfor",87631,CPT4,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when perfor"
40757077,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, for multiple types or sub-types, includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, first 2 types or sub-types",87502,CPT4,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, for multiple types or sub-types, includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, first 2 types or sub-types"
2212415,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; qualitative or semiquantitative, single step method (eg, reagent strip)",83518,CPT4,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; qualitative or semiquantitative, single step method (eg, reagent strip)"
2212417,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified",83520,CPT4,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified"
2414395,"Office or other outpatient visit for the evaluation and management of an established patient, that may not require the presence of a physician or other qualified health care professional. Usually, the presenting problem(s) are minimal. Typically, 5 minute",99211,CPT4,"Office or other outpatient visit for the evaluation and management of an established patient, that may not require the presence of a physician or other qualified health care professional. Usually, the presenting problem(s) are minimal. Typically, 5 minute"
2212906,Antibody; respiratory syncytial virus,86756,CPT4,Antibody; respiratory syncytial virus
2213175,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism",87798,CPT4,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism"
2213182,Infectious agent antigen detection by immunoassay with direct optical observation; respiratory syncytial virus,87807,CPT4,Infectious agent antigen detection by immunoassay with direct optical observation; respiratory syncytial virus
2106630,Catheter aspiration (separate procedure); nasotracheal,31720,CPT4,Catheter aspiration (separate procedure); nasotracheal
2213049,"Virus isolation; tissue culture inoculation, observation, and presumptive identification by cytopathic effect",87252,CPT4,"Virus isolation; tissue culture inoculation, observation, and presumptive identification by cytopathic effect"
2213051,"Virus isolation; centrifuge enhanced (shell vial) technique, includes identification with immunofluorescence stain, each virus",87254,CPT4,"Virus isolation; centrifuge enhanced (shell vial) technique, includes identification with immunofluorescence stain, each virus"
2213067,Infectious agent antigen detection by immunofluorescent technique; respiratory syncytial virus,87280,CPT4,Infectious agent antigen detection by immunofluorescent technique; respiratory syncytial virus
2213073,"Infectious agent antigen detection by immunofluorescent technique, polyvalent for multiple organisms, each polyvalent antiserum",87300,CPT4,"Infectious agent antigen detection by immunofluorescent technique, polyvalent for multiple organisms, each polyvalent antiserum"
2213095,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; respiratory syncytial virus",87420,CPT4,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immunoassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemiluminometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; respiratory syncytial virus"
2213405,"Respiratory syncytial virus, monoclonal antibody, recombinant, for intramuscular use, 50 mg, each",90378,CPT4,"Respiratory syncytial virus, monoclonal antibody, recombinant, for intramuscular use, 50 mg, each"
