concept_id,concept_code,concept_name,vocabulary_id
44511790,M14.1,Extracorporeal shock wave lithotripsy of calculus of kidney,OPCS4
4195791,44345001,Extracorporeal shockwave lithotripsy,SNOMED
2008218,98.5,Extracorporeal shockwave lithotripsy [ESWL],ICD9Proc
2008219,98.51,"Extracorporeal shockwave lithotripsy [ESWL] of the kidney, ureter and/or bladder",ICD9Proc
4190183,393072009,Extracorporeal shockwave lithotripsy for renal calculus,SNOMED
4022950,175980006,Extracorporeal shockwave lithotripsy for renal calculus NOS,SNOMED
40506189,299714003,Extracorporeal shockwave lithotripsy for renal calculus less than 2 cm in diameter,SNOMED
4021118,175977005,Extracorporeal shockwave lithotripsy for renal calculus less than 2 cm in diameter,SNOMED
4022948,175976001,Extracorporeal shockwave lithotripsy for renal calculus of unspecified size,SNOMED
4021269,176093007,Extracorporeal shockwave lithotripsy for stone in lower ureter,SNOMED
4021268,176092002,Extracorporeal shockwave lithotripsy for stone in mid-ureter,SNOMED
4023104,176091009,Extracorporeal shockwave lithotripsy for stone in upper ureter,SNOMED
4261329,44817001,Extracorporeal shockwave lithotripsy of bladder,SNOMED
4087889,24376003,Extracorporeal shockwave lithotripsy of calculus of kidney,SNOMED
44511888,M31.1,Extracorporeal shockwave lithotripsy of calculus of ureter,OPCS4
2008221,98.59,Extracorporeal shockwave lithotripsy of other sites,ICD9Proc
4021267,176090005,Extracorporeal shockwave lithotripsy of unspecified ureteric calculus,SNOMED
4061603,20042009,Extracorporeal shockwave lithotripsy of ureter,SNOMED
40563060,393073004,Extracorporeal shockwave lithotripsy of ureteric calculus,SNOMED
4021566,176095000,Extracorporeal shockwave lithotripsy of ureteric calculus NOS,SNOMED
35610500,1.09382E+15,Fluoroscopy guided ESWL (extracorporeal shockwave lithotripsy) of both kidneys,SNOMED
35610503,1.09385E+15,Fluoroscopy guided ESWL (extracorporeal shockwave lithotripsy) of both ureters,SNOMED
35610502,1.09384E+15,Fluoroscopy guided ESWL (extracorporeal shockwave lithotripsy) of left kidney,SNOMED
35610504,1.09386E+15,Fluoroscopy guided ESWL (extracorporeal shockwave lithotripsy) of left ureter,SNOMED
35610501,1.09383E+15,Fluoroscopy guided ESWL (extracorporeal shockwave lithotripsy) of right kidney,SNOMED
35610505,1.09387E+15,Fluoroscopy guided ESWL (extracorporeal shockwave lithotripsy) of right ureter,SNOMED
4332108,432032006,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus,SNOMED
36674227,770892001,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of bilateral kidneys,SNOMED
36674912,770895004,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of bilateral ureters,SNOMED
4197883,431731009,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of kidney,SNOMED
36674213,770853008,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of left kidney,SNOMED
36674911,770894000,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of left ureter,SNOMED
36674212,770851005,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of right kidney,SNOMED
36674910,770893006,Fluoroscopy guided extracorporeal shockwave lithotripsy of calculus of right ureter,SNOMED
2721045,S0400,Global fee for extracorporeal shock wave lithotripsy treatment of kidney stone(s),HCPCS
2109635,50590,"Lithotripsy, extracorporeal shock wave",CPT4
4022949,175979008,Other specified extracorporeal shockwave lithotripsy for renal calculus,SNOMED
4021270,176094001,Other specified extracorporeal shockwave lithotripsy of ureteric calculus,SNOMED
