concept_id,concept_code,concept_name,vocabulary_id
4328016,431219006,'Antegrade insertion of ureteric stent using fluoroscopic guidance',SNOMED
2109649,50688,'Change of ureterostomy tube or externally accessible ureteral stent via ileal conduit',CPT4
4341379,236194007,'Cystoscopic adjustment of ureteric stent',SNOMED
4206531,440076006,'Cystoscopic anastomosis of ureter to bladder with insertion of stent into ureter',SNOMED
4023102,176073004,'Cystoscopic insertion of ureteric stent',SNOMED
40563056,393070001,'Cystoscopic insertion of ureteric stent',SNOMED
40563055,393069002,'Cystoscopic removal of ureteric stent',SNOMED
4021434,176074005,'Cystoscopic removal of ureteric stent',SNOMED
4343012,236195008,'Cystoscopic replacement of ureteric stent',SNOMED
4113464,286648007,'Cystoscopic ureteric stent procedure',SNOMED
2109702,51045,"'Cystotomy, with insertion of ureteral catheter or stent (separate procedure)'",CPT4
2109800,52332,"'Cystourethroscopy, with insertion of indwelling ureteral stent (eg, Gibbons or double-J type)'",CPT4
45890166,1008348,"'Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure)'",CPT4
2109793,52315,"'Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); complicated'",CPT4
2109792,52310,"'Cystourethroscopy, with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); simple'",CPT4
40510653,310598003,'Endoscopic replacement of ureteric stent',SNOMED
40259689,176077003,'Endoscopic replacement of ureteric stent',SNOMED
46284827,9.56E+14,'Fluoroscopy guided antegrade insertion of stent into ureter of transplanted kidney',SNOMED
37397405,718030008,'Fluoroscopy guided antegrade insertion of ureteric stent into ureter of transplanted kidney',SNOMED
36674848,770703006,'Fluoroscopy guided insertion of stent into ureter',SNOMED
46273970,711492000,'Fluoroscopy guided retrograde cystogram and replacement of ureteric stent',SNOMED
46287020,9.56E+14,'Fluoroscopy guided retrograde insertion of stent into ureter of transplanted kidney',SNOMED
