TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,133VN1301X,"133VN1301X=Dietitian, Registered Nutrition, Oncology"
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,163WP0218X,163WP0218X=Registered  Nurse  Pediatric  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,163WX0200X,163WX0200X=Registered  Nurse  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,1835X0200X,1835X0200X=Pharmacist  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,207RH0003X,207RH0003X=Internal  Medicine  Hematology  &  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,207RX0202X,207RX0202X=Internal  Medicine  Medical  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,207VX0201X,207VX0201X=Obstetrics  &  Gynecology  Gynecologic  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,2080P0207X,2080P0207X=Pediatrics  Pediatric  Hematology-Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,2085R0001X,2085R0001X=Radiology  Radiation  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,2086X0206X,2086X0206X=Surgery  Surgical  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,261QX0200X,261QX0200X=Clinic/Center  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,261QX0203X,"261QX0203X=Clinic/Center  Oncology,  Radiation"
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,364SX0200X,364SX0200X=Clinical  Nurse  Specialist  Oncology
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,364SX0204X,"364SX0204X=Clinical  Nurse  Specialist  Oncology,  Pediatrics"
